,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X002142.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601155.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.238136299599329,0.0833981563394204,0,0,0.240486625332928,0,0,0.0333483288452044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131375483559581,0,0,0,0.0692510832617607,0.0147073201167352,0,0,0.0535497766961982,0.0867412272782481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.187546194717719,0,0,0,0,0.095658120126273,0,0.101919178692128,0,0.1631256350046,0,0.127008748625559,0,0,0,0,0.228094809106863,0,0,0,0,0,0,0,0,0.11353844199342,0,0,0,0,0,0,0.0188715843421832,0,0,0,0,0,0,0,-0.104705387288119,0,0.0665950606928413,0.0464008197127455,0,0,0.0578813033404222,0,0
X600036.CH.EQUITY,0,0.08573295542925,0,0,0,0.0673834265648655,0,0,0,0,0,0,0.0694428350927749,0,0,0,0,0,0,0,0,0,0,0,0.0937047642428982,0.103414128090727,0,0.151970140936204,0,0,0,0,0.120081262644404,0,0,0,0,0,-0.0544642406732307,0,0,0,0,0,0,0,0,0,-0.0516225694669799,0.283570122341284,0,0
X601939.CH.EQUITY,0.625277529518884,0.170572216226347,0,0,0,0,0,0,0,0,0.0631951703315233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0938722279112186,0,0,0,0,0,0,0,0,0,0,0.174583048442388,0,0,0,0,0,0,0,0,0,0,0.0952606863356824,0.00539362235687876,0
X601288.CH.EQUITY,0,0,0,0.177839890511456,0,0,0,0.43993868098067,0,0,0,0.00550024809876367,0,0,0,0,0,0,0,0,0,0,0,0,0.055988908130522,0,0,0.0698238130359495,0,0,0,0,0.104736043616583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357431526680719
X1299.HK.EQUITY,0,0,0,0,-0.0538831179540055,0,0,-0.0692938692691339,0,0.187652325467524,0,0,-0.00236094061608397,0.0505940073015258,0,0,0,0,0,0,0,0,0,0.124213782981235,0,0,0,0,0,0,0,0,0.0825178524721738,0.0152830063246417,0,0,-2.16840434497101e-19,0.00843220273641686,0,0.172364502022799,0.156934414249668,0,0.0906642371924999,0,0,0,0,0.298950264754865,0,0,-0.106952957529018,0
X601628.CH.EQUITY,0,0,-0.137434478170764,0,0,0,0,0,0,0.095271339201441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490910252943214,0.104142618507932,0,0,0,-0.040899536907559,0,-0.0797491704973094,0,0,0.381832052647248,6.93889390390723e-18,0,0.395459923777293,0,0,0,0,0,0.0445373329767582,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0513103186273253,0,0,0,0.450755827263702,0,0,0,0,0,0,0.0689557525500208,-0.0345702607983109,0,0,0,0,0.222077891374804,0,0.0472673722137603,0,0,0,0,0.0170218331358321,0,0,0,0,0,0,0,-0.104963519883663,0,0,0,0,0,0,0,0.116080897148311,0,0,-0.0473122450892463,0,0.123890896032845,0,0,0,0,0,-0.0836732822602394
X5.HK.EQUITY,0,0.227182187151091,0,0.0747106513465635,0,0,0,0,0,-0.0983421162925667,0.0514578649870418,0.0612794660566625,0,0,0,0,0,0,0,0,0,0,0,0.230787269266087,0,0,0.118084298688218,0,0,0,0,0,0,0,0,0,0,0,0.251495109197589,0,0,0,0,0,0,0,0.0538049342772879,0,0,0,0,-0.0524240975423608
X388.HK.EQUITY,0,0,0,-0.19148992772019,0,0,0,0,0,0,0,0,0,0,0,0,0.0865282936268651,0,0,0,0,0,0,0,0,0,0,0,0.0890703282551125,0,0,0,-0.189016104325169,-0.157358030704356,0,0,-0.136746148756188,0.23623837092728,0,0,0.164711442177596,0.0208618444602838,0,0,0.264182096369708,0,0,0,0,0,0,0
