,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.213672661822159,0,0,0.0118744157381728,0,0.405111143041203,0,0,0.01326461841524,0,0,0.0239735905318509,0,0,0,0,0,0,0,0,0,0,0.246746991407659,0,0,0,0,0,0,0,0,0.0671507398951465,0.0640764930269937,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0912093074427161,0,0,0
X601318.CH.EQUITY,0,0,0.116858573361864,0,0,0,0,0,0.241377833672261,0,0,0,0.0382107806980246,0,0.261014557255306,0,0.0598249130227722,0,0,0,0,0.00488876940003135,0,0,0,0,0,0.222274186524983,0.168648560560369,0,0.0635909831788406,0,0,0,0,0,0,0,0,0.0141097426604866,0,0,0,0,-0.116548408725062,0,0.0686241723492845,0.0169659718366171,0,0,0,0
X601939.CH.EQUITY,0.289896012379385,0.242700116453401,0,0,0,0,0,0.506262193171158,0.0814889471704951,0,0,0,0,0,0,0,0,0.0301210623225607,0,0,0,0,0,0,0,0,0,0,0,-0.0218875973910775,0,0,0,0.0606639275741193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182324700094479,0
X600036.CH.EQUITY,0,0,0,0,0,0.203345424968086,0,0,0.0199512336942001,-0.125537546647566,0,0,0.0353749784070773,0,0,0.118911369371934,0,0,0.0486618303168467,0,0,0,0,0,0,0.474694863833609,0,0.0385784816147088,0,0,0,0,0,0,0,0,0,0,0,0,-0.0496269359670864,0,0,0,0,0,0,0,0,0,-0.0204615946874299,0
X601288.CH.EQUITY,0.0035691354885613,0,0,0,0,0,0,0.516203329512268,0,-0.0766216886321981,0,0.0322477142305296,0,0,0,0,0,0,0.0494690065624286,0,0,0,0.0616396365507897,0,0.163959882452027,0,0,0.103625212510199,0,0,0,0,0,0.0876555600497218,0,0,0,0,0,0,0,0,0,0,0,0,0.0310869401825687,0,0.000157434525080274,-6.93889390390723e-18,0.0518912640064681,0
X1299.HK.EQUITY,0,0,-0.0409637947754312,0,0,0,0,-0.0759458597274997,0,0.193799318316656,0,0,-0.0180321534309912,0,0,0,0,0,0,0,0,0,0.183503057962465,0,0,0,0,0,0,0,0,0,0,0.127004836243476,0.0598967777631298,8.67361737988404e-19,0,0,0,0.156778112197218,0,0,0.177550529628082,0,0,0,0,0,0.219344531684205,0,-0.123893152306737,0
X601628.CH.EQUITY,0.0786687985818511,0,0,0,0,0.00515149707916554,0,0,0,0,0,0,-0.0190830835604057,0,0,-0.0583519329392064,0.156455156965209,0,0,0,0,0,0,-0.140223827837359,0,0,0,0,0,0,-0.033984383375261,0,0,0,0,0,-0.0257221305968877,0.473737725789815,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,-3.46944695195361e-18,0,0,0,0.523841841259032,0,0,0,-0.00784425083247124,0,0,0,0,0,0,0,0,0.283668931596927,0.0428235484807835,0.146070869135855,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0417803278068394,0,0,0,0,0,0,0,0,0,0,-0.0982997951962618,0,0,0.00142493314286722,0,0,0,0
X5.HK.EQUITY,0,0,0.0512301026305513,0,0,0,0,0,0,0,0.166251450865475,0,0,0,0,0,0,0,0,0,0,0,0.130876219280441,0.0314273772753868,0,0,0.115409953778744,0,0,0,0,0.0255572010159681,0,0.143734800551409,0.0281496993840634,0,0,0,0,0,0.378206465005441,0,0,0,0,0,0.0303571962543304,0,0,0,0,-0.0356087875193904
X388.HK.EQUITY,0,0,0,-0.0860927099484412,0,0,-0.112499131264659,0,-0.0902464093387031,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,-0.197174538662711,0,0,0,0.115600888460534,0,0,0,0,0,0.488579991895244,0,0.0751274171869678,0,0,0.1239306744954,0,0.131391239975435,0
