,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.0383596433896751,0.536838553889687,0,0,0,0.020219610234606,0,0,0,0.129712168954235,0,0.0891303404797266,0,0,0,0,0,0.032149714364784,0,0,0,0,0,0.0894664511927522,0,0,0,0,0,0,0,-0.029087272158219,0,0,-0.0485856463446965,0,0,0.0752982012805156,0,0,0,0,0,0,0,-0.00243698215957614,0,0,0,0.0343487780614209
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.00947150878144856,0,0,0,0,0,0,0,0,0.0761737812778134,0,0.307904175620234,0,0,0,0,0,0.11533490926727,0.00162476258695867,0,0,0,0,-0.0234907553644271,0,0,0,0.0590593426233687,0,0,0,0.195349770908606,0.0982402608267258,0,0,0,0,0,0.0239342858491161,0,0.061127721202209,0,0,0
X601939.CH.EQUITY,0.15345000886878,0,0,0.610312652994496,0,0.0160121433016139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134253331282554,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.00688477655636338,0.0119242183765518
X601288.CH.EQUITY,0.048412545459367,0.0433478094695271,0.194669427094172,0,0,0,0,0,0,0.123311536317366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168180029955218,0,0,0.207780775261555,0.116498616322247,0,0,0.0106627977476588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.272905076309782,0,0,0,0,0,0.0808121537365423,0,0.477195638331067,0.0870085294365792,0,0,0,0,0,0,0,0,0,0,0,0.319699139251561,0,0,0,0,0.13332583268578,0,0,0,0,0,0,0,0.0207121769733649,0,0,0,-0.289645959177841,-0.119880660243112,-0.134702730483182,0,0,0.106734751267797
X601988.CH.EQUITY,0.018474039164529,0,0.0454853580971086,0,0.0385374853843714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609704874337705,0,0,0,0,0,0,0.111855549071303,0,0,0,0,0,0,0,0,0,0.0442245788259569,0,0,0,0,0.0631642401062018,0,0,0,0,0,0.0984143202011183,0
X600036.CH.EQUITY,0,0,0,0,-0.00391908234027773,0,0,0,0.0795252202822111,0,0,4.33680868994202e-19,0,0,0,0,-0.0122667858658989,0,0.0178972052108459,0,0,0,0,0,0.614397302215341,0,0,0.0859466429802584,0.124606293907398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718944660615849,0,0.0341592043546938,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.226342951405626,0,0,0,0,0,0,0,0.202472420187175,0,0,0,0,0.0631658875372142,0,0,0.059158759634194,0,0,0,0,0,0,0,-0.0445865353873391,0.0828400750568026,0,0.300601057855028,0,0.200178050282685,0,0,0,0,0,0,0,0,0,0,-0.0808163323235573,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.21087591488803,0,0,0,0,0.0339274780571153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693785958286837,0,0,0,0,0,0,0,0,0,0,0,0,0.399232727881791,0,0.240415756940044,0,0,0.0269291041562184,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.171230845122096,0,0,0,0.115786721918918,0,0,0,0,0,0,0.260402599872795,0,0,0,0,0,0,0,0,0.228198091984677,0,0,0,0,0.0669979308899824,0,0,0,0.00600962514811317,0,-0.00595642103509017,0,0,0,0,0.202637453595217,3.46944695195361e-18,0,0,0,0,0.00228247642790864,0,0,0,0.0288005287745662,0,0
