,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0177416518384852,0,0,0,0,0.407938874066215,0,0,0,0,0,0,0,0,-0.0878419477108654,0,0,0,0,0,0,0,0,0,0,0,0.657347226292119,0,0,0,0,0,0,0,0,-0.00518116537132582,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.110974607987232,0,0,0,0,0,0,0,0.0700228780896935,0,0.0833504404444293,0.0273180544733444,0.0545987040113604,0,0,0,0,0,0.0944421966961518,0.0402360172192635,0,0,0,0,0,0,0,0.277749094933633,0,0,0,0,0.212671425160689,0.0164075003084852,0,0,0.0373447539612465,0,0,0,0,0,-0.0301516890279591
X601939.CH.EQUITY,0.283274312875704,0,0,0,0,0,0,0,0,0.0389882278126389,0,0,0,0,0,-0.016690330368751,0,0,0,0,0,0,0.0756098863276582,0,0,-0.0847435342541335,-0.0642476786178959,0,0,0,0,0,0,0,0,0,0,0.0257137295419587,0,0.546319361713022,0,0,0,0,0,0,0,0,0,0,0.116585807501068
X601288.CH.EQUITY,0,0,0,0,-0.282969834033227,0,-0.257181610160474,0,0,0,0.840215433274774,0,0,0,0,0,0,0,0,-0.155405080674184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113656615037353,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.133394755021856,0.374187697067484,0,0,0,0.0471959864800474,0,0,0.187889997328624,0,0,0,8.67361737988404e-19,0,0,0,0,0.0259109563787256,0,0,0.0343942837115479,0,-0.12256001459302,0,0,0,0,0,0,0,0,0,0.0785355831761785,0,0,0.131254453110386,0,0,0,0,-0.184131811528061,0,0,0.135650477325944,0,0
X601988.CH.EQUITY,0,0,0,0,0.33933982745946,0,0,0,0,0,0,0,0,0.110309456870484,0,0.000289323252831475,0,0.154760957624873,0,-0.0276264573045585,0,0,0,0,0.173552995901013,0,0,0,0,0,-0.335169905443211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00957763621156746,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.26056846104284,0,0,0,0,0,0,0,0,0,0,0,0,0.140095714410705,0,0,0.0213180303871595,0,0,0,0,0,0.0887389862197995,0.130753740377561,0,0.0897593780862261,0,0,0,0,0,0,0,0.32141980852339,0,0,0,0,0,-0.133697393353361,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.135933827283332,0,0,0,0,0,0,0,0.484919807135456,0,0,0,0,0,0,0,0,0,0.229636198131108,0,0,0,0,0,0,0,-0.00207037968902722,0.126575985026887,0,0,0,0,-0.211120221237569,0,0,-0.157141020633802,0,-6.93889390390723e-18,0,-0.00861266201371846,0,0,0.211356714026608,0,-0.0260022884266731,0,0,0,0,0
X601628.CH.EQUITY,0,0.264905334560667,0.0140786435406473,0.0537445293285697,-0.0873929146856502,0,0,0,0,0,0,0,-0.00959728098163481,0,0,0,0.234337844833672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156625348651078,0.0774310942344895,0,0,0,0,0,0.150036621615482,0,0.0796760532692825,0.105626765140547,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.0152756293390542,0,0,0,0.690070004774712,0,0,0,0,0,0,0,0,0,0,0,0.221128742518113,0,0,0,0,0,0.0950633581040866,0,0,0,0,0,0,0,0,0,0,0,-0.0879905205868831,0,0,0,0,0,0.124296927522346,0,-0.140079105904313,0,-0.12401181969235,0,0.0273770977872036,-0.0327523010843876
