,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.481465706239,0.0956887504945778,0,0,0,0,0,0,0,0,0,0.0588230476499586,0,0.0875190496910755,0,0,-0.148557658056544,0,0,0,0,0,0,0.00374364395221114,0,0,0.0284371844379188,0,0,0,0,0,0.0455638355416475,0,0,0,0,0,0,0,0,0,0,0,0.0797815064839806,0.185239424303532,0.0390647466335763,0,0
X601318.CH.EQUITY,0,0,0,0,0.173437126934626,0,0,0,0.0495894312128355,0,0,0,-0.0987660628652464,0,0.0170297455877429,0,0.384136512741565,0.189573326104233,0,0,0,0,0,0,0,0,0,0,0,0,0.0515186725246778,0,0,0,0,0,0.095421884685728,0,0.0674544748614494,0,0,0,0,0,0,0,0,0,0.0576656206527041,0,0,-0.0745722709934731
X601939.CH.EQUITY,0.258107331158487,0,0,0,0,0,0,0,0,0,0,0.162579443035026,0,0.365633137628361,0,0,0,0,0.0793470158953355,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211928501497756,0.061951785718827,0,0,0,0.0161665344205761,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.339444301186088,0,0.0229055288746136,0,0.495869183909517,0,0,0,0,0,0,0.00431146147176447,0,0,0.0322737178182987,0,0,-0.0236443190824397,0,0,0,0,0,0.00963193325642668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104317743450774,0,0,0
X601988.CH.EQUITY,0.0902207885630776,0.0577451892294293,0,2.16840434497101e-19,0,0,0,0,0,0,0.239375771659404,0,0,0,0,0,0.119762178460761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102418045796088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875943637680149,0,0,0,0.240158858350293,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.192422356092418,0,0,0,0,0,0,0.284050387852201,0,0,0,0.428376612987095,0,-0.61566977449702,0.251431230453335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324359051725516,-0.14389159245991
X600036.CH.EQUITY,-1.73472347597681e-18,0,0,0.0607497906706624,0,0,0,0.0919270341683852,0,0,0,0,0,0,0,0,0.13540555070172,0,0.123025005704983,0,0,0,0,0,0,0,0.0550390185571249,0,0,0,0.190629603971295,0,0.229450124882709,0,0,0,0.0414195517331561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120822663276101,0.0260943891820833,0,0,0,0.0894159519790981,0,0.0835245275921019,0,0,0,0,0,0,0.0710260057485582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308874174308861,0,0,0
X601628.CH.EQUITY,1.73472347597681e-18,0,0.109797381378638,4.33680868994202e-19,0.368026891052276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273251397412696,0,0.140067207465306,0,0,0,0,0,0,0,0.149440257967587,0,0,0,0,0,0.0334046871942111,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.239463544564796,0,0,0,0,0,0.184493014564185,0,-0.0246998969134328,0,0,0,0,0,0,0,0.127163697924939,0,0,0,0,0,0,0.139189168705722,0,0,-0.0867793062962681,0,0,0,0,0,-0.102809517209595,0,0.790422960344388,0,0,0,0,0,0.298491500773283,0,-0.258397897793344,0,0,0
X601328.CH.EQUITY,0,0.00260503489865189,0.0389810570590889,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.351720251612731,0.0520912426635332,0,0,0,0,0,0,0,0.253952984325864,0.0121803219026428,0.11442502111804,0,0,0.0476959108311266,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273401340623711,0,0,0.107619244740929,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.154109116189831,0,0,0.248625047099914,0,0,0,0,0,0,0.174101653737406,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297187863874651,0,0,0,0.0325812642963136,0,0,0,0.117354527791183,0,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0523107678636301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141664056461309,0.557737681208899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
