,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.141890054004185,0,0.0810328845292203,0,0,0,0,0,0,0,0.356056182643071,0.0933182643081183,0,0,-0.130400696811452,0,0,0,0,0,0,0,0,0,0,0,0,0.0805275579405855,0,0,0,0,0,0,0,0.206818454302554,0,0,0,0,0,0.0820774276651166,0,0,0,0.0560628687455297,0,0,0,0,0.0445786161506526
X601318.CH.EQUITY,0,0,0,0,0,0,0.042120156890983,0,0.130652060309627,0,0.0373790696847778,0,0,-0.149717385843797,0.0761080003552201,0.010790206473777,0,0,0,0,0,-0.0171072895691443,0,0,0,0,0,0,0,0,0,0,0.175052001443306,0,0,0,0,0,0,-0.230762078547362,0,0.373567540716563,0.101982813381004,0.196555516374156,0,0,0,0,0.187615950892918,0,0,0
X601939.CH.EQUITY,0.165870651028561,0,0,0.294794994387345,0,0.13814074858648,0,-0.0570553466152805,-0.0388747390501267,0,0,0,0,0,0.0414714864884597,0,0,0,0,0,-0.0135566951653228,0.0855405961773119,0,0,-0.0370273433738836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490278149367859,-0.0710848633931317,0,0,0,0,-0.0222999719708012,0,0,0.0367853075760632,0,0,0
X601288.CH.EQUITY,0.491995444012709,0,0.159722746245522,0,0.0147002424710174,0.221935854014304,0,0,0,0,0,0,0,0.0295305717032937,-0.127688571435708,0,0,0,0,0,0,-0.0136878787285269,0,-0.0446467672731517,0,0,0,0,0,0,0,0,-0.0359562068583635,0,0.163605722622364,0,0,0,0,0,0,0,0,0.0025773796071221,0,0,0,0,0,0.275741453843078,0,0
X5.HK.EQUITY,0,-0.0696106531999401,0.127668410531387,0.073657213279121,0,0.0694024992106359,0,-0.170616062670561,0,0,0,0,0.268126887083237,0,0,0,0,0,0,0.666517006910173,0,0,0,0,0.0830411809028182,0,0,-0.124286355077576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121243401840973,0,0,0,0,0
X601988.CH.EQUITY,0.198204398960837,0,0.0850619490506301,0.021439759290381,0,0,0,0,0.0313157122544504,0,0.0789262926157275,0,0,-0.329366527209101,0,0,0,0,0,0,0,0,0.499513666775925,0.0687648746232844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115565785339514,0,0,0,0,0,0,0,0.0302255617280549
X600036.CH.EQUITY,0,0.00756943595371178,0,0,0,0,0,0.111195959463368,0,0,0,0,0,0,0.274614890654337,0.177002114596738,0,0.00420872308411153,0,0.0871523474257719,0,0,0,0,0,0,0,0,0,0,0,0,0.116822483421859,0,-0.00261724426363664,0,0,0,0,0,0,0,0.0939435406805295,0,0,0,0,0.128073640721438,0,0,0.0190893367003439,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0163548897220954,0.0160034454491645,0,0,0,0.213328075003735,0,0,0,-0.151603961469134,0,0,0,0.311779749298426,0.25565427151463,0,0,0,0.0510481617706528,0,0,0,0.119333914987511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314421635300146,0,0.125780697608754,0,0,-0.0231443493142064,0,0
X601628.CH.EQUITY,0.338490870808111,0.293954574638801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00656309499475372,0,0,0,0,0,0,0,0,0,0.0223077149537328,0,0,0,0,0,0,0.116682115204121,0,-0.0870513798210894,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.0492031150520286,0.0614594016733764,0,-0.213000360185682,0,0.00377428896123431,0.205317058110949
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0335032992031483,0,0,0,0,0,0.492321508489721,0,0,0,0,0,0,0,0,0.220029897776038,0,0,0,0,0.0542284110690218,0.0540590673912915,0,0,0,0,0,0,0.0241508538068072,0,0,0,0,0,0,0,0,0,0.0108481948896567,0,0.0269518221805436,0,0,0,0.14948025143813,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0293398043630043,0,0,0.0665746912599138,0,0,0,0,0,0,0.285780073524223,0,0,0,0,0,0,0,0,0.150848075111611,0.122944533354538,-0.123691694819338,0.178814904388084,0.016501249555989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198578914845997,0,0.156222491438945,0,0,0,0,0,0,0.0323382061247577,0
X600000.CH.EQUITY,0,0.0442289479338416,0,0,0,0.0519176250698291,0.190745582723284,-0.0311173142531431,0,0,0,0.353582971161704,0,0,0.0629043364391299,-0.0781359024264347,0,0,0,0,0,0,0,0,0,0,0,0,0.202794112207887,0,-0.0181258952023338,0,0,0,0,0.0362502890921895,0,0,0,0,0,0,0,0,0,0,0,0.0479571960124726,0.200264712762848,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,-0.115396431610426,0,0,0,0,0,0,0,0,0,0.0266441263073287,0,0,0.314425994119954,0,0.0645469232133025,0,0,0,0,0.00555019337676676,0.0282977909063901,0,0,0.381727714947981,0,0,0,0,0.170648169273436,0,0,0,0,0,0,0.00833831489395911,0,0,0,0.105297831784547,0,0,0.0678960395612223,0,0,0
X000001.CH.EQUITY,0,0,1.73472347597681e-18,0,0,0,0.226541581238896,0,0,0,0.0961786590883573,0,0,0,0,0.12591708227965,0,0,0,0.201337070024271,0,0,0,0,0,0,0.122693933139665,0,0,0,0,-0.0349450480979386,0.0428721939289951,0,0,0,-0.291054837526419,0,0,0.0673000633345038,0,0,0,0,0,0,0,0.13807995676038,0,0,-0.0583948558665051,0
X601601.CH.EQUITY,-0.0655738786164222,0,0,0,-0.037563161350824,0,0,0,0.498980462771418,0,0.100849958735663,0,0,0,0.24516436276746,0,0,0,0,0,0,0,1.73472347597681e-18,0.065787399145522,0,0,0,0.281948418176373,0,0,0,0,0,0.0168173708940588,0.163669110445414,0.0379876946856055,0,0,0,0.10908969233665,0,0,0,0,0,0,0,0,-0.0405467512096563,0,0,0
