,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.608336709740264,0,0.0373451760939502,0,0,0,0,0,0,0,0.0829647040480695,0,0,0,0,0.0978754767627296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0177071083420823,0,0,0,0.0870214041926348,0,0,0,0.0326000607891377,0,0,-0.00434811934409476,-0.0191034033832083,0,0.0461373064805278,0,0.0271317043300576
X601318.CH.EQUITY,0,0,0,0,0,0,0.151202775185118,0,0.0885602947550923,0,0,0,-0.00739286843857221,0,0,0,0.0726401782826161,0.255886657421022,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117226573458073,0,0,0.0435563318235678,0,0,0,0,0.17996167015826,0,0,0.0427255389302468,0,0,0,0,0,0.143596382949292,0,0,0
X601939.CH.EQUITY,0,0,0,0.411241965262763,0,0.231707748983066,0,0,0,0.0281038609922527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168418381435952,0,0,0,0.011634048760699,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0208069544231852
X601288.CH.EQUITY,0.118638619723269,0,0.25708827924102,0,0,0,0,0,0,0.132229882168695,0,0,0,0,0,0,0,0.142296486794206,-0.00809376668846416,0,0,0,0,0,0.142642416306966,0.0489713176147963,0,0,0,0.107232398123025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.299038816925437,0,0.44401537381378,0,0,0,0,0,0,-0.154167582604464,0.226753206881075,0.0989559242890445,0,0.0137810476629441,0.163855608181303,-0.277606458951589,0,0,0,0,0.15643241246278,0,-0.0245611195729546,0,0.302612193314693,0,0,0,0,0,0,0,0,0,0,0,0.0550460984821266,0,-0.0105626163886914,0,-0.417181278826103,0,-0.153855999083751,0,0.0452525768749976,0
X601988.CH.EQUITY,0.0705926516402593,0,0.0512390373759497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580569571152922,0.00892058624983925,0,0,0,0,0,0.143855662835367,0,0,0,0,0,0,0,0,0.0645278376362036,0,0,0,0,0,0.0286988028145708,0,0,0,0,0.0882838558297586,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0397125102878311,0,0,-0.0195773910958342,0,0,0,0,0,0.060023383007935,0,0,0,0,0,0,0.683598171258237,-0.00584452269627659,0.0443139891922052,0,0,0.102694146099689,0,0,0,0,0,0,0,0,0,0,0,0,0.0686119543850435,0.0487698376426306,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.263255789907621,0,0,0,0,0,0,0,0.224199941345189,0.0212646813920143,0,0,0,0,0,0.0544842670115834,0.0481136179974914,0,0,0,0,0,0,0.0824456167051232,0,-0.0483145742478768,0,0.322623641560671,0.199191436355684,0,0,0,0,0,0,0,0,0,0,-0.075524897469581,0,1.73472347597681e-18,0,0,0,0,0
X601628.CH.EQUITY,0,0.215115040611806,0,0,0,0,0.0308198581985367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505216459533725,0,0,0,0,0,0,0,0,0,0,0,0,0.404381077121482,0,0.232085800015961,0,0,0.0295635704792854,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,-1.73472347597681e-18,0.0643221721168709,0,0,0,0.139500902380351,0,0,0,0,0,0,0.204223897880882,0,0,0,0,0,0,0,0.247154545779804,0,0,0,0,0.0759591417130983,0,0,0,0,0,-0.00694878267206011,0.0484835988961831,-0.00363660836527914,0,0,0.0107069598699825,0.24793055711693,0,0,0,0,0.0419605201652736,0,0,0,0,0.020580383178335,0,0
