,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.29286023235809,0,0.330200498716725,0,0.016648372160189,0,0,0.0910701515431061,0,0.0598889142944225,0,0,0,0,0,0,0,0,0,0,0,0,-0.105984931979512,0,0,0.0464045225565174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0977269423511607,0,0.117732773947459,0
X601939.CH.EQUITY,0.460271524604528,0,0,0.152938163088846,0,0,-0.16059962539256,0,0,0,0,0,0.188947799584831,0,-0.0607850107478349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256020003134951,0,0,-0.0799998096466532,0
X601318.CH.EQUITY,0,0,0,0,0.22293029084622,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.047251481686904,0,0,0,0,0,0,0.196567441164418,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.239102325383929,0,0,0,0,0.212081920345115,0,0,0,0,0,0,0.0760830145673651,0,0
X601288.CH.EQUITY,0.500919095315011,0,0,0,0.198605555667665,0,0,0,0,0,0,0,0.0745543381853326,0,0,0,0,0,0,0.012772244916203,0.116976954508735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502251802442089,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.542017838919945,0,0,0,0,0,0.259390725449926,0,0,0,0,0,0.257866738904968,0,0.0171583361465052,0,0,0,0,0,0,0,0,0.0933541545933136,0,0,0,0,0,0,0,0,0,-0.379181716708781,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.202973243691483
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.300686705191929,0,0,0,0,0,0.0724604689350727,0,0,0,0,0,0.00853626591015676,0,0,0,0,0,0.0441994807917676,0.186446478193822,0,0.0788253616536151,0,0,0,0,0.00294248937629493,0,0,0,0.180418140618874,0,0,0,0,0.111096686992425,0,0.0165711700927363,0,0,0
X1299.HK.EQUITY,0.0764882640872847,0,0,0,0,0,0,0,0.135199727370643,0,0,0,0.101686269035706,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0102389646466914,0,0,0,0,0.226863175090002,0,0,0,0,0,0,0,0.17602859951304,0,0,0,0,0,0,0.0714890809001272,0,0,0,0.107193797676328,0,0,0,0,0
X5.HK.EQUITY,0,-0.0365084972711505,0,-0.17682677927415,0,0,0,0,0,0,0,0,0,0,-0.00546395660084463,0,0,0,0,0,0.0546509794892372,0,-0.583357726068112,1.0678467474923,0,0,-0.0324166491786008,0,0.460527892676176,0,0,0,0,0,0,0,0,0,0.435625382451661,0,0,0,0,-0.130460333960045,0,0,0,0,0,0,0.0983969883247101,0
X601628.CH.EQUITY,0.0596588315784497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146641825784629,0,0,0.0661166470549113,0.134366293801771,0,0,0.0170247203628575,0,0,0.125263617396527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110794124895854,0.0135330100996889,0.0175814326441407,0,0,0.0831324198711823,0.0213098391541431,0,0.0841588207327752,0.0183661538888334
X601658.CH.Equity,0,0,0,0.0690367286186307,0.071312754046685,0,0,0,0,0,0,0,0.254139927015056,-0.039009808543655,0,0,0,0,0,0,0.0156521539569445,0,0,0,-1.73472347597681e-18,0,0.210737773715614,0.121740925712904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.361970928037063,0,0,0,0
