,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.0567034208226709,0,0.138740998986026,0.176385620069603,0,0.351766221537782,0,0,0,0,0.000600512131824831,0.131826834785494,0,0,0,0,0,0,0,0,0,0.0118821854483494,0,0,0,0,0.104038703094362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.207656778853757,0,0,0,0,0,0,0,0.224197616914051,0,0,0,-3.46944695195361e-18,0,0.0719896410669298,0.144752224530838,0,0,0,0.210530612360493,0,0,0,0,0,0,0,0,0,0.0753590016767718,-0.059894900085817,0,0,0,0,0,0.0658300800793861,0,0,0,0,0,0,0,0,0,0,0.0749612635006317,0,0,0,-0.0072478902733775
X601939.CH.EQUITY,0.263707276300782,0,0,0,0,0,0,0,0,0,0,0,0.425688956347831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191838571761361,0,0.106014802081923,0,0.00655513137695325,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.342774483065494,0,0.0423355365732134,0,0,0.467216493297671,0,0,0,0,0,0,0,0,0.0359608260111131,0,0,0,0,-0.0109513336606212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112857259716516,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.198277748909746,0,0.0394643295142927,0,0,0,0.310683466400036,0,0,0,0,0,0,0,0.0201430761975448,0.648268518651779,6.93889390390723e-18,0,0,0.0515033860400272,0,0,0,0,0,0,0,0.0921973433959808,0,0,0.0205407988187574,0,0,0,-0.204437467416921,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.136930183171453,0,0,0.0492277347878087,0,0,0,0,0.200916442408917,0,0,0,0.143645763693281,0,0,0,0,0,0.0210338540658663,0,0.168423622977498,0,0,0,0.027788438653721,0,0,0,0,0.049529647691054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186380666161808,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.196679038862066,0,0,0.220237727020861,0,0,0,0,0.1779478669897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149711685723843,0,0.00384347375884828,0.158236013040136,0,0,0.105481527187914,0,0,0,0,0,-3.46944695195361e-18,0.0489929089659992,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.164139601079291,0,0,0,0,0,0,0,0.32524907834833,0.0252090120402467,0,0,1.73472347597681e-18,0,0.193603495487202,0.291244225998239,0,0,0,0,0,0,0.247984005270034,0,0,0,0,0,0,0,0.0275042158159269,0,0,0,0,0,0,0,0,0,0,0,0.0906732675634386,0,0,0.0104834243897006
X601628.CH.EQUITY,0.325237567498526,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0563778102021339,0.0260362554928776,0,0,0,0.118371188164019,0,0,0,0.0876579155747653,0,0.230500611131048,0,0,0,0,0.150182899307482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.192344394527048,0,0,0,0,0,0,0.195033495901618,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0786038043499706,0,0,0,0,0,0,0.22261862721431,0,-0.19497699317062,0.153911808906351,0,0,0,-0.0074051822522385,0,0,0.830891166962505,0,0,0,0,0,0.33700953629439,0,-0.317322140690618,-0.245545363539753,0,0
