,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.216339010380628,-6.93889390390723e-18,0.0250680058213511,0.00822214694378991,0,0.38239718632564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252145327603597,0,0.0427374374678903,0,0,0,0,0,0.0829190915251359,0.0566525926034502,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0986545267129992,0,0,0
X601318.CH.EQUITY,0,0,0.0850643483748788,0,0,0,0,0.0197600615645403,0.243249711800707,0,8.67361737988404e-19,0,0,0.382781865329938,0.03761348999368,0,0,0,0,0.0750842230833538,0,0.0456578176151581,0,0,0,0,0,0,0.28050948504967,0,0.0395442732590926,0,0,0,0,0.000609866408233527,0,0,0.0366999038937619,0,0,0,0,0,-0.109886822192624,0,0,0.0190506207224144,0,0,0.0607089553452614,0
X601939.CH.EQUITY,0.282459791694735,0.230060773023613,0,0,0,0,0,0.493955108406084,0.0800316428129999,0,0,0,0,0,0,0,0,0.0293718575048276,0,0,0,0,0,0,0,0,0,0,0,-0.0213120953732559,0,0,0,0.0591147605854665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180195898856732,0
X600036.CH.EQUITY,0,0,0,0,0,0.205002625037072,0,0,0.0206654009668224,-0.129772171788172,0,0,0.0357345693131551,0,0,0.12257141632546,0,0,0,0.0506118530551005,0,0,0,0,0,0,0.486697654845612,0,0.0393551219097608,0,0,0,0,0,0,0,0,0,0,0,-0.0512501410638667,0,0,0,0,0,0,0,0,0,-0.0213281433865446,0
X601288.CH.EQUITY,0,0,0.00141463820805691,0,0,0,0,0.495332390626139,0,-0.072518446165154,0,0.0379588059394074,0,0,0,0,0.0073951247734247,0,0,0.0740842483067022,0,0,0.0636709826148055,0,0,0.131679672576321,0,0,0.0863908809105397,0,0,0,0,0.0850314330063335,0,0,0,0,0,0,0,0,0,0,0,0,0.0374379574644023,0,0,0.0289345972336658,0.0493236371774176,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0971909111033604,0,0.214065810946076,0,-0.0315876676219926,-0.0304641367039263,0,0,0,0,0,0,0,0,0,0.186302159686205,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.142711778265032,0.0648377861360554,0,0,0,0.169493157643999,0,0,0,0.188234942404743,0,0,0,0,0,0.218899261032004,0,-0.0857971893056796,0
X601628.CH.EQUITY,0.00943976946861494,0,0,0,0,0,0,0,0,0,0,0,-0.00052645999740517,0,0,-0.0757915719706113,0.159105091267127,0,0,0,-0.0126016960958547,0,0,-0.138933863338621,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.441150544555374,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,-2.71050543121376e-20,0
X601988.CH.EQUITY,0.037893418064179,0,0,0,0.446296428731958,0,0,0,0,0,0,0,0,0,0,0,0,0.396401180521245,0.136072580730123,0.0241184470255995,0,0,0,0,0,0,0,0.0734753127191739,0,0,0,0,0,-0.0256155553567543,0,0,0,0,0,0,0,0,0,0,-0.0627657528820578,0,0,0,0,0,-0.0378662955161339,0
X5.HK.EQUITY,0,-3.46944695195361e-18,0.0871117395614411,0,0,0,0,0,0,0,0.142093504169144,0,0,0,0,0,0,0,0,0,0,0,0.13756809647653,0,0.0920040971253432,0,0,0,0,0.016565792105113,0,0,0,0.120181499154034,0,0,0,0,0,0,0.342250851417135,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.0996716121953168,0,0.0606003190796024,-0.113016584274119,0,-0.0825537000469028,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0.0269505725566839,0,0,0,0,0,0,0,0,0,0,0,-0.217335491268865,0,0,0,0.0908574492713737,0,0,0,0,0,0.538782576506985,0,0,0,0,0.108326684890016,0,0.170307006763665,0
