,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.260090170361578,4.33680868994202e-19,0.0525053028070018,0,0,0.285311206080337,0,0,0,0.128906040261036,0,0,0,0.0386690064118651,0,0,0,0,0,0,0,0,0.139474338868285,0,0.0176130445920892,0,0,0,0,0.0240730757198499,0,0,0,0,0,0.123597472074463,0,0,0,0,0,0,0,0,0,0,-0.0170440748248207,0,0,0
X601318.CH.EQUITY,0,0,0.245645977219768,0,0,0,0,0,0.0732332665461534,0,0.0597737184978093,0,0.0377971385156469,0,0.181286417162714,0,0,0,0,0,0,0.0720174420775109,0,0,0,0,0,0.153700731010406,0,0,0,0,0,0,0.0377283142036055,0.0180169019053383,0,0,0,0,0.0803700003106751,0,0,0,0,0,0,0.00760546403939548,0,0,0,0
X601939.CH.EQUITY,0.501534607732363,0.276054324873073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22811660884748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959046882204071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711674575154586,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.0465788040739673,0.495937767425193,0,-0.0676129516037705,0,0.070874844358428,0,0,0,0,0,0,0,0,0,0.0243769428455114,0.0147228277025118,0,0.127916690022463,0,0,0.113675399480731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796052802656217,0,0.00895823394509036,0
X600036.CH.EQUITY,0,0.094279480686186,0,0,0,0.0581918262999735,0,0,0.0267033767073962,0,0,-0.111955099063004,0.107395671283315,0,0,0.199719527592986,0,0.166311068962195,0,0,0,0,0,0.316468425799462,0,0.0728079452570086,0.0300571959482373,0.020915529032122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14937094723311,0.0363615321246559
X1299.HK.EQUITY,0,0,0,-0.0891228486470721,0,0,0,0,0,0.180971379308498,0,-0.0511203990352532,0,0,0,0,0,0,0,0,0.0468727483153054,0,0.154427448267467,0,0,0,0,0,0,0,0,0,0.105731064865202,0,0,0,0,0.148273678031202,0,0.134908344747715,0,0,0.114552465104922,0.0447449520082716,0,0,0,0,0.204747932403956,0,0,0
X601628.CH.EQUITY,0.0363828516176685,0,0,0,-0.000475714496879903,0,0,0,0,0,0,0,-0.0187360457738187,0,-1.73472347597681e-18,-0.27578204845991,0,0,0,0.232986610958433,0,0,0,0,0,0,-0.0664158390663944,0,0,0,0,0,0,0,0,0,0.630541850408943,0.0585674112491452,0,0.018733859565528,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0398750747472305,0.102076076101462
X601988.CH.EQUITY,0,0,0.0746498427589198,0.490680511012623,-1.73472347597681e-18,0,0,0,0,0.0748830371392702,0,0,0.117143606764351,0,-0.0108309324352253,0,0.151347599122343,0,0.0165129782795828,0,0,0,0.0545899645656823,0,0.0331535344485832,0,0.0211095560333213,0,0,0,0.0558075300829743,0,0,0,0,0.0305835302756558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.29800364748733,0,0,0,0,0,0,0,-0.0592293176007715,0,0.11743605146621,0,-0.00725965573609719,0,0,0,0,0,-0.200445486344776,0,0,0.138126266362097,0,0,0.24396792423144,0,0,0,0,0,0,0,0,0,0,-0.0626019932902717,0,0,0,0,0.124147823821863,0.00760283281262069,0.157338756068032,0,0,0,0.0534547090496724,0,0,0.0603036897432774,-0.176586311456275
X388.HK.EQUITY,0,0,0,0,-0.161085553298465,0.330752076812493,0,0.0334947449461078,4.33680868994202e-19,0,0,-0.0557955224313479,0,0,-0.0367475433657596,0,0,0,0,0.400575860787832,-0.173000367366321,0,0,0,0,0,0,0,0,0,0,0.0791421847329992,-0.132909118694846,0,0,0,0,0,0.120793086860702,0,0,0,0,0,0,0,-0.0308908345756402,0.0493269659716654,0,0,0.178307203131542,-0.0543004716316379
