,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.0871500822595053,0,0.409562587604834,0.119516158598696,0.0895414495313645,0,0,0,0,0,0,0,0,0,0,0,0.25611168157454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312519844463856,0,0,0,0,0.0381976040232567,0,0,0.0451366593473597,0,0.0791188557444699,0,0,0.0350347824142978,-0.10842012768013,0.0212488114515275
X601318.CH.EQUITY,0,0,0,0.0649710638535578,0,0,0,0.00438863174622475,0.128718876185468,0,0,0.0797505602615276,0.109981010040849,0,0,0,6.93889390390723e-18,0,0.118536398104056,0,0.215836478258121,0.0651689692313292,0,0,0,0,0,0,0,0.0478792268481593,0.101173200892261,0,0,0,0,0,0.015700232617468,0,0,0,0,0,0,0,0,0.0850409874678577,0,0,0,0,0,0.112292438506254
X601939.CH.EQUITY,0,0,0,0,0.35433825602339,0,0,0,0,0,0,0.225175500521298,0,0,0.0109172539348268,0,0,0.142078407343879,0,0.0689178292590892,0,-0.107017015838979,0,0,0.25095133376223,0.233499379483883,-0.0613428725703588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00840973445919477,0,0,0,0,0.038265362663135
X600036.CH.EQUITY,0,0.115150861103735,0,0,0,0.0114166169254685,0,0.166723973437198,0,0,0,0,0.149540040642306,0,0,0,0,0,0,0,0,0,0.25001030894075,0.00783563646869775,0,0,0,0.0111048333820078,0,0.0554820528958892,0,0,0,0,0,0,0.00822153947767755,0,0,0,0.0850904574929063,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.133864972796189,0,0.0491123321591802,0,0,0.0559795997318741,0,0.418820645723153,0,0,0,0,0,0,-0.0157146582005428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152040081995094,0,0,0,0,0,0,0,0,0,0,0,0,0.053621076912386,0,0,0,0.12772235023104,0,0,0,0,0.071919284898103,-0.0861239395390282
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0959381609522739,0.074140858746778,0,0,0,0,0,0.169198487665153,0,0,0,0,0.139195779574038,-0.136326618267697,0,0,0,0,0,0,0.00510304409464424,-0.0235730237529369,0.202621339515511,0,0,0,0.569194327883183,0,0,0,0,-0.0301557527235438,0.153375404167704,0,0,0,0,0,0,0,0,0,0.122169533689634
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.136052931267648,0,0,0,0,0,0,0,0,0.0307694080236152,0,0,0,0,0,0,0.106958470982916,0,-0.239120439949566,0,0,0,0,0,0,0,0.00929683419494836,0,0.088918831874642,0,0.261776392865011,0.137950454320427,0.0666274577964147,0.0524554993447172,0.0822264500193191,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0928141953201655,0.10614885247052,0.16615327307379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230501448949072,0,0,0,0.210995056385114,0,0.0440849103779834,0,0.331402115877563,-0.0298452107370111,0,0,0.14250123570454,-0.0743055250449712,0,0,0,0,0,0,0,0.090243303415848,0,0,0,0,0,0.0286792857426416,0,0,0,0,0,0
X5.HK.EQUITY,0,0.111622018044588,0,0,0,0,0,0.213853476622632,0,-0.048749275246062,0.063027903887325,0,0,0,0,0,0,0,0,0,0.0881868357295708,0,0,0.126017560581396,0,0,0.204340555229183,0,0,0.0376284407580755,0,0,0,0,0,0,0,0,0.180146640575803,-0.116681095778606,0,0.14478519952637,0,0,0.10518254466486,0,0,0.0695158794199136,0,0,0,0
X601166.CH.EQUITY,0,0,0.033604924023161,0.101198631892826,0,0,0,0,0,0,0,0.0325840306744406,0.0871298980194723,0,0.0510097196121224,0,0,0,0,0,0,0,0.165957506010421,0,0,0,0,0,0.362186227530153,0,0,0,0,0,0,0.0254679129141803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.163850357481906,0,-0.174500345790775,0.172139588566339,-0.0208950790754236,0,0,0,0,0,0.485995479429073,0,0,0,0,0,-0.0802107164155853,0,0.23020572442263,0,0,0,0,0.145096829995385,0,0,0,0,0.11739619496469,-0.0192948693074705,0,0,0,0,0,0,0.0133301810169146,0,0,0,0.0114622805502417,0,0,-0.0427546600262906,-0.0343458050133796,0,0,0.162452073068199,0
X601658.CH.Equity,0.17369579726489,0,0,0.148759459765856,0.0695284522759445,0,0,0,0,0.43613771494217,-0.0712365338764295,0,0,0,0.0874057198109719,0,0,0,0,-0.0175324358684966,0,0,0,0,0,0,0,0,0.103419975739103,0.0880318432044964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116064089326112,0,0.0812797355504341,0,0,0,0
X000001.CH.EQUITY,0,0,0,0.594669511156207,0,0,0,0.0596802580597806,0,0,0.103081516946695,0,0,0,0,0,0,0.0361905054642669,0,0,0,0,0.150867524332493,0,0,0,0,0,0,0,-0.244578186550129,0,-0.124102121428979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377170637987288,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,-6.44057558574042e-05,0,0.0163141311140436,0,0,0,0,0,0,0,0,0.46015752191684,0,0,0.213659340578164,0.0728766667261593,0,0,0,0,0,0,0,0,0,0,0,0.0187674811325259,0,0,0,0,0,0,0,0,0.205494729422299,0.0754519463169798,0,0,0,0,0,0,0,0
