,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.17206403566687,0,0.199218986292762,0,0,0,0,0,0,0,0,0,0,0.0446791197921809,0,0,-0.191358231383988,0,0,0,0,0,-0.292173575759888,0,0.0487015834368015,0,0,0.839081956330803,-0.0998413278223891,-0.156477498963856,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.00127750289684267,0,0.21203978659221,0.0166030673749639,0,0,0,0,0.0628711781967742,0,0,0,0,0,0,0.0189531740658785,0,0,0,0.0279017472375037,0,0,0.078908439985269,0.0224639702312629,0,0,0,0,0,0.279069136490736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.131462902370324,0,0,0,0,0,0,0,0,0.180434356560372,0,0,0,0,0,0,0,0.1462277785631,0,0,0,0,0,0,0,0,0,0,0,0.10041924483051,0,0,0,-0.257536129415541,-0.220281320534513,0,0,0.510450089456107,0.173750985544894,0,0,0,0.163695795044625,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.595521929421151,0.244780362789978,0.084345973694338,0.5884785466221,0,0,0,0,0.350414786523051,3.46944695195361e-18,0,0.0396830914377836,0,0,0,0,0,-0.421522009512784,0,0,0,0,0,0.0977496016841088,0,-0.706483533890463,0,0,0,0,-0.379634065308255,0,0,0,0.312285844186328,0,0,0,0,0.451591081044621,0,0,0,-0.0528661387151783
X5.HK.EQUITY,-0.0778134554778118,-0.0239162529030569,0,0,0,0,0,0,0,0,0,0,0,0,0.46435350856741,0,0,0,0.449901830777882,0,0,0,0,0.0662341514102676,0.0122423626898464,0,0,0,-0.130458768370974,0,-0.138669054638233,0,0,0,0,0.129661159234313,0,0,0,0,-0.101757821918079,0,0,0.182198660435997,0,0,0,0,-0.130223761451516,0,0
X601988.CH.EQUITY,-0.36777910825276,0,0,-0.0047534351700524,0.337069364802294,0,0,0,0,0,0,-0.0529168744082997,0,0,0,0,0,0.167616261016803,0,0,0.792766393655649,0,0,0,0,0,0,0,0,-0.545291542731733,0,0,0,0,0,0,0,0,0,-0.000831515042139568,0.0424927595790589,0,0.147339679463557,0,-1.73472347597681e-18,0,0,0,0,0,0
X600036.CH.EQUITY,-0.15953720794395,0.543154732918417,-0.0346510452149069,0,0,0,0,-0.0303767420285378,-0.00534756554284797,0.348054832316704,0,0.357872212679287,0,0,0,0,1.73472347597681e-18,0,0,0,-0.131126120479419,-0.174725340521819,0,0,0.232032043564104,0,0,0.0750272170630084,0,0,0.110243474614888,0,0,-0.277553612130852,0,0,0,0,0,0,0,0.215382176037604,0,0.0503232917353502,0,-0.109783481555519,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.110774404187796,0.0113866543731822,0,0,0.133848025042301,0,0,-0.0787952186929431,0,0,0.0291645542962179,0.14001580196512,0,0,0.0599108587189797,0,0,0,0,0,0,0.154575565910239,0,0,0,0,0,0.143356589949011,0,0,0,0,0,0,0,0,0,0,0.022993020765019,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0249145852217789,0,0,0,0,0,0,0,0.0673476911427605,0,0.35996767639963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0400242344983443,0,0,0,0,0.276546658171176,0.0535953067463512,0.0705258954410993,-0.0380840381322791,0,0,0,0.019389003007219,0,0,0,0,0,0,0,-0.142748029138752
X601328.CH.EQUITY,0,0,0,0,0,0,0.357746662597524,0,0,0,0,0.101186101859643,0,0,0,0,0,0,0,0,0,0,0.0273204933728187,0,0.245336269553202,0.168211337722489,0,0,0,0,0,0,0,0,-0.0729421208442744,0,0,0,0,-0.148840707767341,0,0,0,-0.0269749860636004,0.132054788566617,0,0,0,0,0,-0.242288747969057
