,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.0302486165758638,0,0.380581999235855,0,0,0.10781003965706,0,0.298202907305823,0,0,0.123707136003625,0,0,0,0,0,0,0.0258585363809738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.369048870711628,0,0,0,0,0,0.00449313107217928,0,0,0,0,0,0.468137580819712,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034233216852325,0,0,0,0,0,0,0.0717296850485297,0,0,0,0.0348330028675612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,-1.73472347597681e-18,0,0,0.0599340751891111,0,0,0,0,0.00767295351335392,0,0,0.383021076609878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695136067284166,0,0,0.055227748672211,0.159658132125557,0,0,0,0,0,0.14058496765573,0,0,0,0,0,0
X601288.CH.EQUITY,0.394091783669272,0,0,0,0.415656531623769,0,0,0,0,0,0.0540884475734571,0,0,0,0,0.0860499354681591,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0342463094986679,0,0,0,0,0,0,0,0,-0.0134076441510198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.276534852177218,0,0,0,0,0,0,0.000622979490532735,0,0,0,0,0,0,0.13634421858118,0,0.132820998954986,0,0,0,0,0,0,0,0,0,0.000544904468498896,0.0663904495719455,0,0.0161148606638044,0,0,0.046279705094294,0,0,0,0,0,0,0,0,0.164534241090994,0,0.150363772866975,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.314152794749019,0,0,0,0,0,0.160340679286458,0,0,0,0,0,0,0,0,0,0.0382245242081833,0,0,0,0,0,0,0,0,0,0,0,0.2195030509103,0,0,0,0.297297510985805,0,0,0,0,0,0,0,-6.93889390390723e-18,0.073327460802321,-0.0588207892201452
X600036.CH.EQUITY,0,0,0.0288535411169438,0,0,0.0498768693934941,0,0,0,0,0,0.328477105378634,0,0,0,0,0,0,0,0,0,0,0,0.0249456208169734,0,0,0.0930781704318483,0,0,0.00154258588938823,0,0,0,0.132105835941903,0,0,0,0,0,0,0.0731716593685296,0,0,0,0,0,0,0,0,0.27174590170564,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0113944816518749,0,0.0174385417699556,0,0,0,0,0,0,0.339018816873765,0,0,0,0,0.102827964165977,0,0.0139629682865252,0.0640990928462981,0,0,0,0.187006929390589,0,0,0,0,0,0,0,0.177253146709744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0.132643956844054,0,0,0,0,0,0.123755314200574,0,0,0,0.314896985120244,0.0339584380719686,0,0,0,0,0,0,0,0.0459448480248681,0,0,0,0,0,0,0,0,0.141860684015676,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168548215786176,0,0,0,0,0,0,0,0.0723977946055831,0,0,0,0,0,0,0.562212056310899,0,0.106104425031619,0,0,0,0,0,0,0,0,-0.391631375543503,0,0,0,0,0.761186007947178,0,0,0,-0.0695899552317045,-0.0946319639975834
