,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601328.CH.EQUITY,0.220187461790009,0,0,0.263644346374587,0,0,0,0,0,0,0,0,0,0,0.08458960084007,0.0445625842599772,0.0591683325007312,0,0,0,-0.025619904304989,0,0,0.126167585132924,0,0,0,0,0,0,0.0937183067379232,0,0,-0.0213753122442052,0,0,0,0,0,0,0,0,0,0.0694382550829976,0,0,0,0.104590833244118,0,0.0867368515847183,0
X601166.CH.EQUITY,0,0.162609078167538,0,0.130850591002236,0,0,0,0,0,0.0334261131475499,0.0141882071356793,0,0,0,0.296424453972834,0,0,0,0.0268808048635084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063788217571785,0,0,0,0,0,0,0,0.023205389918443,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0.00142186436828306,0,0,0,0,0,0,0,0,0,0.235742506357855,0,0,0,0,0,0,0,0,0.0228332336249198,0,0,0,0,0,0.405073422081418,0.0487498163169488,0,0.00494461999196575,0,0,0.026986756849779,0,0,0,0,0,0,0.0304510076145231,0,0,0.0446866572428063,0,0,0.0531786814897929
X600000.CH.EQUITY,0,0,0,0.200709750474811,0,0.0283631114515584,0,0,0.0720167888228643,0,0,0,0.305864071243025,0,0,0,0,0,0,0,0,0,0.0942995785377684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119570707075265,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0.00150293056890289,0,0,0,0,0,0,0,0,0.066152806518593,-0.00595424879288482,0,0,0.107707299289344,0,0,0,0,2.16840434497101e-19,0,0,0,0.130771566021242,0,0.106877838100403,0,0,0,0.0194259124505044,0,0,0,0,0,0,0.180219869279228,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,-0.06719248407056,0.0303422018479462,0,0,0,0,0.537177734096683,0,-0.00876246770326802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126120918888789,0,0,0,-0.122398126432266,0.137393251367665,0,0.0923179676461774,0,0,-0.0189897511554016,0,0,0,0,0,0,0,0,0,0.000740389597999872,0
X601319.CH.EQUITY,0,0,0,0,0.0737809463325825,0,-8.67361737988404e-19,0,0,0,-0.0456126414824697,0,0,0,0,0.0525780271246046,0,0,0,0,0.0295496097094361,0,0,0,0,0,0.0116760399213813,0,0,0,0,0.163129884909053,0,0,0,0,0,0,0.328925404833714,0.194844642731305,0,0,0,0.126872799648655,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0.274056133259604,0,0,0.0839574183603034,-6.93889390390723e-18,0,0.0225422187197095,0,0,0,0,0,0,0,0,0,0,0,0.159962907003454,0,0,0.120431270570737,0,0,0.103400388616691,0,0,0,0,0,0,0.094396722702043,0,0.00209001602119019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629027993685419
X16.HK.EQUITY,0,0,0,0,0.0574590147824349,0,0.135631081418826,0,0,0,0,0,0,0,0,0,0.0253819092445352,0,0,0,0,0,0.181929156006267,0,0,0.225504587725574,0,0,0,0,0,0,0,0,0,0,0.185769819406818,0,0,0,0.224049412547646,-0.0881812327457007,0,0,0,0,0,0,0,0,-0.00681282366702471
X601601.CH.EQUITY,0,0,0.640892236688348,0,0,0,0,0,0,0,0.021806335907639,0,0,0,0,0,0,0,0,0.231470435476918,0,0,0,0,0,0,0,0,-0.0168368194851367,0,0,0,0,0,0,0,0.0145340337923372,0,0,0,0,0.157526086868264,0.259092312661673,-0.327514295587522,-6.93889390390723e-18,0,-0.109788118398825,0,0,0,0
