,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,macro_return_add
X601398.CH.EQUITY,0,0,0.128513601655499,0,0,0,0,0,0,-0.151527356848233,0,0,0,0,0,0,0,0,0,0,-0.10433162648653,0,0.0744763166555828,0.443754694240859,0,0.52628033125403,-0.142328316496074,0,-0.0188195799153677,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0160237261461781,0,0,0,0,0,-0.0184478643750136,0,0,0.0184391689748458,0,0.0289785259380249,0,0,0,0.520695026005113,0,0,0,0,0,0,0,0,0,0.125892978672027,0,0,0,0,0,0,0.0689854670231589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.0610165890233343,0,0.787294675295703,0,0,0.00301554812630681,0,0,0.0391222089227899,0.0542495051134374,0,-0.05328172287172,0,0,0,0.0842023596753643,0,0,0,0,0.00428817118310495,0,0,0.0394188990971511,0,0,0,0,0,0,0,0,0,0,0,0,0.0786961171327799,0,0,0,0,0.00356510384421427,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.020441934990642,0,0.979459789453486,0,-0.0116753106609083,0,0,-0.0638147249439683,0,0.0210434157185934,0,0,0,0,0,0,0,0,0,0,0.000719794820154425,0,0,0,0.0489529805845368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190589211445812,0,-0.0453033828426834,0,0,0,0,0.0613601967618354,0,0,0,0,-0.112366884769484
X601628.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0,-0.0847886970832493,0.223839360055294,-0.0688644034204913,0.353475979695657,0,0,0,0,0,0,0.339684637543575,0,0,-1.73472347597681e-18,0,0,-0.0910506885562543,0,0,0,0,0,0.026518711549702,0,0,0,0,0,0,0.214709572367724,0,0,0,0,0,0,0,0.17822505332144,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.3307032121847,0,0,0,0,0.0476154599149596,0,0,0,0,0,0,0,0.0680484347476945,0.110228661491869,0,0,0,0,0,0,0.0737393349781527,0,0,0,0.144489056899373,0.120393255629863,0,0,0.0161562355769112,0,0,0,0,0,0,0,0,0,0,0,0.0512037780638954,0,0,0.0356097466847274,0,0,0
X601988.CH.EQUITY,0,0,0,0.0639689053195216,0,0.0102278582742314,0,0,-0.0563643030621641,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0723051156614308,0,0,0,0,0,0,0,0,0,-0.0248347917810274,0,0,0,0,0,0,0,0,0,0,0,-0.134327843872515,0,0.997955623547681,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0595238378931644,0.270385844963145,0,0,0,0,0,0.0182775838095844,0,0,0,0,0,0,0.306711590800371,-0.0254299654274204,0,0,0,0.0662155411880642,0,0,0,0,0.0943137420201349,0,0,0,0,0,0,0.0107426410120014,0,0.075769988486084,0,0.0811761580644451,0,-0.0181489595855653,0,0,0,0.258997852472864,0
X5.HK.EQUITY,0,0,0,0,-0.0304972856472673,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-0.0542149565798771,0,0,0,0,0,0,0.22913549307284,0,0.366912203614641,-0.20488608896261,0,0,0,0,0,0,0,0,0,0.0277802980395154,0,0,0,0,0.251523542025214,0.098284067391477,0,0,0.00899555915520332,0,-0.242012201847744,0.178830188420382
X388.HK.EQUITY,-0.0701387670574506,0,0,0,0.241569128866726,0,0,0.0178066381193355,0,0,0,0,0,0,0,0.20877151799255,-0.0397376549284226,0,0,0,0.156826912605315,0,0.23387122672232,0,-0.103324535977334,0,0.396450371848422,0,0,0,0.0936278446523392,0,0.206056801091654,0,0,0,0,0,0,0,-0.0670452737193402,0.157737922893579,-0.196608374898719,-0.0687374273983438,-0.226162996161174,1.38777878078145e-17,0,-0.147397163870019,0,0,0
