,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,macro_return_add
X601319.CH.EQUITY,0,0,0,0,0,0,-0.45237894067733,0,0,0,0,0,0.0509821696295833,0,0,0,0,0,0,0,0,0,0,0.204112156938276,0,0,-0.206118201305665,0.203794998976819,0,0.172722114972921,0,0,0.187477439437814,0,0.0985734077810326,0,0,0.495845508482087,0,0,0,0,0,0,0,0,0.11580645627512,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224491837778867,0,0,0,0,0.0455696480826321,0.0289677525088616,0,0.14788934980365,0,0,0,0,0,0,0.628544644448554,0,0,0,0,0,0,0.0684412488914264,0,0,0,0,0,0,0,0,0.0740892095006614
X2388.HK.EQUITY,0,0,0,0,0.0609773117290202,0,0,0,0,0,0,0.288800946853784,0,0,0,0,0,0,0,0.161753930467481,0.209498998517346,0,0,0,0,0,0,0,0,0,0.192375419638242,0,0,0,0,0,0,0,0,0,0,0.0197146166408114,0,0,0,0.0755275749130753,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0.411173266148777,0,-0.229178671916658,0,0,0,0,0,0.225984216012776,0,0,0,0.0501491819085502,0,0,0.0513635432891646,0,0,0,0,0,0,0.117359921274332,0,0,0.292431184639715,0.0170546649259598,0,0,0,0,0,0,0.0674300990846746,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.153533979644278,0.0800780078567538,0,0,0,0,0.0969723868776326,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.0482008396030327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0873255303067788,0,0.022114544429736,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.231880978426536,0,0.021484446864289
X388.HK.EQUITY,0,0,0,0,0,0,0.181496278939844,0,0,0,0,0.292805161773529,0,0,0,0,0.107450803961855,0,0.0844059816338706,0,0,0,0,0,0.0171018069779062,0,0,0,0.260075508261473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522621728473175,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0.0813605280758566,0,0,0,0,0.1923598162867,0,0,0,0,0,0,0,0,-0.0693164873134775,0,0,0,0,0,0,0,0,0,0.31242915361579,0,0,0,0,0.0561448177413963,0,-0.0374880993447329,0,0,0,0,0,0,0,0,0.211214917497714,0,0,0,0,0.00365673258812966
X601998.CH.EQUITY,0,0,0,0.00416776750200897,0,0.12715389596863,0,0,0,0.295259926693891,0,0,0,0,0,0,0,0,0,0,0,0,0.117344924034367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113609335216143,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,-0.0119699087376986,0,0,0.138611331681997,0.288324115605087,0,0,0.115910653067714,0,0,0,0.082522904104613,0,0,0,0,0,0,0,0,0,0.0508400520233807,0,0,0,0,-0.0166327243953229,0,0,0,0,0,0,0,-0.00349297929073045,0,0.331096762331895,0,0,0.0128952562276996,0,0,0,-0.00535530153316732
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144175721586076,0.0372113309400955,0,0.0659043509045015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147492268370577,0,-1.38777878078145e-17,0,0.58776251357201,0,0,0,0.0261783320174293,0,0,0.210905006717324,0,0,0,0,0,0
