,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.138125577015368,0,0,0,0,0,0,0,0,0,0,-0.0961239930846893,0,0.431542238931543,0.689431572542019,-0.129204881765539,0,0.0392706215843336,0,0,0,-0.0831103304654322,0,0.10799241119408,0,0,0,0,0,0,-0.341905007709856,-0.133820284387948,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.315678904895045,0,0,0,0,0,0.0967412555399779,0,0,0,0,0,0.159059939374121,0,0,0,0,0,0,0,0,0,0.0469018084187852,0.0193231308806639,0,0,0,0,0,0,0.317231625045606,0,0,0,0,0,0,0,0,0,0.0100805839989721,0,0,0,-0.0592958563089862
X601939.CH.EQUITY,0,0,0,0.805700748300976,0.0269504069073921,0.00134769312190694,0.0571587952493882,0,0,0,0,0,0,0,0,0.0289512959164254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427254567282559,0,0,0,0.0436969753050654,0,0,0,0,0,0,0.0456861154446664,0,0,0,0,0.00141959509131518,0,0
X601288.CH.EQUITY,0,0,0.915032077831151,0,0,-0.0749749021169734,0,0,0,0,0,0,0,0,0.00126565412104529,0,0.0140910356608184,0.126859305346911,0,0,0,0,2.16840434497101e-19,0,0,0,-0.0289361050934075,0.053502557543185,0,0,0,0,0,0,0,0,0,0,0,0,-0.106083960424349,0,0,0,0,0,0,0,0,0,-0.0415800596480035
X601988.CH.EQUITY,0,-0.0679543124992535,0,0.0712987970467549,0,-0.00224156756913608,0,0,0,0,0,1.0842021724855e-19,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0881396317547474,0,0,0,0,0,-0.0316888072642557,0,0,0,0,0,0,0,0,0,0,-0.00297352746606474,0,0,0,0.0148425932284446,0,0,0,-0.15343207824825,0.951471751677002,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.916814479886142,0,0,0,0,0,0,0,0,0,0.100312543024265,0,0,0,0,0,0,0,0,-0.113091584146986,0,0,0,0,0,0.079363018112658,0,0,-0.0830443465817341,0,0,-0.058255959764854,0,0,0.0163536756956511,0,0,0.038270642995718,0,0.0570998172562988
X600036.CH.EQUITY,0,0,0.344206793152221,0,0,0,0,0,0.0169399398619964,-0.0212673830511225,0,0,0,0,-2.16840434497101e-19,0.161790012843473,0,0,0.0230632684800715,0,0,0,0,0,0,0,0,0.124808143639639,0.0972839812326075,0,0,0,0.268716684889826,0,0,0,0,0,0,0,0,0,0,-0.00748716196514149,0.0199437954781144,0,0,0,0,0,0.0873329606822918
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169878767029538,0,0,0,0,0,0.332275410509155,0,0,-0.241729649801065,0,0,0.0592170352403366,0,0.170534197460114,0,0.277199567411942,0,0,0.0539443160133574,0,0,0,0,0,0,0,0,0.0493988371173925,0,0,0.334031537481438,0,0,0.0199464020219512,0,0.136912372379187
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00742675307085888,0,0,0.23101962010646,0,0,0,0,0,0.207112771699747,0,0,0.371286942918367,0,0,0,0.219354338178244,0,0.000217223629941691,0,0,0,0.123000024486024,0,-0.161632620667895,0,0,0,0,0.0992427478729864,-0.118713289827057,0.0714518990663739,-0.156141363431901,0,0,0,0,0.257288976188136
X388.HK.EQUITY,0,0,0,0,0,0.248577158509333,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239221240340142,0,0,0,0,0,0,0.498900917601609,0,0,0,0,0,0,0,0,0,0,0,0,-0.0905172221523913,0,0,-0.101848623045059,0.221124706928008,0,0,0,0,0,0,-0.0883798654716834
