,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.166617514462768,0,0.078367626054563,0,0,0,-0.08832327927329,0,0,0,0.495202621009471,0,0,0,-0.0704078568712681,0,0,0,0,0,0,0,0,0,0,0,0,0.0721907186871519,0.00512181751276914,0,0,0,0,0,0,-0.0488873353449109,0,0.119240705879585,0,0,0,0,0.168359129123979,0,0,0,0.0222466837992265,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.135906882812954,0,0,0.11049434309816,0,0.17912115679454,0,0,-0.0751814077910977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125517181999792,0,0,0,0,-0.218526956701082,0.261600456257564,0,0.0739126394152303,0.129051527236037,0,0,0,0,0,0.208454998081984,0
X601939.CH.EQUITY,0.168883968739208,-0.00123585200581785,0,0.29657992767862,0,0.113144097573929,0,-0.0730797532459653,0,0,0,0,0,0,0.0717364472895467,0,0,-0.0188208751588183,0,0,0,0.103163650871331,0,0,0,-0.0686679500115061,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.486975917880106,0,-0.0311367331464076,3.46944695195361e-18,0,0,0,0,0,0,0.0205222063759881,-0.0342483951592729
X601288.CH.EQUITY,0.382049755492486,0,0.159938585591561,0,0,0.188493318290061,0,0,0.0857882003905669,0,0,0,0,0,0,-0.0689795902351282,0.0560665539613454,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.000543805006919799,0,0,0,0,0.127067890905604,0,0,0,0,0,0,0,0,0.213600264100537,0,0
X5.HK.EQUITY,0,-0.124784274429436,0.0277298732258265,0.2856458480253,0,0,0,-0.248027987254561,0,0,0,0,0.146145002853664,0,0,0,0,0,0,0,0.539819514669456,0,0,0,0,0.302191925695338,-0.0109880519209832,0,0,0,0,0,0,0.0223866336458179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200668550930967,-0.0718019914798491,0,0
X601988.CH.EQUITY,0.144745674581912,0,0.125021765112409,0.152639443763954,0,0,0,0,0.109451576256319,0,0.10337924834499,0,0,-0.260238094603099,0,0,0,0,0,0,0,0,0.0692521886832436,0,0.248680879120188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116502743226975,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0874822392222762,0,0,0,0,0.0156157675470204,0,0.289942145565159,0.212415906322183,0,0,0,0.0351630334381861,0.0799504088131887,0,0.0033255590038875,0,0,0,0,0,0,0,0,0.0711792332143291,0,0,0.0422086533132501,0,0,0.0176523029284085,0,0,0,0,0,0,0,0,0.108316396160268,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0341765789869042,0.0696095559236325,0,0,0,0.140514398720472,0,0,0,-0.146560101782134,0,0,0,0.376507098908238,0,0.254057510422316,0,0.0430247012708984,0,0,0,0.104993734130733,0,0,0,-0.004071143243417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.212075191283246,0.258021736995775,0,0,0.0292174599586553,0,0,0,0,0,0,0,0,0,0,0.0649338857355376,0,0,0,0.0134983067441091,0,0,0,0,0,0,0.115569067319065,0,0,-0.0162027670590017,0.0530291794668882,0,0,0,0,0,0,0,-0.404841121336059,0,0,0,0,0.133517227355851,0,0,0,0.273544416249968,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504646775578176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0326852796786542,0,0,0,0.457151779662454,0,0,0,0,0,0,0,0,0.228374051012625,0,0.0151045419603555,0,0,0,0,0,0,0,0,0,0,0.0480454481579957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183049246008241,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0262116045644562,0,-3.46944695195361e-18,0.0657335906726146,0,0,0,0,0,0,0.288767948122933,0,0,0,0,0,0,0,0,0.154330540935214,-0.119775331432246,0,0.123177487682094,0.16923780570167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209058424279229,0,0.157702417937691,0,0.0107740534255343,0,0,0,0,0,0.0310539946519791
X600000.CH.EQUITY,0,0.0336528643175551,0,0,0,0.0673218804569534,0.186180349383933,0,0,0,0,0.340857846066202,0,0,0.0655552285094797,-0.0394058444469503,0,0,0,0,0,0,0,0,0.00795670552090061,0,0,0,0.167377034246897,0,0,-0.0867138962702277,0,0,0,0,0.0167020194289142,0,0,0,0,0,0,0,0,0,0.0602454076803538,0,0,0.192620840337709,0
X000002.CH.EQUITY,0,0,0,0,0,-0.218267233427142,0,0,0,0,0,0,0,0,0,0.204937402746635,0,0.0128805864618566,0.149191753092754,0,-0.0916223561283295,0,0,0.0227853741641216,0,0,0,0,0,0.17013186278386,0,0,0,0,0,0,0.271441604739055,0,0,0,0.0464790546914061,0,0.058201925205078,0.0454667362172925,0,0,0,-0.00219582077269675,0,0.0408344308237845,0
X000001.CH.EQUITY,0,0,0.0747656101865756,0,0,0,0.090397701088275,0,0,0,0.122243113258376,0,0,0,0,0.156419799890401,0,0,0,0,0.137240183379044,0,0,0.0192257049073466,0,0,0,0.135866857166809,0,0,0,0,-0.13229577037095,0,0.0893547807179144,0,0,0,-0.169718050030849,0,0,0,0,0,0,0,0.272108274884891,0,0,0,0
X601601.CH.EQUITY,-0.0969829237409801,0,0,0,-0.015716319799241,0,0,0,0.505763075222929,0,0,0,-0.00831362097760817,0,0.315650230485493,0,0,0,0,0,0,0,0.0570252558273742,0,0,0,0.213046787165187,0,0,0.0374370824032168,0.0657541597301505,0,0,0.085337469560638,0,0,0.0553634403790801,0,0.181049793482889,0.179042351341171,0,0,0,0,0,0,0,-0.0153250401775742,0,0,0
X16.HK.EQUITY,0,0,0,0.277482230321073,0,0,0,0,0,-0.0872751231828372,0,0,0,0,0,0,0,0,0.011752056773579,0.00294650659543649,0,0,0,0,0,0.362283378924742,0.0578738361194287,0.00524455774629026,0,0,0,0.361953180111779,0,0,-0.0548740463820831,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0677334488567818,0,0,0,0,0,0,0
