,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.225546415827731,0,0,0.341440368611733,0,0,0,0,0,0.248452340331474,0,0,0,0,0,0,-0.0598462345963853,0,0,0,0,0,0,0,0,0,0,-0.0463246740897391,0,1.73472347597681e-18,-0.1332644190379,-0.0258325240864715,0.0936619514067419,0,0,0,0.0417787486899564,0,0.104519251254642,0,0,0,0,-0.124878934933969,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.143739726447779,0,0,0,0.0198644357184515,0,0,0.20374550321496,0.023970488496696,0.0039601586784473,0,0,0,0,0,0,0.0704232938746128,0,0,0,0,0,0.0590569866150704,0,0,0,0,0,-0.0336065090562971,0,0,0,0,0.551021577812222,-0.0792974169752587,0.00840840119230457,0,0,0,0.060709228061443,0,0,0,0
X601939.CH.EQUITY,0.199232487400237,0,0,0,0,0,0,0,0,0.00654299767620876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425908719748756,0,0,0,0,0,0,0,0.11230575684664,1.73472347597681e-18,-0.0494150486839226,0,0,0,0
X601288.CH.EQUITY,0.0134005032413571,0,0,0,0.0509110484413785,-3.46944695195361e-18,0,0,0.00886388099189205,0,0,0,0.0881678875261306,0,0,0,0,0,0,0,0,0.362409749889678,0,0,0,0,0.0662627170656062,0,0,0,0,0,-0.0598643112576916,0,0,0,0,0,0,0.212907859856927,0,0,0,0,0,0,0,0.0804771983288325,0,-1.73472347597681e-18
X5.HK.EQUITY,0,-0.0374881488675634,0,0,0,0,0,0,0,0,0,0,0,0,0.178924967547666,0,0,0.16472916520771,0,0.000683786480510608,0.276268962162691,0,0,0.406938132373031,0,-0.0405583797607519,0,0,-0.306727041170085,0,0,0,0,0,0,0,0,0,0,0,0,0.0205984042115838,0,0,0,0,0,-0.141535204131687,-0.104367439980496,0.158991851447529
X601988.CH.EQUITY,0.137454880521008,0,0,0.359786165021357,0,0,0,0,0,0.125380291484753,0,-0.0478280213110888,0.0282825435379881,0,-0.0580750880100901,0,0,0,0,0,0,0.330693583454086,-0.108831503372171,0,0.0257189514984157,0,-0.0516895456357407,0.164462686436647,0,0,0,0,0,0,0,0.0654883263901971,0,0,0,0,0,0,0,0,0,0.036029756813782,0,0.0819093792438085,0,0.00411905975128503
X600036.CH.EQUITY,0,0.623366493463397,0.068227131593739,0.0314958823643065,0,0,0,0,-0.269551783116564,0,0,0,-0.164517037794878,0,0,0,0,-0.106382885691127,0.0116024788083476,0,0,0,0,0,0,0.0641854783569386,0,0,0,0,0.320528387836649,0,0,0,0,0,0,0,0,0.108046628326853,0,0.172868077809324,0,0,0,0,0.0491553187452034,0,0,0.105330718846442
X1299.HK.EQUITY,0,0.0650465113516047,0,0,0,0,0,0,0,-0.140848071961004,0,0,0,-0.0873347957914982,0,0,0,0.310282142196226,0.20960242001604,0,0,-0.0477096709007991,0.114313619852531,0,0,0.150765941113108,0,0,0,0,0,0,0,0,0,0.0551707383530555,0,0,-0.0583209688569895,0,0,0,0,0,0,0,0,0.140267606505398,0,0.230385635654718
X601628.CH.EQUITY,0,0.130118053526435,0,0,0,0,0,0,0,0.0431117166474116,0,0,0,0,0,0.24044690072622,0,0,0,0.0481340598597746,0,0,0.154995638552219,0,0,0,0,0,-0.0302813251683919,0,0,0,0,0,0,0,0,0.214547281763058,0,0.113507641015402,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.329162782938129,0.21342730156839,0,0.0512789703708813,0,0,0,0,0,0,0.630466702237445,0,0,0,0,0,0,-0.530206091384824,0,0,0,0,0.235844847997495,0,0,0,0,0,0.327132145426286,0,0.304016414798258,0,0,0,0,0,-0.131320040718355,0,-0.155503399161624,0,0,0,0,-0.128765629576274,0
