,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.154067758973783,0,0,0,0,0,0,-0.0283332539399662,0,0,0,0,0,0,0,0,0,0,0,0,0.0342417389235649,0.297964013740409,0.360449536261752,0.218146821806734,-0.19215660699315,0,0,-0.0442490370014692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.246472040502054,0,0,0,-0.0836571026380113,0,0,0,0,0,0,0,0.0190124903201671,0,0,0,0,0,0,0,0,0,0,0,0.119247886609264,0.223321819712215,0.0219472236236087,0,0,0,0.218579964405337,0,0.0976465725974866,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.799793243381333,0,0,0,0,0,0,0.000990953013511817,0,-0.0394093450744003,0,0,0,0.0419160009985049,0.121122572711484,0.050343350934954,0,0,8.67361737988404e-19,0,0,0,0,-6.93889390390723e-18,0,0.0361460018972985,0,0,0,0,0,0,0,0,0.0453845807708664,0,0,1.0842021724855e-19,0,0,0,0,0,0.00491796526975584,0,0,0,0
X601288.CH.EQUITY,0,0,0.901006034232573,0,-0.0834255132166382,0,0,0,0,0,0,0,0,0,0.0120809124141115,0.0305135788429012,0,0,0.14956813953951,0,0,0,0,0,0,0,0,0,0.0232973391926332,0,0,0,0,0,0,0,0,0,-0.049797599056609,0.0125649604623377,0,0,-0.112145898504237,0,0,0.0285824933148333,0,0,0,0,-0.0361790924706028
X601628.CH.EQUITY,0.0104037022673801,0,0,0,0,0,0,0,0,0.262156283398079,0,0.198576916406762,0,0,0,0,0,0,0,0.172195880149001,0,0,0,0,0,0,0,0,-0.128034572246016,0,0,0,0,2.16840434497101e-19,0,0,0,0.378092213568543,0,0,0,0,0,0,0,0.0931384305731297,0.292969094204268,0,0,0,0
X600036.CH.EQUITY,0,0,0.241583414855087,0.144748564419108,0,0,0,0,0.0966765941182738,-0.0201393149572131,0,0,0,0,0,0,0.121713582068542,0.0746236854477118,0,0,0,0,0,0,0,0.0949153947113989,0,0,0,0,0.107154970877655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122715996299455,0,0
X601988.CH.EQUITY,0,0,0,0.0059956722289902,-0.144527990966874,0.0768154954329919,0,0.0651089698983135,0,0,0,-0.00843832191060401,0,0,0,-0.00423983973087149,0,0,0,0,-0.0506087565119061,0,-0.0185523170077882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107213193903306,0,0,0,0,0,0,1.05493243629615,0.0101294967969938
X1299.HK.EQUITY,0,0.0483057548061257,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.0124161189796518,0,0,0,0,0,0,0,0.375398353995183,-0.0486280574005318,0,0,0,0,0,0.00875110056770233,0,0.239794367670254,0,0.0620621602061653,0,0.00204331993713614,-8.67361737988404e-19,0,0,0,0,0.0845780414625884,0,0,0,0,0.141295901055697,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151626156768161,0,-4.33680868994202e-19,0,0,0,0,0,-0.055475397384589,0.505217366431484,0.163776167834306,0,0,0,0,0,0,0,0,-0.0983341293871556,0,0.108907174363241,0,0,0,0.0309694771429396,0.0656989259475,0,-0.141709385843584,0,0.05585938629863,0,0.127421025268302
X388.HK.EQUITY,0,0,0,0,0.209814282773974,0,0,0.127888479614726,0.108649412613007,0,0,0,0,0,0.0517825948066665,0,0,-0.296493356944125,0,0,0.0543437860633934,0,0.45169154584674,0,0,0.028845783258759,0.292601071889195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,-0.272918548888819,0,0
