,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,macro_return_add
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0372872556894189,0,0,0.532982017209577,-0.0488923279697072,0,0,-0.0669898584454227,0,0,0,-0.0888862803934942,0,0,-0.059328605348175,0,0,0,0.1582973745164,-0.00238098186441934,0.167625911962446,0,0,0.111300651339975,0,0,0,0,0.0794915972667977,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0
X601658.CH.Equity,0,0,0,0,0.134313567908127,-0.0880448411505424,0,0.435975755643272,0,-0.0556567246407508,0.125509143122834,0,0,0,0,0,0.0669703547113029,0.0653031306966277,0,0,0,0,0,0,0,0,0.108192694463586,0,-0.230202925112133,0,0,0,-0.212112762727481,0,0,0,0,0,0,0,0.116707791650088,0,0,0,0,0,0,0,0,0,0.0636758803437968
X000001.CH.EQUITY,0,0,0,0.0305116730244262,0,0,0,0,0,0,0.516931494337171,0,0,0,0.117917489230878,0,0.0806733181258152,0,-0.0176221477802476,0,0,0,0.287687823877232,0,0,0,0,0.0863408703154022,0,0,0,0,-0.0139217458459059,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265877680035624,0,0,-0.2614255527105,-0.00481133570305204
X601601.CH.EQUITY,0,0.529053599799616,0,0,0,0,0,0,0,0.0265748382201795,0,0,0.130816097982192,0,0,0,0,0,0,0,0,0,0.0751354719575211,0,0,0,0,0,0,-0.130331131950644,0.0678511240303629,-0.00583369948594214,0,0,0,0,0,0.0348372882863722,0,-0.0408601023237365,0,0,0,0,0,0.271610953152226,0,0,0.0962723890448849,0,0
X600030.CH.EQUITY,0,0.0769796507720047,0,0,0,0,0,0,0,0,0,-0.0266872904066207,0,0,0,0,0,0,0,0.285083716285816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182925712334823,0.157387176333785,0.000817291635101649,0,0,0,0,0,0.170748703231199,0,0,0.0649490015927148,0,0,0,0
X000002.CH.EQUITY,0,-0.137133668309564,0,0.231367540718365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926921247008107,-0.176911398857824,-0.037988945127905,0,-0.0403270413113516,0.764910556306072,0,0.15027593707659,0.0488863855735492,0,0.0174938558534682,0,0,0,0,0,0,0,0,0.0678534245992824,0,0,0,0.0139640163778778,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,-0.100743663784113,0,0,0,0.052224437746455,0,0.123092574701106,0,0,0,0,0.196629713136824,0,0,0,0,0,0,0,0,0.296652134261789,0,0,0,0,0,0,0,0.181216306590814,-0.0694774707506846,0,0,0,0,0,-3.46944695195361e-18,0,0,0.170006636642581,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.0497917650488956,0,0,0,0.212199481555995,0,1.38777878078145e-17,0,0,0,0,0.354832035927815,0,0,0,0,0,0.0310138653570583,0.0866110553786092,0,0,0,0,0,0,0,0,0.148387637090828,0,0.132074480831937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611541244870102
X600000.CH.EQUITY,0,0,0,0,0.0573140100815279,0,0,0.141056556926423,0,0,0,0,0,0,0,0,0.0531269869060139,0.274542613233413,0,0,0,0,0,0.0849570042731292,0,0.104659484080278,0,0,0,0.111267408486292,0,-0.0074146258919492,0,0,0,0,0,0,0,0.0882922026505644,0,-4.33680868994202e-19,0,0.0967997965984141,0,0,0,0,0,-0.066893309171238,0
X601066.CH.EQUITY,0,0,0,0,-0.0286953232762196,0,0,0,0,0,0,0,0,0,0.462738944401681,0,0.0820434718220512,-0.0215050696090252,0,0,0.0115081966336079,0,0,-0.0930051331269271,0.0472434140895377,0,-0.149087796647123,0.131571963699042,0,-0.121345067078548,0,0,0,0.0448954432119538,0,0,0,0,0.107060127775359,0.246841085502962,0,0,0,0,0,0.0363332122503525,0,0,0.0020146438092112,0,0
