,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.149662584696804,0,0,0,0,0,0,0,0,0,0,-0.11550143558162,0,0.486175645734723,0.71226777889679,0.0417520196142133,0,0,-0.122887800994244,0,0,-0.0921349343554056,0,0.0844070908789994,0,0,0,0,-0.124084487969327,0,0,-0.341847854440201,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.140410498785483,0,0,0,0,0,0,0,0,0,0,0,0,0.358917453187771,0,0,0,0,0,0,0,0,0,0.083535448368858,0,0,0,0,0,0,0,0.42286347434167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.819844217391089,0.0238779746877125,0.0159153459952116,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.000655241312484149,0,0,0,0.0593606736116542,0,0,0,0,0,0,0,0,0,0,0,0.0164279194469291,0.0456728884383732,0,0,0,0.00527795328486183,0,0,0,0,0,0,0,0.0671289864089232,0,0,0,0.0229566060624219,0,0
X601288.CH.EQUITY,0,0,0.922613470252095,0,0,0,-0.0678335132843286,0,0,0,0,0,0,0,0,0,0,0.116153088017284,0,0,0,0,0,0,-0.0147985257873469,0,0.0589780770002886,0,0,0,0,0,0,0,0,0,0,-0.104346811257732,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,-0.0476990651734312
X601988.CH.EQUITY,0.0955764437295752,0,0,0,0,0,0,0,0,0,0,0,0,1.27811353406933,0,0,0,0,-0.183945077667987,0,0,0,0,0,0,0,0.101293220134802,0,0,-0.121161190899385,0,0,-0.18406707486283,0,0,-0.230500881058292,0,-0.0387083039287356,0,0,0,0.00173495491384001,0,0.0347357200496893,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.37690110361714,0,0,0,0,0,0.0159844007009816,-0.0202072146175348,0,0,0,0,0,0.137569862268634,0,0,0.0128963961493813,0,0,0,0,0,0,0,0.14596767870738,0,0,0.0813116231153207,0,0,0.203209996288908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172985468873418,0.0708218638892762
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.915163524033831,0,0,0,0,0,0,0,0,0,0.10110159418489,0,0,0,0,0,0,0,0,-0.114176620387549,0,0,0,0,0,0.0798442797414474,0,0,0,-0.0832513331443515,-0.0587142112333647,0,0,0,0.0165193691910936,0,0,0.0379822234531509,0,0.0582538123107162
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.253537895440814,0,0,0.0524470674604849,0,0,0,0,0,0,0,0,0.145058134589774,0,0,-0.182152740306759,0,0,0,0,0,0,0.205082379226243,0,0,0.148469090251052,0,0,0,0,0,0,0,0,0,0,0,0.433504182336568,0,0,0.0487088719527379,0.0364820867915872,0.0993354866742567
X5.HK.EQUITY,0,0,0,0,0,0,-0.0176181448448682,0,0,0,0,0,0,-0.0533571371192545,0,0,0.361967240366089,0,0,0,0,0,0.105575662539799,0,0.011145626275879,0.515848279530438,0,0,0.203203200954923,0,0,0.045192087353077,0,0,0,0,0,0,0,-0.377561272304985,0,0.110298429661339,0,0,-0.0823519725098594,0,0,0,0,0,0.149915039496838
X388.HK.EQUITY,0,0,0,0,0,0,0.178010780138206,0,0,0,0,0,0,0,0,0,0,0,0,-0.157268244750288,0,0,0,0,0.400168581569527,0,0,0.0911160210915787,0.108905383160693,0,0,0,0,0,0,0,0,0,0,0,-0.0811916292235419,0,0,0,0.186181429192946,0,0,0,0,-0.197263567638796,0
