,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.436662693298999,0,0,0,0,0,0,0,0,0,0,0.334719528033073,0,0,0,0,0,-0.0398926755234427,0,0,0,0,0,0,0,0,0.0648726524688553,0,0,0,0,0,0,0.00484138624055847,0,0,0,0,0,0,0,0,0.00985956048634352,0,0.12745527031333,0,0,0
X601939.CH.EQUITY,0.280452494822191,0,0,0,0,0,0,0,0,0,0,0.136532944851664,0,0.383890366483855,0,0,0,0,0.0691543480187232,0,0,0,0,0,0,0,0,0,0,0.0173209576806099,0,0,0,0,0.0749436135274559,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.203574170514441,0,0.0843632843223256,0,0,0,0,0,0,0,0,0,0,0.29894509879545,0.0695380037543837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146902575110504,0,0,0,0,0,8.67361737988404e-19,0,0.121915453030217,0,0,0,0,0,0,0,0,0.0214649752902521,0
X601288.CH.EQUITY,0.320725811838331,0.124962916676765,0,0,0.38154431167967,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0963473917627624,0.0372877038550343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0
X601988.CH.EQUITY,0,0,0,0.17719566872179,0,0,0,0,0,0,0.238539547509667,0,0,0.0933866068293953,0,0,0,0,0,0,0,0.0235225709816278,0,0,0,0.0979685409067244,0,0,0.0741597484362153,0,0,0,0,0.101484226995784,0,0,0,0,0,0,0,0.0650845655423395,0,0,0,0.0492185574150821,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.324057825889993,0,0,0.185913814477489,0,0,0,0.0024757478680066,0.612664985935319,0,0,0,0,0.515102018791559,0,-0.686778019286524,0,0.118543720182045,0,0.198438777704247,0,0,0,0,-0.150570216406801,0,0,0,0,0,0.0477250130293057,0,0,0,0,0,0,0,0.177592784865398
X600036.CH.EQUITY,0.0978083196798581,0,0,0.0547784864342118,0,0,0,0.0180697871811621,0,0,0,0.0218151423754553,0,3.46944695195361e-18,0,0,0,0,0.0137070078003058,0.0800181850823569,0,0,0,0,0,0,0,0,0,0,0.0978520796501804,0.114020699316095,0,0,0,0.203229894598388,0.0268266170187096,0,0,0,0,0,0,0,0,0,0,0,0,0.0799828213478842,0
X1299.HK.EQUITY,0,0,0,0,0,0.0357020898304572,0,0,0,0,0,0,0,0,0,0.0258077807728741,0,0,0,0,0.168479427955152,0,0,0.0552035091403126,0,0.0967028821604919,0,0.107514175144141,0,0,0,0,0,0,0,0.0541759346414795,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369875970862996,0
X601628.CH.EQUITY,0,0.284699711756669,0,0.136422510660191,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0154893206103736,0,0,0.0582693593724198,0.0294378002334119,0,0,0,0,0,0,0,0,0,0.193246466159093,0,0,0,0.016396078814115,0,0,0,0,0,0,0,0,0.112270789094897,0,0,0,0,0,0,0.012658259921054
X601658.CH.Equity,0,0,0,0,0,0,-0.0468336859825727,0,0,0,0,0,0.208069120347041,0,0,0,0,0,0,0,0,0.213942823146754,0,0,0,0,0,0,0,0.074467632901928,0,0,0,0.110388929723058,0.264223774170481,-0.272544645885737,0,0,0,0.0382795687966516,0.302727187583371,-0.154196938165133,0,0,0,0,1.15691450677739,-0.0830365569823198,0,-0.527047164283432,0
