,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0.150990404342651,0,0.0637792382360929,0,0,-0.0258543849472366,0,0,0,0,0,0.154292153553818,0,0,0,0,0,0.0331343541063448,0,0,0,0,0,0,0,0,0,0,0,0.0851010989536376,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20364941105364,0,0,-0.0921449855896383
X601318.CH.EQUITY,0,0,0,0.00665443155858388,0,0.0158161757542092,0,0.109432765401361,0,0,0.103602682267335,0,0,0,0,0,0,0,0,0.369445233687135,0,0,0,0,0,0.143064483068791,0,-0.0144240912045358,0,0,0,0.0693805513423823,0,0,0,0,0,0.151911461513059,0,0,0,0,0,0.125653458419138,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.0679026915922849,0,0.37061294493441,0,0,0,0.074753532091325,0,-0.149400440822367,0,0,0,0,0,0,0,0.0851315356110439,0,0.57469133062591,0,0,-0.0199272245105644,0,0,0,0,0,0,0,0,0,0,0,-0.0274693670595645,0,-0.00644131046166405,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.122353511784201,0,0,0,0,0,-0.0709061726805948,0,0.301060616143747,0,0,0,0,0,0.0591677632697204,0,-0.185232461512257,0,0,0.0203565661138916,0,0,0.0505151790776263,0,0.304427418567272,0.382885835916386,0,0,0.0423102664944914,-0.00540845823664126,0,0,0,0,0,0,0,0.0936233110003841,0,0,0,-0.0574219667074821
X601288.CH.EQUITY,0.10297337771131,0,0.111646432932169,0,0,0,0.0772115180576019,-0.0629567272325845,0,0,0,0,0,0,0,0.169125338236599,0,0.104910945542844,0,0,0,0,0.226191833392963,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0764693551833433,0,0.0737492161652071,0,0,0,0,-0.079094563590479,0,0
X600036.CH.EQUITY,0,0.147881962026254,0,0.0982718267145096,0,0,0.0927660422477954,0.0618810345038595,0,0,0,0,0,0.270747942534908,0,0,0,0,0,0,0,0,0,0,0.300441180481735,0,0,0.00595751263240841,0,0,0.0514575179581457,0,0,0,0,0,0,0,0.088733162304306,0,0,0,0,0,0,0,0.0546604670568824,0,0,0,0
X601988.CH.EQUITY,0.119914062992309,0.096295708734981,0,0,-3.46944695195361e-18,0.301318243591802,0,0,0,0,0,0,0,0,0,0.351383391093382,0,0,0,0,0.188410981611876,0,0,0,0,0,0,-0.0151259836088221,0,0,0,0.0930383062796094,0,0,-0.0302715839205223,0,0,0,0,0,-0.0443844229974069,0,-0.13882743582041,0,0,0,0,0,0,0,-0.076649514749464
X1299.HK.EQUITY,0,0,0,0,-0.153494600935322,0.0546471351878669,0,0,0,0.358085431038957,0,0,0,0,0,0,0.109858967918139,0,0,0,-0.0592359363668893,0,0,0,0,0,0.350924077981748,0.1382755167484,0.0579990768687576,0,0,0,0,0,0,0,0,0.00691447967773678,0,0,0.0765196268901744,0.0208289969949006,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.045383235518984,0,0,0,0,0,2.16840434497101e-19,0,0,0.086765456221793,0,0,0,0,0.555922563696522,0.0222513722615949,0,0.124726537610922,0,0,0,0,0,0,0,0,0,0,0,0.18812486658007,-0.0252728171399569,0.149580531480982,0,0,0,0.115765865488526,0,0.140352431457374,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.00431049016653567,0,0,0.080182058542789,0,0,0.184502818356868,0,0,0,0,0,0,0,0,0,0.358226467399567,-0.108097327981986,0.0322970856410903,0,0.0549240412593383,0,0,0.340035351340385,0,0,-0.231027003998194,0.314547048625004,0,0,0,0,0,0.180615332467397,0,0,0,-0.330928055479258,0,0.0528664714771437,0,1.38777878078145e-17,0,0.144286302258223
