,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.21110307257337,0,0.0177623982432548,0,0,0.386784484722517,0,0,0,0.0205466835153372,0,0,0,0,0,0,0,0,0,0,0,0,0.237407446460126,0,0,0,0.0262015083960547,1.38777878078145e-17,0,0,0.101010736638573,0,0.0669017854943451,0,0,0,0,0,0,0,0.0299944181493412,0,0,0,0,0,-0.101453554172018,0,0
X601318.CH.EQUITY,0,0,0.128877551228074,0,0,0,0,0,0.168399401246951,0,0,0,0.205252070677542,0,0.09148064204417,0,0.0336483142319293,0,0.0465016368542471,0.00949859376569395,0,0.0584046415516027,0,0,0,0,0,0,0.179073839436815,0,0,0.0480055577224788,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152161250590824,0.152087682546518,0,0,0,0
X601939.CH.EQUITY,0.540906451863191,0.094865583446797,0,0,0,0,0,0,0.13372601224999,0,0.130937898048161,0,0,0,0,0,0,0.0542803057555343,0.148659954066258,0,0,0,0,0,0,0,0,0,0,0.187739191931107,0,0,0.0375031768545203,0,0,0,0,0,0.0767165713229448,0,0,-0.0863497209321788,0,0,0,0,0,0,0,0,0.0137952784634703
X600036.CH.EQUITY,-0.0232515001633194,0,0,0,0,0.212102052799856,0,0,0,-0.127436304481149,0,-0.0356451843762003,0.108747504847806,0,0,0.137319344633841,0,0,0.153034166305511,0,0,0,0,0,0,0.425579687000815,0,0,0,0.0434031712464474,0,0,0,0,0,0,0,0,-0.0679173012022192,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0461670731362384,0,0,0,0,0.552017258869497,0,-0.0805496835624207,0,0,0,0,0,0,0,0,0.0358988121940178,0,0,0,0,0.0881664981934193,0.104504851945228,0,0,0,0,0.112951968980314,0,0,0.0796380020999004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200946755879416,0.00122081097659433,0.00580777373314913,0.0387976754756958
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0624483775943321,0,0.127789566493783,0,0,-0.0216815002936235,0,0,0,0,0,0,0,0,0,0,0.212303749022013,0,0,0,0,0,0,0,0,0.0774799194672986,0,0,0,0,0,0.0566592057879202,0,0,0.106972644529607,0,0,0.141714742610933,0,0,0,0.21034477987631,0,-0.170512466542072
X601628.CH.EQUITY,0.0549766188316004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0538095880311733,0.156738134799472,0,0,0.0058042878379189,0,0,-0.160205911079776,0,0,0,0,0,0,0,0,-0.0353819433698664,0,0,0,-0.0206631931576532,0,0.474151861600291,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.141090079565098,0,0,0,0.450993504561388,0,0,0,-0.0384576819152729,0,0,0.0563850186967533,-0.0968200890730277,0,-0.00358295884518974,0,0,0.124995648843108,0,0,0,0,0,0,0.0120451876417764,0,0,0,0,0,0,0,-0.1145612940456,0,0,0,0,0,0,0,0,0.134868884958403,0,0.176582408159408,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.1551234969621,0,0,0,0,0,0,0,-0.201282308969382,0.0540616665712337,0.0914672851083392,0,0,0,0,0,0,0,0,0,0,0,0.258528182234834,0,0,0.149711561983851,0,0,0,0,0,0.151175014742512,0,0,0,0,0,0.230378751866172,0.0349859332286698,0,0,0,0,0.228372029824032,0,0,0,0,0,0.0322897228701368
X388.HK.EQUITY,0,0,0,-0.0696046179343972,0,0,-0.110828527782686,0,-0.210756099565093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0835403894862881,0,0,0,0,0,0,0,-0.179208419311515,0,0,0,0,0.216763333093595,0,0,0,0,0.199325932934084,0.219920440138263,0,0,0,0,0.114799935621591,0,0.118891181529662
