,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,macro_return_add
X000002.CH.EQUITY,0,0,0.16405392662709,0.0355457392395276,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0.111120769609476,0,0,0,0,0.0102060412437257,0,-0.0425622904700765,0.0439662128187417,0,0,0,0.121715503807991,0.0711412296021585,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213594766371731,0,0,0.174498330466974,0,0,0,0
X601319.CH.EQUITY,0,0,0,0.181037056595411,0,0,0,0,0,0,0,0,0,0,0.0286156340498078,0.0171080236377489,0.0812876478119526,0,0,0.11353689433569,0,0,0,0,0,0,0,-0.0429541038077801,0,0,0,0,0,0,0,0,0,0.307365507186814,0,0.00811291042435868,0,0,0.0602343683729391,0,0,0,0,0.218438776195709,0,0,-0.0645130965225905
X000001.CH.EQUITY,0,0.069485548574518,0,0,0,0,0.120149750035865,0,0,0,0,0,0.128618102349684,0,0,0.117059540397141,0,0,0,0.0947707989373707,0,0,0,0,0.10025705819696,0,1.73472347597681e-18,0,0,0,0,0,0.11032329245806,0,0,0,0.0758009157860694,0,0,0.0284490312469426,0,0,0.00990267452785279,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.810139498728864,3.46944695195361e-18,0,0,-1.0842021724855e-19,0,0,0.0232713302193287,0,0,0,0,0,0,0,0,0,0,0,0.0341650787125837,0,0,0,0.158704532391912,0,0,0,0,0,0,0,0,0,0,0,0.03099263545264,0,0,0,0,0,0.0933550786523398,-0.101117144389498,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.0655402861165368,0.147582500396403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09310083460503,0,0.18354693554476,0,0.070676583030428,0,0,0.106425770829385,0.116370636532077,0,0,0,0,0.134360499197225,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.199456070034152,0,0,-0.137494083012234,0,-0.0314658839034673
X600016.CH.EQUITY,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.217188384558618,0.149947320664884,0,0,0,0,0,0,0,0,0,0,0,0,0.0447761095838508,0,0,0,0.0243141247580321,0,0.144034269599798,0,0,0,0,0,0,0,0,0,-0.0509689989401853,0,0,0,-0.422481370452914,0.442645541407445,0,0,0
X688.HK.EQUITY,0.156968577008059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535702123858505,0,0,0,0,0,0,0,0,0,-0.141483547124648,0,0,0.618580250539502,0.0741022562951398,0,0,0,0,0,0,0,0,0,0,0.0360949203273644,0.00856022717956965,0,0,0,0,0,0.241550060608327,0.181716801702196,0
X601998.CH.EQUITY,0.215380074077842,0,0,0,0.288379379923083,0,0,0,0,-0.0787321610983966,0,0,0.255433101419224,0,-0.1257438829121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436879486953627,0,0,0,0,0,0,0.0293130102712844,0,0.0560565618893477,0,0,0,0.00263464554836717,0,0.349111857550239,0,-0.0403316952356311,-0.137292739755698
X11.HK.EQUITY,-0.117730547008316,0,0,0,0,0.143576183759101,0,0.0662756726973821,0.409333305350015,-0.175797528434192,0,0,0,0,0,0,0,0,0,0,0.0491986407263936,0,0,0,0,0,0.285660557409073,0,0,0,0,0,0,0,0,0.00382354466831444,0.0715200670189505,0,0,0,0,0,0,0,0,0,0,0,0.0111110712024023,0,0.0348612753466773
X300059.CH.EQUITY,0,0,0,0,0,0,-0.00470817787468018,0,0,0.111742431847792,0,0.100848811038467,0,0,0.22498680747814,0,0,0,-0.0165954068624049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147209288992415,0,-0.220784601114189,0,0,0.00882452265580018,0,0,0,0,0,0,0,0,0.137325755041175,0.152779373175434,0,0
