,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.0467762510361992,0.434363629145134,0,0,0,0,0,0,0.151722382930507,0.105862520670194,0,0.167519156350882,0,-0.00808406562337678,0,0.077780901783268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0147891242582879,0,0,0,0,0,0.0577278049909185,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0682202888316213,0,0.0401392046893057,0,0,0,0,0,0,0,0.301825814252081,0.0782772491126874,0,0,0.0202430851530106,0,0,0,0,0,0,0,0,-0.0499485830458282,0,8.67361737988404e-19,0,0.160938100121932,0,0,0,0,0.285668706934395,0,0,0,0,0,0.0308603298597857,0,0,0,0.0493065041252719,0
X601939.CH.EQUITY,0.189239662076127,0,0,0.549014647247622,0,0.056496996356661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769834408430017,0,-0.0158143383599002,0,0,0,0.0826490968064531,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179255005451264,0,0.0138762945771167
X601288.CH.EQUITY,0,0.0138258008625889,0.35209473767213,0,0,0,0,0,0,0.164260437703271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221423259842999,0,0,0.113092467208384,0,0,0,0.0199553116372995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0499845348436296,0,0,0,0,0,0.390281410990829,0,0,0,0,0,0,0,0,-0.125623036863793,0.012100271516489,0.114816391857965,0.344926312080778,-0.393344464695389,0,0,0,0,0.336055408103658,0,0,-0.245246246832003,0,0.0275016047093018,0,0,0,0.0532267102038333,0,0,0,0,0,0,0,0,0,0.0989480825856486,0,0,0.109229478975554,-0.0131111582148055,0
X601988.CH.EQUITY,0,0,0.0575397828041108,0,0.0765996495650917,0,0,0,0.120963772858106,6.93889390390723e-18,0,0,0,0.0100983041874768,0,0,0,0,0,0,0,0.542915008201809,0,0,0,0,0,0,0.0301158077630271,0,0,0,0,0,0,0,0,0.0572559554807976,0.0184657386591484,0,0,0,0,3.46944695195361e-18,-0.00404221262965825,0,0,0,0,0.0650041591824265
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136047270366754,0,0.0448199119961234,-0.0195007364043932,0,0,0,0,0,0,0.732747385682164,-0.00772763853618451,0,0.0561602244427892,0,0,0.0714149017213521,0,0,0,0,0,0,0,0,0,0,0,0.0999281475049798,0,0.0488568187534476,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.263809259125894,0,0,0,0,0,0,0,0.0876159685064277,0,0,0,0,0,0.0679328397616585,0,0,0,0,0,0,0,0,0,0.152949338823173,0,0,0.311468612360994,0,0,0.109926440173339,0,0,0,0,0,0,0,0,0,-0.0633836192383656,0.0789351207716195,0,0,0,0
X601628.CH.EQUITY,0,0.153140893816332,0,0,0,0.000496542932282334,0.00552791530846987,0,0,0,0,0,0,0,0,0,0.0795967026785233,0,0,0,0,0,0,0,0.17157398220516,0,0,0,0,0,0,0,0,0,0,0.37503971960005,0,0,0,0.21114030082614,0,0,0.011305337632181,0,0.0313910787029424,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.185041437323266,0,0,0,0.0967921971059567,0,0,0,0,0,0,0.200449302401302,0,0,0,0,0,0,0,0,0.228513638388999,0,0,0,0,0.0568047382572865,0,0,0,0.0330340398295497,-0.018307226952057,0.0292918482673124,0,0,0,0,0.236566345269457,0,0,0,0,0,0,-0.0221395493819714,0,0.0612659217636107,0,0
X601166.CH.EQUITY,0.213643026031033,0,0.0756085742032464,0.0120718298404595,0,0,0.124656346651801,0.0210952388088645,0,0.0453625447664641,0,0,0,0.214929990073818,0.0137691008887324,0,-0.0567161144870599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747593263218927,0,0,0,0,0.00795247527881252,0,0,0.0823824896892069,0,0,0,0,0,0,0,0.0463175641638713
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.339598741037945,0,0,0,0,0,0.140021598468154,0,0,0,0,0,0,0,0,0,0.303238665401922,0,0,0.112900403570932,8.67361737988404e-19,-0.187780613385119,0,0.174133806759103,0.119117252492145,0.548662432106954,0,0.148264205918119,0,0,0,0,0,0,0,-0.0187932707325605,0,-0.0365833963858519,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.0259836070969734,0,0,0,0,0,0,0,0,0,0,0,0.123394341657224,0,0,0.39558448236548,0,0,0,0,0,0,0,0,0.252437478967707,0.379264747802208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231415705883654,0.031010643804826,0.0702571705005985,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.0441989105429631,0,0.282705910470808,0,0,0,0.289837746148773,0,0.0890032442660402,0,0,0,0,0.0784184317476018,0,0.0313870690986726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841154435319316,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,-0.263280571032426,0,0,0.0493282935019873,0,0,0,0,0,0,-0.148191003004815,0.0520219398150553,0,0,0,-0.150065555745624,0,0,0,0,0,0,0,0,0,0.00738191998609622,0,0,0.20720082512754,0.371055179744595,0,0,0.214226748658312,0.335560389326101,0,0,0,0,0,0,0,0,0,0,0.278586450944336,0,-0.0697357634199392,0,0
X000002.CH.EQUITY,0,0,0,0,-0.000234951317452561,0,0,0,0,0,0,0,0,-0.0449969765674178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395547104683514,0.00323311895720717,0,0,0.0378586377879849,0.757808291949779,0,0,0,0.0508474442077672,0,0,0.0351287828437098,0,0.03180355676107,0,0.0090954191185726,0,0,0.128926419897185,0,0.0435017195813805
