,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.0849159530697397,0,0.626459746923895,0,0,0.000516764992374982,0,0,0,0,0,0,0,0,0.00608266419339458,0.124122948233503,0,0,-0.0121359035190261,0,0,0,0,0,0,0,0.0920344732730865,0,-0.0374724747793675,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0214455556739601,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0484039672623694,-0.0129458380077424,0,0,0,0,0.202910179982445,0,0,0,0,0.518141116209318,0,-0.0844956972380541,0,0,0,0,0,0,0,0,0,0.103268313042234,0,0,0,0,0,0.103712214925268,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0519390582406681,0.0500038315508204
X601939.CH.EQUITY,0,0,0,0,0.343918226244909,0,0,0,0,0.0262401948562315,0.148915719966961,0,0,0,0,0,3.46944695195361e-18,0.272707406668002,0,0,0,0,0,0.0467046365629406,0,8.67361737988404e-19,0.0484996594455722,0.146811452717315,0,0,0,0,0,0,0.0538698188681674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.172060646885111,0,0.107976107525833,0,0,0,0,0,0,0.323584392912936,0,0,0,0.140564781947853,0.0866907726146635,0,0,-0.0433615926103189,0,0,0,0,0.0241683224794238,0.0999126788992877,0.0537681050696505,0,0.143866416598868,0,0,0,0,0,0,0,0,0,0,0.144440805873341,0,0,0
X601288.CH.EQUITY,0.338380384569557,0,0.233700211703849,0,0,0,0,-0.134991830724177,0,0,0,0,0,0,0,0,0.0205771911591258,0,0,0,0,0,0,0,0,0,0,0,0,0.150231843175076,0,0,-1.73472347597681e-18,0,0,0,0.0173288179323057,0,0,0,0.105669681557712,0,-0.017806446330184,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.249153073922742,0,0,0,0,0,0.0387403084356062,0,0,0,0,0,0,0.252376518861742,0,0.000436934610102131,0.123888069147151,0,0,0,0.0100023005840809,0,0,0,0.260501501488412,0,0.0571633860185579,0.0832968298799939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.0307516295072297,0.148365822545199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627701754966666,0,0,0.000491722867541644,0,-0.0718647285542871,0,-0.128061670938175,0,0,0,0,0,0,0,0,-0.0803029180260473,0,0,-0.0591058718390136,0.934691792106728,0
X1299.HK.EQUITY,0,0,-0.240790372744162,0,-0.0593186464473084,0,0,0,0,0.27812315147699,0.0789361566866179,0,0,0.0872750468175047,0,0,0.0233564621990784,0,0,0,-0.092209500829777,0.178539964582343,0,0,0,0,0.359209449931306,0,0,0,0,0,0,0,0,0,0.0787111404578893,0.0797486532374711,0,0,0,0,0,0,0.144229277914678,0,0,0.0175595433454017,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.237900267724315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610686120679684,0.0224143605290279,0.367919215132713,0,0.115567311102866,0,0,0,0,-0.0627570477616221,0,0.0828427178810803,0,0,0,0,0.147103796625375,0,0.323002927247821,0,0,0,0,0
X388.HK.EQUITY,0,0.0856266899435511,0,0,0,0,0,0.0293480538518249,0,0,0,0.142093911612087,0,0,0,0,0.00271146003671344,0,0,0,0.104214088804798,0.084438649485251,0.0139969803267387,0,0,0,0,0,0,0,0.110883728585116,0,0,0,0,0,0.0481657975068678,0.0998487590165427,0.290487604201788,0,-0.294913108850945,0,0,0,0.00699653670786597,0,0.27506447902121,0,0,0
