,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.384531905229002,0,0.178917533783183,0.0144274653652551,0,0,-0.0351554658347206,0,0,0,0,0,0,0,0.0113989330092929,0,0,-0.0481710632395022,0,-0.0196827304793375,0,0,0,0,0,0.0249745743563941,0,0,0.0614890526053444,0,0,0,0,0.0141696794559337,0,0,0,0,0,0,0,0.29125062055803,-0.0111461177151481,0,0,0,0
X601318.CH.EQUITY,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.0307040809057479,0,0,0,0,0,0,0.0775433748428752,0,0,0.212525867404636,0,0,0,0,0.0486129402445456,0,0,0,0,0,0.118099596741788,0,0,0.0602582134011794,0,0.347769868307518,0,0.0682171073259776,0,0,0,0,0,0,0,0,0,0,0,0.0627177797915163
X601939.CH.EQUITY,0,0.000126252615454491,0,0.755654493200039,0,0,0,0,0,0,0.0739545874811907,0,0,-0.0325969458222532,0,0,0.138597272537159,0,0,0.0885327737196369,0,0.00922832463147605,0,0,0,0,0,0,0.0457858470160383,0,0,0,0,0,0,0.0132298014495715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.801532148927094,0,-0.00910159230188099,0,0,-0.0564259982446461,0,0,0.0944901410751969,0,0,0,0,0.0459936790440012,0,0,0,0,0.00825359059569998,0,0,0.26571587531372,0,0.0505466965109785,0,0.00197398450443184,0,0,0,0,0,0,0,0,0,0,-0.158022718333195,0,0,-0.178036653123497,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.223831050286642,0,0.225148713317473,0,0,0,0,0,0,0.162195922517268,0,0,0.0461110668164376,0,0,-1.38777878078145e-17,0,0,0,-0.031309825225492,-0.154648571981464,0,0,0,0,0.164053181784631,0.354098937594314,0,0,0,0,0,0,0,0,0,0,0,0.101282783216775,0,0
X600036.CH.EQUITY,0.0734815723307661,0,0.0325518537879683,0.309078639144365,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,6.93889390390723e-18,0.164406037194165,3.08487255565385e-05,0,0,0,0,0,0,0.200438994598531,0,0,0,0,0,0,0,0,0,0,0,0.0710833571342228,0,0,0,0,0,0,0.0618680966800325,0,0,0,0,0.00489799672620555
X601988.CH.EQUITY,0,0,0,0,0,0.08868667308799,0,0,0,-0.113888919473115,0,0,0.014226302078077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282136862825608,0,0,0,0,0,0,0,-0.0366080709657953,0,0,0,0,-0.0467056783302918,0,0.981112509478169,0
X1299.HK.EQUITY,0,0.0443703851562568,0,0,0,0,0,0,0,0.158849897075276,0,0,0,0.177740323300901,0,0,0,0,0,0,0,0,0.324950144156597,0,0,0.0615787949343247,0,0,0,-0.0791597617875875,0.0537737403118385,0,0,0,0,0,0.0575322274240466,0.034315826505006,0,0,0,0,0.170632589985311,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.233558898940215,0,0,0,0,0,-0.139545887131623,0,0.027637622513149,0,0,0,0,0,0.349588161097166,0,0.0394076794212608,0.00682453493684428,0,0,0,0,-0.0230021124724675,0,0,0.259695926536354,0,0,0.100103285206508,0,0,0.111899572510053,0.230800493796484,0.0277647521193567,0,0,0,0.311801858757256
X388.HK.EQUITY,0,0,0,0,0.396405392194045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00787196666651201,0,0,0,0.15691418936414,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.341056615768153,0,-0.231681787366979,0,-0.114489596304457,0,0,0,0.284053954230549,0,0,0,-0.0243403234662943
