,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.361164223006762,0,0,0.0792417537886972,4.33680868994202e-19,0,0,-0.0103917030947909,0,0,0,0,0.026317085029601,0,0,0,0,0,0,0,0,0,0,0,-0.0101361579478728,0,0,-0.0463727768228277,0,0,0,0.166670752780433,0,0,0.0250086775771889,0.0793630831921792,0,0,0,0,0,0,0,0,0.0185206410402568,0.221582727439042,0
X601318.CH.EQUITY,0,0,0,0,0.109798391047379,0.00420664705163513,0,0.0534439925325995,0.117258844275255,0,0.0145813443109196,0,0.111893736044188,0,0,0,0,0.0305695549129543,0.223685150428068,0.261183246403196,0,0,0,0,0,0,-8.67361737988404e-19,-0.0477123726119137,0,0,0,0.150323935971188,0,0,0,0,0,0.0586054443733965,0,0,0,0,0,0,0.00791278899706345,0,0,0.0546655959713295,0,0
X601939.CH.EQUITY,0,0,0,0.26946122942096,0,0,0,0,0,0,0.00460485532035263,0,0,0,0,0,0,0,0,0,0.0515867167374603,0.719648460719965,0.0442639713370837,-0.255215923846002,-0.197903468716774,0,0,0,0,0,0,0.158959803598158,0,0,0,0,0,0,0,0,-0.0706094115110025,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.269864162784963,0,0.0223961038512578,0,0,0,0.217559583834157,-0.024054432926926,0,0,0,0,0,0,-0.0304774425440273,0.200978832971958,0,0.0233125665872389,0,0,0,0.081816061359644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0629932153350088,0,0,0,0,0,0,0,0.187896597980295,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252232736884289,0,0,0,0,0.0900393201915453,0.25389932356055,-0.12388272508676,0,0,0,0.0481791344598893,0,0,0.00835447265121261,0.476108815712463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.179246824985486,0,0,0.10465030739336,0,0.0781728151731816,0.0430697643545067,0,0,0,0,0.242416722013878,0,0,0,0,0,0,0,0,0,0,0,0,0.298840333946804,0,0,0,0,0.111595117474693,0,0,0,0,0,0,0,0.0913957472470252,0,0,0,0,0.0161001100930884,0,0,0.0489503023723864,-0.0520881253858725,0,0
X601988.CH.EQUITY,0,0.0332259707460731,0,0,0,0.329587964209823,0,0,0,0,0,0,0,0,0,0.470313931002382,0,0,0,0,0.0373007164388026,0,0,0,0,0,0,0,0,0,0.0117156872301183,0.140628151132519,-0.0766808963549351,0,0,0,0,0,0,0,0,-0.0184805294411633,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0258192222194806,0,0,0,0.317083908971763,0,0,0,0,0,0,0.0801866777749164,0,0,0,-0.0141597143547561,0,0,0,0,0,0.128379005654617,0.0403122509557368,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.0421439359084908,0,0,0.128221219608659,0,0.11786945139881,-0.0794712138389385,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358863767546944,0,0,0,0,0,0,0,0,0,0.5748728906713,0,0.0761076805130277,0,0.0853115790636848,0,0.0855215599367539,0,0,0,0,0,0,0,0,0,0.230099248107079,0.0693073185963151,-0.0811033387630292,0,0,0,0.178098384780464,0.180285180514399,0,0
X388.HK.EQUITY,0,0,0,0,-0.0191643349423704,0,0,0.158142521961023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488094030293137,0,0,0.153915702197743,0.0148635048881007,0,0,0.159444909472638,0,0.212041276178471,0,0,0,0,0.160793856303884,0,0,0.0185688371216311,0,0,-0.320748130753715,-0.113299369827999,-1.38777878078145e-17,0.0618532365979142,-1.73472347597681e-18,0,0.231104291984039
X601658.CH.Equity,0.0233165084658186,0.225178024903758,0,0,0,0,0.128443384005943,0.0666623127242518,0,-0.0265998075283304,0,0,0.223555675806701,0,0,0.129888258636512,0,0,0,0,0,0.0407574742056394,0,0,0,0,0,0.0325312524150606,0,0,0,0,0,0,0,0,0,0,0.0429087274448287,0,0,-0.103585709699127,0,0.0668624094230075,0,0,0,0.055264123474537,0,0
X601166.CH.EQUITY,0,0,0.020621697985233,0,0,0,0,0,0,0,0,0,0.0233825437757515,0,0.00706055126812818,0,0,0.0581786341108708,0,0,0,0,0,0.0732016714440528,0,0,0,0.0559891247408067,0,0.325318507261435,0,0,0.0154716628508422,0,0,0,0,0,0,0,0,0,0,0.256989544470315,0,0.17018670197328,0,0,0,0
X000001.CH.EQUITY,0,0,0.0665516365501548,0,0,0.556158005510985,0.0170210177011759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619067478249535,0.232751273721796,0.0602593400653285,0.0130915592281021,0,0,0,-0.275265527468811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175468759689585,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546963104503431,0,0,0.177190878639027,-0.11421980375575,0,0,0.123284311138254,0,0,0,0,0,0,0,0,0,0,0,0.0711907159021185,0.0699141882892504,-0.0257995739109252,0.0457537331118871,0,0,0,-0.0222775708713197,0,0.00438354031451432,0,0,0,0,0.0499502799792905
X000002.CH.EQUITY,0,-0.170179484647309,0,0.0443894649685275,-0.291201453592226,0.190881817571003,0,0,0.357956181594448,-0.0571760685783158,0,0.111661027752161,0,0,0,0,0,0,0,0,0,0,0,0,-0.0750596507396615,-0.0695673691488312,0,0,0.0264724971811199,0,0,0.122341524665679,0,0,0,0.242359214478185,-0.128790045922879,0,0,0,0.233382563433757,-0.0794782419384103,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0738021285871689,0,0,0,0,0.075990526086124,0,0,0,0,0,0,0,0,0,0,0.0211185124558693,0.337259827004434,0,0,0,0.0574224504622311,0,0,0,0,0,0.204016458913509,0,0,0,0,0,0,0,0.0333349710506126,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0.0227253918386797,0,0,0.0242255044078338,0,0,0,0,0,0.0125637308630863,0,0.640742549233548,0.0826730758943834,-0.0244790909314926,0,-4.33680868994202e-19,0,-0.148114088790542,0,0,0,0,0,0,0,0.0335463848514202,0,0,0,0,0,0.0441446677477623,0,0,0,0,0.150929920536228,0,0,0,0,0,0,0,0,-0.0363480548214375,0,0
X601601.CH.EQUITY,0,0.262293335265049,0,0.199587733343251,0.188279258607632,0,0,0,0,-0.0578492940208637,0,0.193672443799517,0.0796331101001543,0,0,0,0,0,0,0.241219916542894,0,0,0,0,0,0.0124531758592967,0,0,0,0.0194830161338525,0,-0.133232499835519,0,0,0,0,0,0,0,0,0,0,0,0,0.0363360282479509,0,0,0,0,0
