,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X300059.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X1997.HK.EQUITY,X001979.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.238410271792147,0,0,0,0.342694262670449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263291872090502,0,0,0.0170147453366004,0,3.46944695195361e-18,0,0.0119289147634624,0.0790324632228895,0,0.0778341380901226,0,0,0,0,0,0,0,0,0,0,0,0,0.0107733687898649,-0.0922646992065892,0
X601318.CH.EQUITY,0,0,0,0.10085874605696,0,0,0,0,0.188838320641917,0,0.0165005421482837,0,0.221920224397653,0.000834947079991544,0,0,0,0,0.086959305052934,0.139423747442484,0,0.0704826060967168,0,0,0,0,0,0.167993106726341,-3.46944695195361e-18,0,0,0.0182664708394222,0,0,0,0,0,0,0,0,0,0,0,0.130646726666453,0,-0.0638633347389974,0.00896793263820116,0.0180986575963885,0,0
X600036.CH.EQUITY,-0.021273181190379,0,0,0,0,0.21333645658832,0,0,0,-0.129816324964595,0,-0.0538859080890878,0.124216389013364,0,0,0,0.125021133524471,0,0.183805641662972,0,0,0,0,0,0,0.407176976767455,0,0,0.0525500540806599,0,0,0,0,0,0,0,0,0,-0.0583888240765829,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.525700385383116,0.109525028676858,0,0,0,0,0,0,0.12988881191007,0,0.199393753343158,0,0,0,0,0,0,0.147281349370737,0,0,0,0,0,0,0,0,0,0,0.161629030160214,0,0,0,0.0152851559359039,0,0,0,0.00285267695732996,0,0.080544382202286,0,0,-0.109340184124007,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0660775242086406,0,0.0941174749972244,0,0,6.93889390390723e-18,0.541602123930428,0,-0.0526820283884305,0,0,0,0,0,0,0,0,0,0,0,0,0.0678257052608943,0,0,0,0,0,0.0591046595212005,0,0,0,0.0538074439481747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432373103892741,0.0674373637375876
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0717024745998693,0,0.124192540841577,0,-0.0813863612660697,-0.0657693431703147,0,0,0.109738952135052,0,0,0,0,0,0,0.147444240067538,0,0,0,0,-0.0249265230710449,0,0,0,0,0.0586583259699709,0,0,0,0,0.0110256725155656,1.38777878078145e-17,0.174543839985409,0,0.149553394934271,0.129276687233041,0,0,0,0,0,0.259167722075004,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.17949459038545,0,0,0,0,0,0.0450124240016471,-0.0453554957491853,0,0,0,-0.0629752426564545,0,0.175131886708069,-0.0768775325183933,0,0,0,0,0,-0.00952860825330563,0,0,0,0.0630767314777696,0,0,0,0.347228434121359,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.182671562304607,0,0,0,0.410872592407895,0,0,0,-0.0417596460761913,0,0,0.0774901700450753,-0.0767725244864856,0,0,0,0,0.0784680112907627,0,0,0,0,0,0,0.0364217555692124,0,0,0,0,0,0,0,-0.135214407057141,0,0,0,0.00385077435022161,0,0,0,0,0.128825234952887,0,0.170984643590448,0,0,0,0,0,0
X5.HK.EQUITY,0,0.16627296740654,0,0,0,0,0,0,0,-0.162209453512651,0.0379618082270173,0.101834251465209,0,0,0,0,0,0,0,0,0,0,0.247163480123871,0,0,0,0.148403161361269,0,0,0,0,0,0.138098332290641,0,0,0,0,0,0.233927702747462,0.0522343047363598,0,0,0.136427953996201,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,-0.170481623821531,0,0.0474007117571495,0,-0.125432727363072,0,-0.156353847915943,0,0,0,0,0,0,0,0,0,0,0,0,0.0972245671811099,0,0,0,0,0,0,0,0,0,0,-0.238644380684222,0,0,0,0,0.213790647175972,0,0,0.197901981544251,0,0,0,0.246354800672738,0,0,0,0.204744185583818,0
