,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.462025548129027,0.199677380229626,0,0,0,0,0,0,-0.0935551137007097,0.114051490947152,0.0684302757851803,0,0,0,0,0,0,0,0,0,0,0,-0.0392278039486928,0,0,0,0,0,0,0,0,0,0,0,0,0.0917502772703842,0,0,0,0,0,0,0,0,0,0.034968447801729,0,0,0
X601939.CH.EQUITY,0.249565742085046,0,0,0.326782203834214,0,0,-4.33680868994202e-19,0,-0.0182620803187684,0.0946615614441173,0,0,0,0.15519309709216,-0.149618433194901,0,0,0,0,0,0,0,0,0,-0.0433421751741473,0.228576053043187,0,0,0,0,0,0,0,0,0,0,0,-0.042591014256348,0,0,0,0,0,-0.130121330023833,0,0,0,0,0.146777556854495,0
X601318.CH.EQUITY,0,0,0,0,0.215558522192822,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0306499683367965,0,0,1.38777878078145e-17,0,0,0,0.185192199338877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258381118738053,0,0,0,0,0,0.221481482649538,0,0,0,0,0,0,0.104651704409532
X601288.CH.EQUITY,0.335039001461127,0,0,0,0.260444908799557,0,0,0,0,0,0.0231337155945115,0,0,0.112520127590831,0,0,0,0,-8.67361737988404e-19,0.100637803720648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120908721542297,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,1.73472347597681e-18,0
X601988.CH.EQUITY,0,0,0,0.500276954883268,0,0,0,0,0,0.216499892250094,0,0,0,0,0,0.327081818596699,0,0.0762370864476657,0,0,0.0173925584570727,0,0,0,0,0,0.0214956875991544,0,0,0,0,0,0,0,0,0,0,-0.551284716855832,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.281772672307502,0,0,0,0,0,0.0916844206403022,0,0,0,0,0,0.0101642867366905,0,0,0,0,0,0.184798532204246,0.0435336002637141,0,0.0903255152918958,0,0,0,0.0144941089429478,0,0,0,0,0.170848985246062,0,0,0,0,0.104817993764815,0.0163482731311893,0,0
X1299.HK.EQUITY,0.0777761807389021,0,0,0,0,0,0,0,0.136039533847523,0,0,0,0,0.0977219966846356,0,0,0,0,0,0,0,0,0.00816841642798141,0,0,0,0,0,0.226912879713462,0,0,0,0,0,0,0.175056738711033,0,0,0,0,0,0,0.0667901859522199,0.00223455271531041,0,0,0.107231152362593,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415096775753096,0,0,0,0,0,0,0,0,0.13639031855257,0,0,0,0.515166720862635,0,0,0,0,0,0,0,0,0,0,0.211219987373244,0,0,0,0,0,0,0,0,0.0490744585283691,0,0
X601628.CH.EQUITY,0.12072464480221,0,0.0920394657855414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168052421292293,0,0,0.0492307076340908,0,0,0,0.0119555910334183,0,0,0,0.107894430310536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12468642991457,0,0,0,0,0.188399342986053,0,0
X601658.CH.Equity,0,0,0,0,0.213816975798647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288562334483839,0,0,0,0,0,0.0361931376987117,0,0.376008378307481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270378084536152,0
X601328.CH.EQUITY,0.0735655450578516,0,0,0.497698250262216,0,0,0,-0.0578779184169986,0,-0.0596010264095767,0,0,0.0339702931542366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206809547537044,0,0.0896475605844694,0,0,0.178239920527263,0,0,0,0,0,0,0,0,0,0,0,0,0.103311109464042,0,0
X601166.CH.EQUITY,0,0,0,0.00229181109802764,0,0.430182025243836,0,0,0,0,0.043830189006552,0,0,0,0,0,0,0.0414663527719713,0,0,0,0,0,0,0,0,0,0,0,0.213787054251191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357360696562144,0.0394578621304152,0.0429068793576007,0.107433006213239,0
X388.HK.EQUITY,0,0,0.382679124800268,0,0,0,0,0,0,0,0,0,0,0.00299306301184399,0,0,0.0845417141153707,0,0,0.0378581691051775,0,0,0.0516981726677883,0,0,0,0,0,0,0,0,0.0734833768953591,0,0,0,0,0,0,0,0,0,0,0,0.0436283816430033,0,0,0,1.73472347597681e-18,0,0
X600000.CH.EQUITY,0.198021307890332,0.115904070113565,0,0,0.0643168986982875,0,0.0396728547044132,0,0.108804992083918,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0436161026161289,0,0.0660179719878946,0.0638783247158548,0,0,0,0,0,0,0,0.0562716942117539,0,0,0,0,0.0327407505751187,0,0,0,0,0,0,0,0,0.0665478311609556,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0504696401519816,0,0,0,0,0,0,0.0153395332205538,0,0,0,0,0,0,0,0,0.0822263638055081,-3.46944695195361e-18,0,0,0.361109825152385,0.0655516728738863,0,0,0,0.250718492246717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,-0.018996934823127,-0.00231905093536568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210482593250787,0,0,0,0,0.0295464483200427,0,0,0,0,0.163117324808818,0,0,0,0,0,0.0815156693123547,-8.67361737988404e-19,0,0.116330928884524,0.279770871901687,0,0,0,0,0.13404220225147
X16.HK.EQUITY,0,0,0,0,0.0164703111612602,0,0.175634468303355,0,0,0,0,0,0.0786278716319122,0.179380099179873,0,0,0,0,0,0.0420156532782714,0,0,0,0,0,0,0,0,0,0,-0.0660769412873197,0.196044253497369,0,0,0,0.104786236812882,0.246024279760393,0,0,0,0,-0.206345155580405,0.0990563314455523,0,0,0,0,0,0,0
