,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity
X601398.CH.EQUITY,0,0,0.128513911816691,0,0,0,0,0,0,-0.151520775601997,0,0,0,0,0,0,0,0,0,0,-0.104334858861167,0,0.0744736507249061,0.443764381589138,0,0.526277721000652,-0.142333027678065,0,-0.0188253094739863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0160237261461781,0,0,0,0,0,-0.0184478643750136,0,0,0.0184391689748458,0,0.0289785259380249,0,0,0,0.520695026005113,0,0,0,0,0,0,0,0,0,0.125892978672027,0,0,0,0,0,0,0.0689854670231589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.0610131643774743,0,0.787294916314281,0,0,0.00301554706326079,0,0,0.0391211109319132,0.0542517383389497,0,-0.0532804685499502,0,0,0,0.0842035700237714,0,0,0,0,0.00428764995948193,0,0,0.0394202294169956,0,0,0,0,0,0,0,0,0,0,0,0,0.0786971736874941,0,0,0,0,0.00356117215668489,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.895971620879142,0,-0.0259927155709843,0,0,-0.0856636395899038,0,0.0139290451315655,0,0,0,0,0,0.0144753218985898,0,0,0,0,0,0,0,0.12361023169051,0.0988777661180872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0185114086760985,-0.133744571639027,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0,-0.0847886970832493,0.223839360055294,-0.0688644034204913,0.353475979695657,0,0,0,0,0,0,0.339684637543575,0,0,-1.73472347597681e-18,0,0,-0.0910506885562543,0,0,0,0,0,0.026518711549702,0,0,0,0,0,0,0.214709572367724,0,0,0,0,0,0,0,0.17822505332144,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.3307032121847,0,0,0,0,0.0476154599149596,0,0,0,0,0,0,0,0.0680484347476945,0.110228661491869,0,0,0,0,0,0,0.0737393349781527,0,0,0,0.144489056899373,0.120393255629863,0,0,0.0161562355769112,0,0,0,0,0,0,0,0,0,0,0,0.0512037780638954,0,0,0.0356097466847274,0,0
X601988.CH.EQUITY,0,0,0,0.0640268122534998,0,0.0100916779608894,0,0,-0.0562802957816533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722648303697,0,0,0,0,0,0,0,0,0,-0.0247816046032227,0,0,0,0,0,0,0,0,0,0,0,-0.134319742417258,0,0.997979987470833,-1.73472347597681e-18
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0595188501850937,0.270378749577259,0,0,0,0,0,0.0182795520968339,0,0,0,0,0,0,0.306712978476977,-0.0254285018628294,0,0,0,0.0662146044268297,0,0,0,0,0.0943193856317104,0,0,0,0,0,0,0.0107396833123982,0,0.0757674741102334,0,0.0811765594444856,0,-0.0181506474282972,0,6.93889390390723e-18,0,0.258997561084479
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.162915967033296,0,0,0,0,0,0,0.175598171909427,0,0.353636902817459,0,0,0,0,0,0,0,0,0,0,0.0100795745213658,-0.0116641051790278,0,0,0,0.293641660413,0.132023353750953,0,0,0,0,-0.31901341440137
X388.HK.EQUITY,-0.0701525472373467,0,0,0,0.241561221490126,0,0,0.0178057938023635,0,0,0,0,0,0,0,0.208792101638582,-0.0397480193595499,0,0,0,0.156827632789612,0,0.233866030893534,0,-0.103322357740831,0,0.396450305261401,0,0,0,0.0936188605103123,0,0.206052667311565,0,0,0,0,0,0,0,-0.0670495127779513,0.157749552955773,-0.196593065088322,-0.0687431054407006,-0.226160234084918,0,0,-0.147392195029894,0,0
