,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.149655960069736,0,0,0,0,0,0,0,0,0,0,-0.11550153426112,0,0.486174205039234,0.712265200589421,0.0417485973086763,0,0,-0.122887522894943,0,0,-0.0921382036825193,0,0.0844118662085303,0,0,0,0,-0.124083331703071,0,0,-0.341846790074112,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.140410498785483,0,0,0,0,0,0,0,0,0,0,0,0,0.358917453187771,0,0,0,0,0,0,0,0,0,0.083535448368858,0,0,0,0,0,0,0,0.42286347434167,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.819845319437281,0.0238803069386649,0.0159232492018547,0,0,0,0,0,0,0,0,0,0.000665995264424372,0,0,0,0.0593507090904937,0,0,0,0,0,0,0,0,0,0,0,0.0164105298416492,0.045671819273598,0,0,0,0.00528475982035074,0,0,0,0,0,0,0,0.0671277195058516,0,0,0,0.0229496755508633,0
X601288.CH.EQUITY,0,0,0.878435174687651,0,0.071726662789666,0,-0.0886464742510245,0,0,0,0,0,0.0146113137355413,0,0,0,0.0572166495613409,0.115475847733664,0,0,0,0,0,0,-0.0907548865591777,0,0.018409992128667,0,0,0,0.0126192133581645,0,0,0,0,0,0,-0.143878109163909,0,0,-0.00407572964001819,0,0,0,0,0,0,0,-0.00581498310988529,0
X601988.CH.EQUITY,0.0956007275789567,0,0,0,0,0,0,0,0,0,0,0,0,1.27810669640434,0,0,0,0,-0.183943812368157,0,0,0,0,0,0,0,0.101282670922136,0,0,-0.121167336437734,0,0,-0.184067385956006,0,0,-0.230487845087097,0,-0.0387072254910971,0,0,0,0.00173023055272669,0,0.0347251695678769,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.375421962956766,0,0,0,0,0,0.0168319446373066,0,0,0,0,0,0,0.144304524714588,0,0,0,0,0,0,0,0,0,0,0.156695803711952,0,0,0,0,0,0.225372006536728,0,0,0,0,0,0,0,0,0,0,0.0413502345610363,-0.00144881809498575,0.0337423066409741,0,0,0,0.0166483964326233
X601628.CH.EQUITY,-0.0328750688515119,0,0,0,0,0,0,0,0,0,-0.0882916031538677,0.685350369996163,0,0,0.110706766614616,0,0,0,0,0,0,0.0993590130318857,0,0,0,0,0,0,0,0.0385005901453689,-0.0234767445965401,0,0,0,0,0.063785659391857,0.20047642126914,0,0,0,-0.197846957182747,0,0,0,0.122154905251704,-3.46944695195361e-18,0,0,0.106691360079963,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.11428772669972,0,-0.0150796070484666,0.0760922049069821,0,0,0,0,0,0,0,0,0.144673039905639,0,0.0502455003275566,-0.236259230561006,0,0,0.0999138441296946,0,0,0.0760338866061046,0.235003336785867,0,0,0.112079410057125,0,0,0,0,0,0,0,0,0,0,0,0.386032191815572,0,0,0,0.115888048526089
X5.HK.EQUITY,0,0,0,0,0,0,-0.0128100684973272,0,0,0,0,0,0,-0.125715318310362,0,0,0.316870690814715,0,0,0,0,0,0,0,0,0.609037286014887,6.93889390390723e-18,0,0.294868960356249,0,0,0.0184001237123405,0,0,0,0,0,0,0,-0.301311117748821,0,0.0772209618668625,0,0.107092622983901,-0.156312623302314,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0.215728966384411,0,0,0,0,0,0,0,0,0,0,0,0,-0.214561137705572,0,0,0,0,0.354536391525081,0,0,0.0659846055153129,0.123648011991287,0,0.0238015892808227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165370792158384,0.0420238753493776,0,0,0.061281844472726,-0.263992816500832
