,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.28503446622006,0,0.122988121171216,0,0.315631589605163,0,0,0.184879517228698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0545781259621329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279645658649728,0
X601939.CH.EQUITY,0.389636493268356,0,0,0.305934571055617,0,0,-0.107280314498175,0,0,0,0.0333385843231337,0,0.101010211491365,0,-0.0875199995181098,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0250203306504879,0,0,0,0,0,0,0,0,0.153311319631946,0,0
X601318.CH.EQUITY,0,0,0,0,0.22957680672354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167092315923731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251254044182743,0,0,0,0,0.185564214470555,-1.73472347597681e-18,0.00281261594985493,0,0,0.0295937023285804,0,0.119901762236313
X601288.CH.EQUITY,0.380262100063577,0.115423775129899,0,0,0.180817706934798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141894764760771,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0511421027485177,0,0,0,0.0689950380321458,0,0,0,0.0737874780668519,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.375497106650085,0,0,0,0,0,0.249636144469881,0,0,0,0,0,0.335636760715458,0.0849152370465447,0,0,0,0,0,0,0,0,0,0,0.00260107980246544,0,0,0,0,0,0,0,0,-0.350004301559513,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.41660566059415,0,0,0,0,0,0,0,0,0,0,0,0.0502692018519075,0,0,0,0,0,0.0554550441151968,0,0,0.119401102527329,0,0,0,0,0.0855945686836159,0,0,0,0,0,0,0,0,0,0,0.191350794576649,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0704511512259663,0,0,0.0632745883304545,0.126602989589072,0,0,0,0,0,0,0,0,0,0.0220058873098636,0,0,0,0.154950264692312,0,0,0,0,0,0,0,0,0.217842686428832,0,0,0,0,0,0,0.0858950435565027,0,0,0,0.129369708691586,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0729008863468085,0,-0.038652102479673,0,0,0,0,0,-0.362091671271285,0.784671208474933,0,0,1.38777878078145e-17,0,0.615358824080368,0,0,0,0,0,0,0,0,0,0.413465604497739,0,0,0,0,-0.300985096803326,0,0,0,0,0.03151318923818,0
X601628.CH.EQUITY,0,0,0.192832221809563,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159467772663039,0,0,0,0.12166139332562,0.046222393359582,0,0,0.0495122717714191,0,0.105310113815688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00561508621926782,0,0,0,0,0.0276680915870874,0.172354000788812,0
X601658.CH.Equity,0,0,0,0.0933289556372742,0.0693829037702839,0,0,0,0,0,0,0,0.138280280877067,0,0,0,0,0,0,0,0,0.0726465854138407,0,0,0,0,0.184761412546511,0.181020945939416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315820525989468,0,0
