,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.138127529538483,0,0,0,0,0,0,0,0,0,0,-0.0961220224075965,0,0.431544202150698,0.689431414204762,-0.129203316139507,0,0.0392715077040258,0,0,0,-0.0831107024497384,0,0.107989890176099,0,0,0,0,0,0,-0.341904197726705,-0.133819829189023,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.189377896779383,0,0,-0.00741122306225324,0,0,0.0192541726885358,0,0,0,0,0,0.17004928607805,0,0,0,0,0,0,0,0,0,0,0.0535633547756495,0,0,0,0,0,0,0.378782041181492,0,0,0,0,0,0,0,0,0,0,0,0,0.253872375469108
X601939.CH.EQUITY,0,0,0,0.805701369755636,0.0269495595680212,0.00134469795713775,0.0571568158610065,0,0,0,0,0,0,0,0,0.0289535155426685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427280431288578,0,0,0,0.043696597592486,0,0,0,0,0,0,0.0456901274388851,0,0,0,0,0.00141885309333465,0
X601288.CH.EQUITY,0,0,0.878357112106111,0,0.0640434587824445,-0.0917912199960441,0,0,0,0,0,0,0,0,0.014304075921631,0,0.0552622760866921,0.120574667444002,0,0,0,0,-0.00455968809753665,0,0,0,-0.0869732822651897,0.0153228589744355,0,0,0.0121604589416713,0,0,0,0,0,0,0,0,0,-0.142125659754294,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,-0.0679064588544105,-3.46944695195361e-18,0.0712978930044461,0,-0.00225010867736717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880781875394059,0,0,0,0,0,-0.0316740315605865,0,0,0,0,0,0,0,0,0,0,-0.00296328908664725,0,0,0,0.0148352725464045,0,0,0,-0.153453516293168,0.951499523933794
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.121880277697091,0.845741825615704,0.0136935033443066,0,0,0,0,0,0,0,0,0.11071966170016,0,0,0,0,0,0,0,0,-0.0622784319406999,0,0,0,0,0.0196358026854224,0.181117764295441,0,0,-0.111253423237271,0,0,0,0.0548137818238022,0,0.019420409830349,0,0,0.101994592382175,0
X600036.CH.EQUITY,0,0,0.346420197743133,0,0,0,0,0,0.00287799323603565,0,0,0,0,0,-2.16840434497101e-19,0.161684961402447,0,0,0,0,0,0,0,0,0,0,0,0.149808791372373,0.00902107543627287,0,0,0,0.260388950786929,0,0,0,0,0,0,0,0,0,0,-0.00781863093413829,0.0704536728256354,0.028417330131137,0,0,0.0591414130010342,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.00206024654679244,0,0,0,0.00700724370689314,0,0.0790238883890277,0,0,0,0.328234012160926,0,0,-0.261196453213834,0,0,0.0564932179119476,0,0.167163480639416,0,0.267292400630181,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.103114136482041,0,0,0.361504858125459,0.0230498878476052,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.269753330567101,0,0,0.31085275071158,0,0,0,0,0,0.133465008394938,0,0,0.39370310832198,0,0,0,0.165407064535607,0,0.0177751652376385,0,0,0,0.117513610104054,0,-0.0653972762906444,0,0,0,0,0.0564028354291949,-0.203990770951148,0.174012974624821,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0.247657985309909,0,0,0.0686209381891027,0,0,0,0,0,0,0,0,0,0,-0.368495003349311,0,0,0.133879930701271,0,0.0697952366790611,0,0.360150019777049,0,0,0,0.11069050234768,0,0,0,0,0.0764468976753589,0,0,0,0,0,0,-0.232704818422638,0.17289670966229,0,0,0,0,0,0
