,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.00107198744360815,0,0,0,0,0,-0.0404179837429124,0,0,0,0,0,0,0,0,0,0,0,0,0.515393595574425,-0.114112361926525,0.660608342904079,0.00755388872541425,0,0,0,-0.196292327282483,0,0,0,0.243023871464579,-0.309771643062147,0,0,0,0,0,-0.0546974948132472,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0,0.211227535813535,0,0,0,0,0,0,0.110905852335683,0,0,0,0,0,0.173334105383844,0,0,0,0,0,0,0,0,0.141975060632492,0,0.0076272397331673,0,0,0,0,0,0,8.67361737988404e-19,0.172572966707097,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.831723723091912,0,0.0208002038925584,0.0104809002216502,0,0,0,0,0,0.00454511078513388,0,0,0,0,0,0.0667301537172281,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.0144916726579575,0,0.0439629552970132,0,0,0,0,0,0,0,0.0718607109618007,0,0,0,0,-4.33680868994202e-19,0,0.0223281038330686,0
X601288.CH.EQUITY,0,0,0.831406401115484,0,-0.107689197369405,0.0599268663057269,0,0,0,0,0,0,0,0,0.0262261942251555,0.0745745881502523,0.0204594015296306,0.141939635398598,0,0,0,0,0,0,0,-0.0506219328297682,0,0,0,0.01516243508118,0,0,0,0,-0.0159215370484354,0,0.00879165561377639,0,0,0,-0.184272456981593,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0875134934171938,0.775157240275433,0,0,0,0,0,0,0,0,0,0.108548154464577,0,0,0,0,0,0,0.0190373374295206,-0.0577149814858395,0,0,0,0,-0.0751797556499952,0,0.0190541846179513,0,0.264537840235114,0,0,0.218651052699441,0,0,-0.126227743589154,0.0240432316303967,0,0,0.0994842436059868,0
X601988.CH.EQUITY,0,0,0,0,-0.0136970478888267,0,0,0,0,0,0,0,0.938749309807853,0,0,0,-0.0485580182778721,-0.388510040464238,0,0,0,0,0,0,0.264984000206809,0,0,0,0,0,0,0,0,0,0,0,-0.0578333477334337,0,0,0,0.0486733897373374,-0.0503204207768144,0,0.115722469682616,0,0,0,0,0,0.1210721694893
X600036.CH.EQUITY,0,0,0.301869128230581,0,0,0,0,0,0.0221503012565568,-0.0310636963265871,0,0,0,0,0,0.0501900775436856,0.201563774678176,0,0,0.0260588972235819,0,0,0,0,0,0,0,0.0785429272466492,0.0334380137436713,0,0,0,0,0.373135967394391,-0.100574910271395,0,0,0,0,0,0,-0.00735683446306312,0,0,0.0779561402297769,0.0862019464310819,0,0,0,0
X1299.HK.EQUITY,0,0.151542416601498,0,0,1.38777878078145e-17,0,0,0,0,0.124582507655338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179251250911411,0,0,0.19678628869955,0.221261437299582,0.202506030326004,0.0188193451906062,0,0,0,0,0.149164050998438,0,0,0,0,0,0,0.212159270148692,0.12409185700073,-0.215983110160063,0.148354691673937,0,0,1.73472347597681e-18,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.172718924458005,0,0,0.305387952294184,0,0,-0.287069638207295,0,0,0,0.0721307488386137,0,0,0.153874951950674,0.42198563999984,0.279666549960638,0,0,0,0,0,0,0,0,0,-0.133839823251996,0,0,0,-0.173564549350567,0,0.0725742424573134,0.0682944997177439,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.218586913851081,0,-0.149099320832555,0,0,0,0,0,0,0,0,0,0,0,-0.229074161406715,0,0,0,0,0.0803181813753562,0,0.516677351692827,0,0,0,0.120447850253989,0,0,0,0,0,0,0.0525205944371574,0,0,0,0,0.152342700260383,0,-0.232245177243214,0,0.01629061488944,0,0,0,0
X601658.CH.Equity,0,0,0,0.226326848864347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266587195734725,0.0229548458115836,0.0262913445688582,-0.119860677954345,0,0,0,0,-0.114818200262379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367615953223299,0,0,0,0,0,0,0.0421661207268662
X600030.CH.EQUITY,0,0,0,0,0.11576342554268,0,0,0,0,0.0553420539875063,0,0,0,0.141830663125187,0.00644073688573314,0,0,0,0,0,0,0,0,0.0201302080563108,0,0,0,0,0.0287736175344751,0,0,0,0.484750934161855,0,-0.0591653914913161,0,0,0,0,0.0234963798577755,0,0.0312971403421283,0,0,0.101819279964085,0,0.0616178786283167,0,0,0.0457329817576492
X601166.CH.EQUITY,0,0,0.0192032070039066,0,0,0.563857578080923,0,0,0,0.0170462041137776,0.0721194291722458,0,0,0,0,0.0171242811437919,0.0866321403159755,0,0.0676206004880882,0,0,0.0516990385513552,0,0,0.00674441526032684,0.0867997523506189,0,0,0,0,0,0,0,0,0.000697696967846339,0,0,0,0,0,0,-0.0285937653430907,0,0,0,0,0,0,0,0.0430064958354108
X601066.CH.EQUITY,0,0.0227417448274663,0,0,0,0,0,0,0,-0.00556971661885553,0,0.441120019596015,0,0,0,0,0,0,0,0,0.0164602127845566,0,0,0.323760770539081,0,0,0,0,0,0,0,0,0.0566844276986642,0,0.109731581730565,0,0,0,0,0.0818429924835748,0,0.0279211698189558,0,0.0262120232965812,0,0,0.0172666923655859,0,0,0
X601328.CH.EQUITY,0,0,0,0.0723445680468007,0,0.0218113096138462,0.0324683948633194,0,0,0,0,0,0,0,0,0,0.0480292292537622,0,0,0,0,0.41014398226394,0,0,0,0,0,0,0,0.00972371608011385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252889463309403,0,0,0,0,0
