,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0.53410142312571,0,0.0441893487729628,0.0376666189470314,0,0.0444157558192942,0,0,0,0,0,0,0,0.0385349300026309,0,0,0.0200023577885769,0.0688674958786948,0,0,0,0,0,0.114218686100524,0,0,0,0,0,0,0.00872495150689973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.344843093710609,0,0,0.146368358577087,0,0.187339963492077,0,0,0,0.049015473656337,0.0958762474298028,0,0,0,0,0,0,0,0,0,0,0.00105035980587527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603487192799863,0,0,0,0.0109869003199693,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,1.38777878078145e-17,0,0,0,0,0.0792567398794577,0,0,0.0386845026513128,0,0,0,0,0,0,0,0.202450364208862,0.0288185367654904,0,0,0,0,0,0,0.057547831849947,0.0992626311507618,0,0,0,0,0,0,0,0,0,0.129089712661208,0,0,0.315120707869314,0,0,0,0.0328740022966978,0,0.0210267370195107,0,0,0
X601288.CH.EQUITY,0.439536101575142,0,0,0,0,0,0,0,0,0.175068740354995,0,0,0,0,0,0,0,0.127419075813632,0,0,0,0,0,0,0.0563411712301331,0.0425303404557443,0,0,0.0866110099457136,0.117689023176977,0,0,0,0,0,0,0,0,-0.0461255205319356,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.547437674792172,0,0.296297757210782,0,0,0,-0.269897266339714,0,0,0,0,0.597562514896586,-0.210225760431565,-0.188405574437279,0,-0.0855128887940753,0.0834333048619997,0,0,0,0.300533095527951,0,0,0,0.0900991043593447,-0.0325680745627131,-0.188488664159421,0,0,0,0,0.439153105959892,0,0,0,0,0,0,0,0,-0.477672306199004,-0.150039725411555,0,0
X601988.CH.EQUITY,0.0675347637430912,0.167084291308634,0,0,0.0562792386982115,0,0,0,0.145165626480337,0,0,0,0.117074796685135,0,0.0692626654447242,0,0,0.103220606711731,0,0,0,0,0.36803823185593,0,0,0,0,0,0,0,0,0,0,0,0.0539104418403654,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.100415421917069,0,0,0,0,0,0,0,0.10068170494865,0,0.290792154790866,0,0,0,-0.0546057476812408,0.00587347015339842,0.0966641846173867,0,0,0,0,0,0.35249438440575,0,0,0,0,0.0365141605361123,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0347244287366002
X1299.HK.EQUITY,0,0,0,0,0,0,0.165024614730428,0,0,-0.209689206088135,0,0,0,0,0.0185014138599104,0,0.0946701884323308,0,-0.0861343708355817,0,0,0.217816038372663,0,0,0.135004913743401,0.0932989571647027,0,0,0,0,0.0986911215978925,0,0,0,0.0252562593268489,0,0,0,0,0,0,0,0,0,0,0.0869455134315502,0.17154732254656,0,0
X601628.CH.EQUITY,0,0,0,0.00610824494499381,0,0,0,0,0,0,0.0250294136784492,0.014373689091514,0.176615706200457,0,0,0.0257095064398445,0.00454682349152054,0,0,0,0,0,0,0,0,0,0.216186770741331,0,0,0,0,0,0,0,0.242301071643105,0,0,0,0,0,-3.46944695195361e-18,0.153499645475524,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0457734765265354,0,0,0,0.098274844090424,0,0,0,0,0,0.111543140122448,0,0.00519338201628059,0,0,0,0,0,0.179333796313258,0,0,0,0,0,0,0,0,0,0,0.0555629622403615,0,0,0,0,0.0260266807883115,0,0,0.192552532177958,0.251784975457635,0,0,0,0,0,0,0,0
