,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0.296222600589944,0,0.00555979605465566,0,0,0.444295005156629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115309817453004,0,0,0,0.0651451272922613,0,0,0.0179497566813508,0,0,0,0,0,0,0,0.0769361614654207,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.116251561943414,0,0.16491542064764,0,0,0,0.134269098064655,0,0,0,0.115668881149077,0,0.055042437246191,0,0,0.0404877056278706,0,0,0.140321869080288,0,0,0,0,0,0,0,0.160132987701552,0,0,0,0,0,0,0.0284301877286456,0,0,0,0,0,0.077473038605517,-0.0264455138410856,0,0.0747404162160092,0,0.0258184832544691,0,0,0
X601939.CH.EQUITY,0.419718708420651,0.373429651687728,0,0,0,0,0,0.280702119163264,0,0,0,0,0,0,0,0.0562592300721471,0,0,0,0,0,-0.158539495561772,0.037765450797363,0,0,0,0,0,0.0606302884501341,0,0,0,0.0567564349449005,0,0,0,0,0,-0.294497660312309,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.00914783232280089,0.564680904788628,0,-0.0894774021855306,0,0.0448354136487797,0,0,0,0,0,0,0,0,0,0.0846128129904346,0.0810226026806672,0.076162861268964,0,0,0,0,0.107667168143525,0,0,0,0.0568778618251222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625134715330636,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.196504144495443,0,0.0366257775393988,0.00724396809949281,0,0,-0.149309773481993,0.169609143891448,0,0,0.146974218535258,0,0,0,0,0,0,0.15690985051599,0,0,0,0.213141377316261,0,0,0,0,0,0,0,0,0,0,0,0,0.0112186558441843,0,0,0,0,0,0,-0.094661436493209,0,0,0.347706972988278
X1299.HK.EQUITY,0,0,-0.271973471605303,0,0,0,0,0,0,0.169577277162941,0,0,0,0,0.112105911677023,0,0,0,0,0,0,0,0.0129613780290453,0.070878696675535,0,0,0,0,0,0,0,0,0.230072523782075,0,0,0,0,0,0.191023048774677,0,0.0350046245257529,0.0926942352660633,0.306159640907968,0,0,0,0,0.228045266275343,0,0
X601628.CH.EQUITY,0.0876393717530199,0,0,0,1.35525271560688e-20,-4.33680868994202e-19,0,0,0,0,0,0,-0.0634327927013127,0,0,-0.189966806945554,0,0,0,-0.0120101733536306,0,0.172555241555946,0,0,0.0476065077965825,0,-0.101937477665325,0,0,-0.00651487336894935,0,0,0,0.569980507866669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.174066934193632,0,0.0941115366231102,0.349778291122364,0,0,0,0,0,0,0,0,0.273903025990903,0,0,0,0.0528880079415916,0,0,0,0,0,0,0.0357997903933043,0,0,0,0,0,0,0.143051071227806,0,0,0,0,0,0.0133407057301603,0,0,0,0,0,0.015868443719225,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.289352904670606,0,0,0,0,0,0,0,0,0,0,0,0,-0.0674862672489469,0,0,0,0,0,0,0,0,0.3545187043545,0,0.0918184913606911,0,0.132498662566992,-0.0178679243871968,0,-0.0514227828145137,0,0.0759296266282433,0,0,0,0,0,0,-0.0731701374203553,0.221321941622881,0,0.0905988547397804,0,0,0,0.109437958302519,0,0,-0.0695758622077519
X388.HK.EQUITY,0,0,0,0,-0.281241304712712,0.272628287520042,0,0,0,0,0,0,0,0,0,0.0177809814907173,0,0,0,-0.105497538662189,0,0.430057247968506,0,0,0,0.0134614153804889,0,0.00853129044382839,0,0,0,0,-0.191073762080603,0,0,0,0,0,0.12637317951712,0.0941297351476197,0,0,0,0,0,0,0,0.069581838590762,0,0
