,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY
X601398.CH.EQUITY,0,0,0.294613818811684,0.237064100182366,0,0,0,-0.105304995466862,0,0,0.144729391791892,0,0,0,-0.165559586895914,0,0,0.145484877980769,0,0.0227513264725321,0,0,0.0882720017225682,0,0,0,0,0.141453368544693,-0.103079649291107,0,0,0.139274554038953,0,0,0,0,0,-0.0246231058101205,0,0,0,0,0,0,0,0,0,-0.0864691166214433,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.213862085676193,0,0,0.301328863903606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616271723539239,0,-0.0123307766479232,0,0,0,0,-0.262359233237933,0.282704198450968,0,0,0.202280634364994,0,0,0,0,0.0661642060550644,0
X601939.CH.EQUITY,0.413555185077686,0,0,0.093486784329318,0.101438152261738,0,0,0,0,0,0,0,0.132707947656121,0,0,0,0,0,-0.0360729609353317,0.123841103285047,0.00803481734174735,0,0.0423829623299413,0.0437972838730664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310923882932993,0,0,0,0,0,0,-0.165719873058147,0,0,0
X601288.CH.EQUITY,0.367760673780259,0,0.205128142485225,0,0.158494138435583,0.0730860300347693,0,0.0434112621827415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853537830466787,0,0,0,0,0,0,0.0299193299068812,0,0,0,0.0306807805979991,0.175486441241395,0,0,0,0.0444348624318195,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.288218288744165,0,0.153485772021786,0,0,0,-0.148775814127595,-0.0492897900801787,0,0.348855273017188,0.145154691143148,0,0.268034315480441,0,0,0,0.314331619918608,-0.0229509078773058,0,0,-0.263929230987113,0,0.425355995601229,0,0,0,0,0,0,0,0,0,0,-0.0560898093477096,0.0425398929043817,0,0,0,0,0.224008635076947,0,0,0.0321709716470618,0,0,0,0,0
X601988.CH.EQUITY,0.121939099033638,0,0.0338344068258972,0.251528823479415,0.00532721894873762,0,0,0.133200676631188,0,0.094855878282453,0.303365465482922,0,0,-0.373481118635829,0,0,0,0,0,0,0,0,0,0.0357517570094741,0,0,0.0223827192823334,-0.0024376783691122,0,0,0,0,0,0,0,0,0,0,0,0,0.0475977535419233,0,0,0,0.0843309652394391,0,0,0,0
X600036.CH.EQUITY,0,0.33303661071745,0,0,0,0,0,0,0.0264536559433427,0,0,0.10300593233129,0.17221659165218,0,0.0570884346847952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156099920978681,0,-0.0382529999538769,0,0,0,0,0,0,0.154799353320071,0.0336291458050415,0,0,0,0,0.0788049863352497,0,0
X601628.CH.EQUITY,0,0,0,0.169025226413831,0,0,0,0,0,0.0253897145873019,0,0,0,0,0,0,0,-0.0256147208177604,0,0,0.285355473878711,0,0,0,0,0,0.0494062607745731,0,0,0,0,0,0,0.101077105779868,0,0,0,0,0,0,0.191726239532342,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0321029050598883,0.211926704139101,0,0,0.0507165867369943,0,-0.0496968681578103,-0.0789242968582598,0,0,0,0.347154421551919,0.237148179509106,0,0.106637936329539,0,0,0,0.0542362006141967,0,0,0.136100480935745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533293004368358,0,0,-0.0799085204318473,0,0,0,0,0
X601166.CH.EQUITY,0.217481303702223,0,0,0,0,0.0753002384675013,0.0693895871205765,0.0793555204472573,0,0,0,0,0.123420700797609,0,0.328901111086932,0,0,0,0,0,0,0,0,0,0,-0.0742510962291479,0.0190540020410727,0,0,0,0,0.412519391101054,0,0.20337490440545,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0
