,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0.439903047886435,0,0,0,0.12722480121242,0,0,0.130440070832816,0,0,0,0.193127398693769,-0.03388547649363,0,0.090389227890991,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275169129694399,0,0,0,-0.0369979734675144,0,0,0,0,0,0,0,0.0171898991665064,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0332369784344348,0.0976379583020907,0.27506882423432,0,0,0,0,0,0,0.0538323078457485,0.334366689798293,0,0.088053345609543,0,0.0658874175002626,0,0,0,0,0.0266145773611674,0,0,0,-0.0418107232828984,0,0,0,0,0,0,0,0,0,0.0575358238042993,0,0.000650831580907106,0,0,0,0.00246362925509128,0,0,0
X601939.CH.EQUITY,0.244321613360435,0,0,0.456802329033437,0.0212369116953021,0.0930412804275095,0,0,0,0.0479966783796769,0,0,0,0,0,0.000818405501473048,0,0,0,0,0,0,0,0,0,0,0,0.104903744487116,0,-0.0358183795116064,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0.0153406980911123,0,0
X601288.CH.EQUITY,0,0,0.102519226117359,0,0,0,0,0,4.33680868994202e-19,0,0,0.0261031155345148,0,0,0,0,0,0,0,0,0,0,0,0,0.192872828415507,0,0,0.388391469015375,0,-0.0427424014747545,0,0,0,0,0,0,0,0,0,0,0,0,0.140107661360784,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0780419925575141,0,0,0.226887809761125,0,0.192566289921164,0,0,0.041254278653965,0,0.261158702977781,0,0,0,-0.0118128323578317,0,0.145183926914862,0,-0.245736457667444,0,0,0,0,0.192459841257717,0,0,-0.0736779525233561,0,0.0225407542978431,-0.0723968306661083,0,0,0,0,0.165438138583155,0,0,0,0,0,0,0,0,0,0.156889632245945,1.73472347597681e-18,0
X601988.CH.EQUITY,0,0,0,0,0.241419879900817,0,0,0.216693854220531,0,0.261504534601788,0,0.00613162587304497,0,0,0,0,0,0,0,0,0,0,0,0,0.231897191392365,0,0,0,0,-0.260042019034633,0,0,0,0.0827564965358493,0,0,-0.0529853050620845,0,0,0,0,0.141779194090674,0,0,0,0,-0.0623301730387109,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.127330169682195,0,-0.0574081408527828,0,0,0,0.0466142341056273,-0.0962551377592064,0,0,0,0,0,0.644549009333203,-0.0448421664815073,0,0.0382947523897423,0,0,0.125243331617475,0,0,0,0,0,0,0.0275342584436158,0,0,0,0,0.210961190090094,0.0468189508878847,0,0,0.0529181904625517,0,0
X1299.HK.EQUITY,0,0,0,0,0.230843433322871,0,0,0,0,0,0,0,0,0.0265422654857694,0,0,0,0.139009408566847,0,0,0,0,0,0,0,0,0.0626623423936037,0,0.238564077679388,0,0,0.222543143066988,0,0,0,0,0.0365465464274945,0,0,0,0,0,0,-0.0744557325786723,0,0,0,0,0
X601628.CH.EQUITY,0,0.154032961202248,0,0.0455047383847971,-0.0433883621729427,0,0,0,0,0,0,0,0,0,0,0,0.260565652408712,0,0,0,0,0,0,0,0,0,0,0,0,-0.0193993942136645,0,0,0,0,0,0.0385681205616482,0,0.273220958073733,0,0,0.165376186438719,0,0.0732616646187991,0.0647608315010405,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.427787520247237,0.0165463400089339,0,0,0,0,0,0,0,0,0.386654998946941,0,0,0,0,0,0,0,0,0.075299849055776,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.00258171347885771,0,0,0,0,0,0.0548944028019598,0,-0.0131694073635815,0.245801477119242,0,0,-0.0104204462559709,0.0454820260403134,0,0
