,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY
X2388.HK.EQUITY,0,0.286657254571751,0,0,0,-0.220019094192393,0,0,0,0,0,0,0,0,0,0,0,0.536653060917676,0,0,0.296141349999549,0,0,0,0,0.0497605705594449,0,0,0,-0.271007806870394,0,0.237678681088239,0,-0.278609123114284,0,0,0,0,0,0,0,0,0,0,0,-0.00655464673650983,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,-0.195406375739111,0.0315215284506926,0,0,0,0,0,0,0.0890107331811384,0.00749919413796937,0,0,0,0,0,0,0.349583617687274,0,0,0,0.15044200700964,0,0,0,0,0,0,0,0.0431127546396361,0,0,-0.281201575095761,0,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151193133618326,0,0,0,0,0,0,0.21214139714389,0,0.0359667375835285,0,0,0.0561438703560278,0,0.217261609065645,0,0,0,0,0,0.163300076205015,0,0,0,0,0,0,-0.201602748372975,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0349029329505545,0.249865244731977,0,0,0,0.279325176411934,0.0526357149546994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265449625257768,0,0.0122426965096825,0.0826119691728773,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0747689720995829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207261599603755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507331912304974,0,0,0,0,0
X000001.CH.EQUITY,0,0.236260024026496,0,0,0,0.153305358961413,0,0,0.0497261473225377,0,0.0515830181015359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230956616966073,0,0,0,0,0.028168924720957,0,0,0,0,0.223395803335018,0,0,0,0.0433389987752708,0,0,0,0,0,0.030570191894586,0,0,-0.0252587471819325
X600030.CH.EQUITY,0.0172087029630074,0,0,0,0,0,0,0,0,0,0,0.0259963655435147,0,0,0,0,0,0.060086036003564,1.73472347597681e-18,0.120350510436459,0,0,0,0.0780684378491733,0,0,0,0,0,0,0,0,0,0,0,0.101150049788799,0,0,0.497595012754355,0,0,0,0,0,0,0,0.295759503102421,0,0
X2007.HK.EQUITY,0,0,0,-0.154240696681394,0,0,0,0,0,0.00962270373259601,0,0,0.174827723248545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283777630909334,0,0.164580717274089,0,0,0.269394818718929,0,0.0755463875855559,0,0,0,0,0,0,0,-0.040318445252752,0,0,0,0,0,-0.0406845507662878,-0.15085556055152
X1109.HK.EQUITY,0.16367365414353,0,0,0,0,0,0,0,0.0739333703087487,0,0,0,0,0,0,0,0,0,0,0,0.238812351487905,0.017779887167908,0,0,0,0.34265888708005,0,0,0,0,0,0,0,0.250315931376393,0,0,0,0.00428320862067843,0,0,0,-0.133736025095985,0,0,0.170204745387215,0,0,-0.237971128486777,0
X601818.CH.EQUITY,0,0,0,0.214134023844285,0,0,0.120363505711706,0,0,0,0,0,0,0,0,0,0.329452223535771,0,0,0,0,0,0,0,0,0,0.19588522660408,0,0.132947505126761,-0.194247112514171,0.162909073058917,0,0,0,0,0,0,0,0,0,0.397204120070829,0,0,0.0926647848203446,0.303675917271579,0,-0.527796899042869,0,0
