,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY
X601398.CH.EQUITY,0,0,0.211089811162548,0,0.0177676421959403,0,0,0.386793339484871,0,0,0,0.0205695128495877,0,0,0,0,0,0,0,0,0,0,0,0,0.237392504766478,0,0,0,0.0261784494997538,0,0,0,0.101014882805099,0,0.0669085771207691,0,0,0,0,0,0,0,0.0300294252776669,0,0,0,0,0,-0.101463952800234,0
X601318.CH.EQUITY,0,0,0.128877551228074,0,0,0,0,0,0.168399401246951,0,0,0,0.205252070677542,0,0.09148064204417,0,0.0336483142319293,0,0.0465016368542471,0.00949859376569395,0,0.0584046415516027,0,0,0,0,0,0,0.179073839436815,0,0,0.0480055577224788,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152161250590824,0.152087682546518,0,0,0
X601939.CH.EQUITY,0.532053053188699,0.0793411154135484,0,0,0,0,0,0,0.131492233008235,0,0.122934697081393,0,0,0,0,0,0,0.0625219613000606,0.1436925237006,0,0,0,0,0,0,0,0,0,0,0.206877822893064,0,0,0.0545269945918659,0,0,0,0,0,0.082837363748072,0,0,-0.0874874932947324,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.0210585748898584,0,0,0,0,0.209179362935881,0,0,0,-0.130298784555897,0,-0.0502237357989406,0.127479566482169,0,0,0.121797716111795,0,0,0.18226949713707,0,0,0,0,0,0,0.407042421130587,0,0,0,0.0516584481994983,0,0,0,0,0,0,0,0,-0.0584565731186736,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0464724160915159,0,0,0,0.00908025750478791,0.537940978982924,0,-0.0707098529484901,0,0.0389495388213089,0,0,0,0,0,0,0.0432937010956092,0,0,0,0,0.0943470101533396,0.109956418812752,0,0,0,0,0.119190863667666,0,0,0.0323117028327466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306161896283232,0.014347579957383,0.0115719752555627
X1299.HK.EQUITY,0,0,0,0,-0.0435201224090793,0,0,0,0,0.104158984942648,0,0,-0.117993058668764,0,0.00402990656564669,0,0,0,0,0,0,0,0,0.224422848645304,0,0,0,0,0,0,0,0,0.0137201841943773,0,0,0,0,0.0481229712411683,0,0.0889561295980715,0,0.189532532395022,0,-4.33680868994202e-19,0.14443636392927,0,0,0,0.25310269561586,0
X601628.CH.EQUITY,0.08486733631622,0,0,0,0,0,0,0,0,0,0,0,-0.016354099998737,0,0,-0.063083985730968,0.156826732763205,0,0,0.0074394494933471,0,0,-0.152743465095539,0,0,0,0,0,0,0,0,-0.031026047395294,0,0,0,-0.0288013473224049,0,0.490944189149626,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.141162541353433,0,0,0,0.450951696975093,0,0,0,-0.0384471264932424,0,0,0.0564110262937048,-0.0968102313620606,0,-0.00360474373151396,0,0,0.125007193269648,0,0,0,0,0,0,0.0120469210859057,0,0,0,0,0,0,0,-0.114564675611102,0,0,0,0,0,0,0,0,0.134859719731743,0,0.176584042956421,0,0,0,0,0,0
X5.HK.EQUITY,0,0.162152671658773,0,0,0,0,0,0,0,-0.188153575425647,0.0518804432255183,0.0945860783077862,0,0,0,0,0,0,0,0,0,0,0,0.295459645836038,0,0,0.14244155248575,0.0168076163254111,0,0,0,0,0.148236843432738,0,0.00298584857487037,0,0,0,0.228636760690152,0,0,0,0,0,0.222168367107827,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.166065808656556,0.0512842193039931,0,-0.126824201411044,0,-0.163473713634614,0,0,0,0,0,0,0,0,0,0,0,0,0.127109705228774,0,0,0,0,0,0,0,0,0,0,-0.232518939904938,0,0,0,0,0.207500013628607,0,0,0.164557834297551,0,0.257114276989107,0,0,0,0,0,0.187549380025282,0
