,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY
X601398.CH.EQUITY,0,0.505921191237952,0.137592501853717,-6.93889390390723e-18,0,0.0656956307693742,0,0,0.0286538124461727,-0.140843897831832,0.0556235945664571,0,0,-0.0415087915629888,0,0,0,0,0,0,0,-0.00782261746288192,0,0,0,0,0,0,0,0,0.02134199697084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280752385926329,0,0.0266858774493519,0.096844270715694
X601939.CH.EQUITY,0.4154986992506,0,0,0.206906167163413,0,0,0,0,0,0,0,0,0,0.176921919641421,-0.223000954979183,0,0,0,0,0,0,0,0,0,0,0.237684215247284,0,0,0,0,-0.00795085182844003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106886737143257,0.0218220765402235,0
X601318.CH.EQUITY,0,0,0,0,0.196097716818266,0.241084146899272,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146829793517214,0,0,0,0,0.0687578452425491,0,0.0254609687085,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.296167041255345,0.0954364816212661,0,0,0.174302520032664,0,0,0,0,0,0,0,0,0.189633610025545,0,0,0,0,0,0.0454190448044498,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120891154837146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.211507880087224,0.0969527000303761,0.299881535077042,0,0,0,0,0,0.293899452931053,0,0,0,0,0.0786145575658751,0.154377567693827,0,0,0,0,0,0.0681491991772854,0,0,0,0,0,0.174329659754616,0,0,0,0,0,0,0,0,-0.661129161955688,0,0,0,0,0,0,0,0,0,0,0,0,0.0391855300555723
X600036.CH.EQUITY,0,0.0258615681247849,0,0,0,0,0,0,0.0530482679043486,0,0,0,0.146328728291914,0,0,0,0,0.0512149324935667,0,0.0276987846218773,0,0,0.15337105355775,0,0,0,0,0,0,0,0,0.357224798071516,0,0,0,0,0,0,0,0,0.0581345667648969,0,0.0407228792546125,0.187023077403822,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.241109002812097,0,0.049033582066374,0,0,0.122812939024598,0,0,0.260059200044897,0,0,0,0,0.162681934226045,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.193868035791662,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0445256237212894,0,0,-0.0396931486828932,0,0,0,-0.382211601030398,0,0.612718687002676,0,0.0469919455718354,0.691209813806716,0,0,0.018226310898759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148817513032191,0,0.288577026191082,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.108715238092301,0,0,0,0,0,-0.142182527211978,0,0,0,0,0,0,0,0,1.38777878078145e-17,0.286246169335693,0.184335878530695,0,0,0.0653753900959268,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0993466219038367,0,0,0,0,0,0,0.232728492937407,0,0.0249010688369306
X601658.CH.Equity,0,0,0,0.0229305604879723,0.125239090124645,0,0,0,0,0,0,-0.126015681108263,0,0.207556465078312,0,0,0,0.225911398111332,0,0,0.0878249363610363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271074436868123,0.122904481250849,0,0,0,0,-0.0367634881585777,0,0,0,0,0,0,0,0
