,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0,-0.212960865950783,0,0,-0.00663251782777947,0,0,0,0,0.566729303859147,0,0,0,0,0,0,0,0,0,0,0,-0.127357205230259,0,0,0,0,0,0,0,0,0,0,-0.285263650814436,0,0,0,0,0.681471653287674,0,-0.139646391629031,0,0,0,-0.0535715352472939,0,0,0
X601318.CH.EQUITY,0,0,0,0.00594293322517051,0,0,0.163607213149346,0,0,0.0250007508051865,0,0,0,0,0,0,0.0615340200669324,0.122892491896409,0,0,0,0,0,0,0.038462652673629,0,0,0,0,0.0528769634106883,0,0,0,0,0,0,0,0.0108516793803162,0.601434656066691,0,0.015273433621962,-0.0794511955726643,0,0,0,0,0,-0.0482955959177519,0
X601939.CH.EQUITY,0.282201570139961,0,0,0,0,0,0,0,0.0521420731025725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395639644999444,0,0,0,0,0.116488062866831,0,0.0206644153235226,0,0,0,-0.0833978690208392,0,0,0.383844158797968,0,0,-0.0206860855558618,0,0.110917027030317,0,0,0,0,0,-6.93889390390723e-18
X601288.CH.EQUITY,0,0,0,0,0,0.314822091234432,0,0,0.187403473611081,0.046932506785719,0,0.01903318386456,0,0,0,0,0,0,0.138141317938675,0,0,0,0,0,-0.0672216834057734,0,0,0.0784733632179191,0,0,0,0,0,0,-0.135111263494309,0,0,0,0.0403259170581256,0,0.021598010880127,0,0.208241327592591,0,0,0,0,0.142250036181552,0
X5.HK.EQUITY,-0.147248234008137,-0.184693135068827,0,0,0,0,0,0,0,0,0.0619902879364914,0,0,0,-0.0540191773388109,0,0.18903043749028,0.0377095514243444,0,0,0.391978047332258,0,0,0.282409034628456,0,0,0,0,0,-0.00974704235781085,0,0,0,0,-0.102256084920062,0,-0.122987576709473,0,0,0,0.306195899044922,-0.0864824500125607,0,0,0,-0.0625328714630169,0,0,0
X601988.CH.EQUITY,0.233503538591721,0,0,0.576303080586965,0,0,0,0,0,0,0.106508916098322,0.113327688458997,0,0,0,0.0312754102027375,-0.0605701279561953,0,0,0,0,0,0.0106514179671011,0.0546811215878733,0,0,0.0248609894558684,0,0,0,0,0,0,0,0,0,0,0.0167935073465262,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.411240111099374,0,0,0,0,0,0,-0.0385475074849527,0.358799177193124,0,0,0.323511891317593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351203399780795,0,0.205899844751709,0,0,0,0,-0.179280747376301,0,0,-0.296670027320962,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.186479045669036,0,0,0,0,0,0,0,0,-0.0926738471543977,0,0,0,0,0.26281075912237,0,-0.15780409592234,0.0723438989244199,0.0626434104027822,0,0,-0.0273769433492604,-0.00992737775865497,0.561980204581017,0,-0.0986602694983489,0,0,0,0,0,0,0,0,0,0,0,0,-0.0883121724505381,0,0,0,0,-0.139752430695347,0,0,0,0
X601628.CH.EQUITY,0,0.0578158001305586,0,0,0,0,0,0,0,0,0,0,0,0.339400513619977,0,0,0,0.0783337815355813,0.0605893332802943,0,0,0,0,0,0.0496572929818183,0,0,0,0,-0.0647106983238324,0,0,0,0,0,0,0.056074385970951,0,0.19489955129255,0,0,0,0,0,0,0,0,0,0.142469279224043
X601328.CH.EQUITY,0,0.286816679669242,0.113933333517866,0.381326644071579,0,0,0.194154257721877,0,0,0,0,0,0,0,0,0,0,0,0.0634975436428553,0.0350942739905223,0,0,0,0,0,0,0.249693910324103,0,0,0,-0.0092661077607626,0,-0.323555398398001,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,-0.33030053577788
