,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,-0.213474986118257,0,0,0,0,0,0,-0.0562922089075222,0.165926764428903,0,0,0,0,0,0,0,0,0,0,0,0,-0.209956456992902,0,0,0,0,-0.170272100269175,0,0,0,0,-0.237409231893205,0,0,0.0560431855515873,0,0.734089561040311,0,0.330787883186962,0,0,0,0,0,0,-0.0182561091747916
X601318.CH.EQUITY,0,0,0,0,0,0,0.0472563901664297,0,0.169108227858024,0.0261529834409013,0,0.0473155371451748,0,0.237981582599547,0,0,0,0,0,0,0,0,0,0.116686454885672,0,-3.46944695195361e-18,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.128787648346588,0,0,0,0,0,0
X601939.CH.EQUITY,0.41044092277329,-0.0867014597786235,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.302906745254923,0,0,0,0,0,0,0,0,0,0,0,0.0863927619580682,0,0,3.46944695195361e-18,0,-0.238923821682079,-0.143353288450354,0,0,0.532477138952166,0,0,0,-0.0275854675267891,0.13110965117126,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.031683249693712,0,-0.117262366592452,0.131037029861807,0,0.557275374261723,0,0,0,0.087782554693297,0,-0.206782416455504,0,0,0,-0.0644799396588486,0,0,0,0,0,0,0,0,0,-0.791371556399876,0,0,0,0,0,0,0,0,0,0,0.388179295851392,0,0,0,0,0.212228866418463,0,0
X5.HK.EQUITY,-0.154884280396133,-0.104886163870736,0,0,0,-0.0463772254831119,0,0,0,0,0,0,0,0,0,0.304264815995419,0,0,0,0.294371720889331,0.0470897985071745,0,0,0,0.417774601595861,0,0,0,0,0,0,0,-0.0247994080857395,0,3.46944695195361e-18,0,0,0,0,0,-0.172813372202658,0,0.183115198577177,0,0,0,-0.0188795693835513,0,0
X601988.CH.EQUITY,0.137189457368738,0,0.0150903116003733,0.399148194610321,1.73472347597681e-18,0,0.0352496550280074,0,0,0,0.177721148940328,0,0,0,0,0,0.196944228582141,0.148940458368233,0,0,0,0.0352894885490295,0,0,0,0,0,0,0,0,0,0,0,0,-0.0892483052288508,0,0,0,0.123095948459982,0,0,0,0,0.0907529331763767,0.162598406502202,0,0,0,0
X600036.CH.EQUITY,0,0.242178258731199,-0.0113778478416956,0,0,0,0,0,-0.110796128598598,0.0614754197123888,0,0,0.534842706991648,0,0,0,0,0.0198793113716889,0,0,0.294764233388246,0,-0.105981093168204,0,0,0,0,0.0976419043937467,0,0,0,0,0.328903556759751,0,-0.155755629729621,0,0,0,0,0,0,0,0.107030230796676,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0923809656555012,0.0139388910984818,0,0,0,0,0,0.0248232728945904,0,0,0,0,0.144006267313329,0.222461565555793,0,0,0,0,0,0,0,0,0,0,0.0237387865604301,-0.00253437306196333,0,0,0.0207255344253857,0,0.304966423724304,0,0,0,0,0,0,0,-0.104674628814771,0,0,0,0,0,8.67361737988404e-19,0.0777938116976604,0,0
X601628.CH.EQUITY,0,0.0323418600211199,0.00606653749818631,0.0454430812963632,0,0,0,0,0,0,0.0157572250205208,0,0,0.326615385257387,0,0,0,0,0,0,0,0,0.0763877018996885,0.00737477690479524,0,0,0,0,0,0,0,0,-0.0460528185577376,0,0,0,0.0556458372407515,0.230335424231668,0,0,0,0,0,0,0,0.131479987777583,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.608273068640541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279071114642121,0,0,0,0,0.0522833254784524,0,0,0,0,0,0,0,-0.0361313212535858,0,0,0,0,0,-0.0559103081225179,0,0,0,0,0.0428326597056309,0,0,0,0
