,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600999.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601155.CH.EQUITY,X600918.CH.Equity
X601398.CH.EQUITY,0,0,-1.73472347597681e-18,0.227930975966676,0,0,0,0.356598418080086,0,0.00489326208036827,0,0.0153819550877629,0,0,0,0,0,0,0,0,0,0,0,0,0.260272074108811,0.0270623118929339,0,0,0,0,0,0,0.0885949315754746,0,0.0710582811671247,0,0,0,0,0,0,0,0,0,0,0,0,-0.100458585836333,0,0.0231259596962847
X601318.CH.EQUITY,0,0,0,0.0791728745680498,0,0,0,0,0.176638947082163,0,0.00527189161946751,0,0.0880368650393753,0.117944643341155,0,0,0,0,0,0.309209222933181,0,0.0607117163024391,0,0,0,0.114561626385394,0,0,0,0,0,0.0504129023706733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661233313042813
X600036.CH.EQUITY,-0.0103292966413009,0,0,0,0,0.228907659519733,0,0,0,-0.0630918675853958,0,-0.0532036070160038,0.188146684047871,0,0,0,0.140838900836803,0,0.160297044251971,0,0,0,0,0,0,0,0.401883872921494,0,0,0,0,0,0,0,0,0,0,0,-0.084888262988062,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.514043762770924,0.0974038647869045,0,0,0,0,0,0,0.134956891440253,0,0.165164552140104,0,0,0,0,0,0.0100752353831276,0.117344785608447,0.0601390125965764,0,0,0,0,0,0,0,0,0,0.186335556693833,0,0,0,0.0471293895812134,0,0,0,0,0,0.0644747524103536,-0.0901479121714469,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0788572668255615,0,0.10142672218904,0,0,0,0.539640979451872,0,-0.0433470813674139,0,0,0,0,0,0,0,0,0,0,0,0,0.0445855063766635,0,0.0885217271511551,0,0,0,0.0759483994377939,0,0,0.00601814375440555,0.100619240062756,0,0,-0.0545668493232566,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,6.93889390390723e-18,0,0
X1299.HK.EQUITY,0,0,0,0,-0.0510831011799859,0,0,0,0,0.104293375337721,0,0,-0.0651480677014012,0,0.0673979704818799,0,0,0,0,0,0,0,0.0130308569740393,0,0,0,0,0,0,0,0,0,0.0642132961518893,0,0,0,0,0.0512451699589961,0.1097773518771,0.236772470840717,0.0236562519980889,0,0.205219034890085,0,0,0,0,0.294974117440982,0,0
X601628.CH.EQUITY,0,0,-0.0213834612673357,0,0,0,0,0,0,0.200881867192148,0,0,0,0,0.0795370773996836,0,-0.0530503741250525,0,0,0,-0.0609890179776785,0,0.173526071088544,-0.068446241426497,0,0,0,0,0,-0.0196790053005957,0,0,0,0.0440756482980053,0,0,0,0.355652144871499,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.171766590163594,0,0,0,0.422831873803345,0,0,0,-0.0399353004871208,0,0,0.0751627269241276,-0.0883613150402823,0,0,0,0,0.107338883131193,0,0.0362892810147678,0,0,0,0,0.0151270814496618,0,0,0,0,0,0,0,-0.118675539715191,0,0,0,-4.33680868994202e-19,0,0,0.135003089190617,0,0,0,0,-0.000390295012012689,0.163543353431597,0,0,0,0
X5.HK.EQUITY,0,0.187479821647963,0,0,0,0,-0.015009263981683,0,0,-0.141178802252813,0.0580002747565606,0.109004356065203,0,0,0,0,0,0,0,0,0,0,0.32186772586448,0,0,0,0,0.125842682849317,0,0,0,0,0.126188271865108,0,0.0197066152079227,0,0,0,0.205467669865723,0,0,0,0.148480845088042,0,0,0,0.0627231458534765,0,0,0
X388.HK.EQUITY,0,0,-0.147494517050619,0,0.0452026349532212,0,-0.111391714451365,0,-0.14596562191915,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.110229233339329,0,0,0,0,0,0,0,0,0,0,-0.20925261422281,0,0,0,0,0.181797634640414,0,0,0,0.141550852311206,0,0.228352709484225,0,0,-6.7762635780344e-21,0.167462850855065,0,0
X601166.CH.EQUITY,0,0,0,0.0934764777482726,0,0,0,0,0,-0.0374992825096194,0,0,0.532419669331467,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,-0.0482283177957799,0,0,0.0867474195426612,0,0.105925190343109,0.131173261431923,0,0,0,0,0,0.00872535485834166,-0.150808619679121,0,0,0,0,0,0,0,0.102864993594426,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0.149245070705642,0.479770791521606,0.0598061285475767,0,0,0,0,0,0.206037365614513,-0.0272841760087011,0,0,0,0,0,0,0,0,0,-0.353361738815172,0,0,0,0,0,0,-0.0826190244672685,0,0,0,0,0,0,0.0187836408787941,0,0,0,0,0.117502887265414,0,0,0,0,0
X000001.CH.EQUITY,0,0.0160141525806231,0.0669520343527539,0,0,0,0,0,0,0,0.577084860101585,0,0,0,0,0.255825641728203,-8.67361737988404e-19,0,-0.0653554946508365,0,0,-0.0566278818907088,0,0.34880807934551,0,0.0225718943171534,0,0,0,0,0,0,0,0,-0.000480487327541244,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.185649157562566,0
X600030.CH.EQUITY,0,0.0604266464322713,0,0,0,0,0,0,0,0,0,-0.00418621813678487,0,0,0,0,0,0,0,0.263258180760442,0,0,0,0,0,0.0213490458220352,0,0,0,0,0,0,0,0,0,0.14281620115057,0.230071841592865,0.00653851108744396,0,0,0,0,0,0,0,0.145481583506709,0,0,0,0.0787028263108085
X601601.CH.EQUITY,0,0.275437180626069,0,0.13653952301155,0,0.214972579271362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119894164172605,0,0.0990775579328156,0,-0.11097812864915,0,0,0,0,0.254690428849628,0,0,0,-0.0669423074640105,0,0,0.256064128976466,0,0,0,0,0
