,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0.197548247102531,0,0.0211395378784435,0,0,0,0,0,0,0.344042009052576,0.166350133270921,0,0,0,-0.129258293817546,0,0,0,0,0,0,0,0,0,0,0,0.00941409409752215,0.0274602739146012,0,0,0,0.221494875297583,0,0,0,0,0,0.0466107001054025,0,0,0.0834525380205807,0,0,0,0.0237936155104038,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.092987804835246,0,0,0.271267782779252,0,0,0.321186259974585,0,0,0,0.10617468954783,0,0,-0.0326887930229066,0,-0.0631071679961737,0,0.0482388512273416,0,0,0,0,0,0,0,0,0,0,0.110173185191319,0,0,0,0,-0.276574730727241,0,0.138213812297006,0.00940577490848607,0.127032493972936,0,0,0,0,0.0328523980084953,0
X601939.CH.EQUITY,0.485922707053637,0,0,0,0,0.18074147239174,0,0,0,0,0,0,0,0.0693354996794997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368018060811891,-0.110973041019561,0,0,0.0439833779684142,0,0,-0.0473935860933667,0,0,0
X601288.CH.EQUITY,0.559560962130997,0.118542054206822,0.218122619037561,0,0.0249484862062012,0.0188557650803671,0,0,0,0,0,0,0,-0.0825671703527341,0,-0.0586484161069373,0,0,0,0,0,0,-0.0752171384453671,0,0,0,0.0106371706543227,0,0,0,0,0.113956733156336,0,0,0,0.0366610283389425,0,0.0408703530453025,0.181850662542363,0,0,0.105279672601827,0,0,0,6.93889390390723e-18,0,0,0
X5.HK.EQUITY,0.0073046969610232,-0.0379187419666576,0.130363177175979,0,0,0.0911270827924743,0,-0.138684228646715,0,0,0.0985321789402203,0.202852294325486,0,0,0,0,0,0.662908547404255,0,0,0,0,0,0,0,0,-0.183621565998179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121734616331798,0,0,0
X601988.CH.EQUITY,0.129605934180839,0,0.185372507003364,0.0813268118999485,0,0,0,0,0.0954575397479938,0.0912697421397322,0.138558578393767,0,-0.281173713745786,0,0,0,0,0,-0.0306704086546851,0,0,0.22417039232405,0,0,0,0,0.168102198295139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.273182837055047,0,0,0,0,0,0,0,0,0,0.0873570354404136,0,0.174245624340209,0,0.103592773134579,0,0,0.00564412800194991,0,0,0,0,0.0816831798859357,0,0,0,0,0,0,0,0,0,0.16122730357168,0,0,0,0,0,0.0903944483867982,0.00100162301033142,0,0,0,0,0,0.0663973230741196,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0295011295293617,0.1255826634744,0,0,3.46944695195361e-18,0,-0.00879124136561839,0,-0.0131873198926238,0,0,0.139133100596985,0.234364442567355,0,0,0,0,0.177165268339414,0,0,0,0.222967585235229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165982687696572
X601628.CH.EQUITY,0.360718844537743,0.298148750349974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0653193938295255,0.0567859601667043,0,0,0,0,0,0,0,0,0,-0.0561813914620544,0,0,0.0299610945563478,-0.17595787775332,0,0,0,0,0,0,0,0,0,0,0,0,0.157725334652671,0,-0.176500116909056,0.0608418528844049
X601166.CH.EQUITY,0.200706490933999,0,0,0,0,0.0257022278158418,0.345218519834296,0,0,0,0,0,0,0.023785439709093,0,0.510097988635009,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0335936915149792,0.0524036635453761,0,0,0,0.00933357603583469,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0108876211772599,0,0.0397336230143511,0,0.120734517919771,0,0,0,0,0,0.350022545214057,0,0,0,0,0,0,0.0807377665138368,0,0.203319260692408,0.0584082961232013,-0.0922912505685658,0.0600271954988868,0.0901541580194004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12303068384355,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.012911515243033,0,0,0,0.0582914967837034,0.172733867511757,0,0,0,0.347330276650183,0,0,0.100980101689893,0,-0.062633110585638,0,0,0,0,0,0.037842288358247,0,0,0,0,0,0.172782077905415,0,-0.0317193353967431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328547462298713,0.213972377519505,0
