,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0426389485670502,0.236183420911245,0,0,0,0,0,0,0,0,0,0,0,-0.0631035776072087,0,0,0,-0.0345752663355075,0,0,0,0,0,-0.279566485378052,0,0,0,0.123776312019629,0,0.578240665791515,-0.127975270632505,0.111964351622619,0,0,0,0,0,0,-0.0802287615990647
X601318.CH.EQUITY,0,0,0,0,0,0,0.0545464845420941,0,0.158386977030925,0.0219977895915694,0,0.00678677613096975,0,0.277189355638997,0,0,0,0,0,0,0,0,0,0,0.0939143291955433,0,0,0,0,0.0203398556504389,0,0,0,0,0,0,0,0,0,0,0,0,0.0757389359657038,0,0,0,0,0,0
X601939.CH.EQUITY,0.410849112512,-0.144517332188168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252450203936664,0,0,0,0,0,0.0433794169565174,0,0,0,0,0.067278848181839,0.090197231410495,0,0,-3.46944695195361e-18,-0.263222778905795,-0.123757547097311,0,0,0,0.56324284493861,0,0,-1.38777878078145e-17,-0.0121399463877289,0.131102497770599,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.0893689473980524,0,-0.177070846949625,0.213475795144983,0,0.439255784023238,0,0,0,0.119070489296239,0,-0.0469224903052196,0,0,0,-0.0574585154396897,0,0,0,0,0,0,0,0,0,-0.502557392364097,0,0,0,0,0,0,0,0,0,0,0.241685499448454,0,0,0,0,0,0,0
X5.HK.EQUITY,-0.204574123423982,0,0,0,0,0,0,0,0,0,0.0230829722052757,0,0,0,0,0.288802861187366,0,0,0,0.288545450792968,0.0166944172674954,0,0,0.454304570039895,0,0,0.05037602066645,0,0,0,0,0,-0.169048931366203,0,0,0,0,0,0,0,-0.141252901760351,0,0.217773372194735,0,0,-0.0386120463489938,-0.0999379221066613,0,-0.0995847619222423
X601988.CH.EQUITY,0.0420804210404562,0,0.0738984892621016,0.35016240010401,0,0,0.0393045347303039,0,0,0,0.191555068911156,0,0,0,0,0,0.129269373417344,0.110095656305137,0,0,0,0,0.0234307455618321,0,0,0,0,0,0,0,0,0,0,-0.0209822434053638,0,0,0,0,0.124157218537262,0,0,0,0,0.118037435851904,0.207938721103056,0,0,0,0
X600036.CH.EQUITY,0,0.241420275753507,-0.0114114177764588,0,0,0,0,0,-0.10956591097303,0.0606535727313664,0,0,0.530902058844635,0,0,0,0,0.020119572299207,0,0,0.292389916116925,-0.107586867307757,0,0,0,0,0,0.0960021907555244,0,0,0,0,0.327287513918419,-0.154015588342276,0,0,0,0,0,0,0,0,0.108140091959553,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.061689657074119,0,0,0.181631188068779,0,0,0,0.019942118730897,0,0,0,-0.0161529196304866,0.0198214934694989,0.156612417750205,0,0,0,0,0,0,0,0,0,0,0.182968775278554,0,0,0,0.0308666037210596,0,0.0954796786399831,0,0,0,0,0,0,0,-0.00586330329239264,0,0,0,0,0,8.67361737988404e-19,0,0,0
X601628.CH.EQUITY,0,0.040199163158553,-3.46944695195361e-18,0.0676259054904512,0,0,0,0,0,0,0,0,0,0.313476427557913,0,0,0,0,0,0,0,0.0991812784926402,0,0,0.0595292219791644,0,0,0,0,0,0,0,-0.0791695952720258,0,0,0,0.0717157050084998,0.231874257822458,0.0333876957498249,0,0,0,0,0,0,0.101134983407051,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.610659818902805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284826595379126,0,0,0,0,0.0728100119058318,0,0,0,0,0,0,0,0,0,-0.050274278278971,0,0,0,-0.0582483178520737,0,0,0,-6.93889390390723e-18,0.0499853478004781,0,0,0,-0.00385800448193942
