,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.0146126836624994,0,0,0,0,0,0,-0.174488044885143,0,0,0,0,0,0,0,0,0,-0.19800825917017,0.708253932796629,0,0.74225819041169,0,0,0.0455273356660041,0,-0.0982764838616981,0,-0.115763493210491,0,0.00331143030419757,0,-0.334377914439718,0,0,-0.0624755199613277,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.155643918004713,0,0,0,0,0.0858417525463626,0,0,0,0,0,0,0,0,0.260970131258389,0,0,0,0,0,0,0,0.0992420974895973,0,0.0440386360295186,0,0,0,0,0,0,-8.67361737988404e-19,0,0.244481244055337,0,0,0,0,0,0,0.0157677537741345,0.0143498378086543,0,0,0
X601939.CH.EQUITY,0,0,0,0.812570839669526,0,0.0607999940214749,-1.73472347597681e-18,1.73472347597681e-18,0,0,0,0,0.0321253880441939,0,0,0,0.0213965193628072,0,0,0,0,0,0.010099918849688,0.00682825853431688,0,0,0,0,0,0,0,0.0413766099893544,0,0,0,0,0,0,0.00987611283635309,0,0,0,-0.0155101825901379,0.0249178070485665,0,0,0,0,0.0558257615449305,0
X601288.CH.EQUITY,0,0,0.878757550832253,0,0,0,-0.065381237860288,0,0,0,0,0,0,0.0152620235338501,0.0403414618867377,0,0.0322572757730489,0,0.118206168965781,0,0,0,0,0,0,0.0308179352659538,-0.122229621996439,0,0,0,0,0.00525978519610245,0,0,0,0,0,-0.0988972710266861,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0584362899696973,0,0,0,0,0,0,0,0,0.0356682215928288,0,0,1.23683042288703,0,0,0.0169962802708719,0,0,0,-0.227256394838806,0,0,0,0,0,0.0845007299294532,0,0,0,-0.160478157545554,0,0,-0.124767282018452,0,0,0,-0.193463941881663,0,0,0,0,0,0.012896997290796,0,0.0330769222331605,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.358923330132535,0,0,0,0,0.0579917869967292,0,0,0,0,0,0,0,0,0,0,0,0.0212789919246381,0,0,0,0,0,0.0466849000254838,0,0,0,0.0944847923665277,0,0,0.430871041900534,0,-0.0354617456475696,0,0,0,0,0,0,0,0,-0.0637058427103322,0.120949014172047,0.074252982236892,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.0305253948024127,0,-0.0963042727754385,0.0265244258086084,0.737554482342903,0,0,0,0,0,0,0,0,0,0,0.113087765233945,0,0,0,0,0,0,0,-0.0748632078654536,0,0,0,-0.101037741642247,0,0.0357540941543829,0,0.272439600059482,0,0,0,0,0.222666945402713,-0.0972786653719651,0.00360861208173492,0,0,0.103756388501019,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.183189325702266,0,0.0626042812938013,0.0682710463705806,0,0,0,0,0,0,0,0,0.0848179544877858,0,0,-0.202278014726768,0,0.00676173338690979,0,0,0,0.131919807659292,0.219287154022629,0,0,0.0277735575007469,0,0,0,0,0,0,0,0.0719173661379015,0,0,0,0.357333650213759,0,0,0.091847985572484,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.220411169967175,0,0,0,0.0716700221625048,0,0,0,0,0,0.397107602381463,0,0,0,0,0.0818398660806837,0,0,0.507272293517316,1.73472347597681e-18,0.0243206852750828,0.190386155553822,0.0147440179282339,0,0,0,0,0,0,0,0,0,0,-0.252293260167259,0,0,0.117460823789059,-0.0262566745051425,0.0408821661970102,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.227302351064256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109909820576591,0.243136942046126,0,-0.17568311422286,0,0,0,0,0,-0.130755940769218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415193008018348,0,0,0,0,0,0,5.42101086242752e-20,0
