,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.236257823052874,0,0,0.0871138757448291,0,0.238980107618368,0,0,0,0,0,0.128009396840179,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0381482488005785,0,0,0,0.093924299914291,0,0,0,0,0,0.0225490186315118,0,0,0,0,0,0,0,0.106419003715686,0,0,0
X601318.CH.EQUITY,0.166446872780454,0,0,0,0,0,0,0,0.282458611188976,0,0,0,0,0,0,0,0.233092443382424,0,0.0535051027117204,0,0,0,0.105190514924706,0,0,0,0,0,0.0320200629806613,0,-0.0925552913645376,0,0,0,0.102041510629588,0,0,0,0,0,0,0.0651822641449938,0.0194995786880656,0,0.0537047524139643,0,0,0,0.0430163898112261,0
X601939.CH.EQUITY,0,0,0,0.282509196645206,0,0.0747301415167212,0,0,0,0,0,0,0,0.41603441921693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558684126835655,0,0,0.0735825870579202,0,0,0.00942082075489601,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.354590833382372,0,0.02649419576697,0,0,0.48717559570477,0,0,0,0,0,0,0,0,0.030181210253253,0,0,0,0,0,0,0.0175449963514375,-0.0285951363387518,0,0,0,0,0,-0.000325146156568375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104909992424247,0,0,0,0.00349788574357339,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.0668067458016787,0,0,0,0,0,0,0,0,0,0,0,0,0.612858321261697,0,0,0,0,0,0.403615562880451,0.0847831604767571,0,0,0.155507541594262,0,0,-0.0734606779183465,0,0,0,0,0.00385732329117383,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.375547277324043,0,0.00023670490655167,0,0,0,0,0,0,0,0,0.0951205119762712,0,0,0,0,0,0,0.0251975166516514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159770237147056,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.297326458266151,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.277675418226245,0,0,0,0.354938029861091,0.0411879604464783,0,0,0,0.106938787853089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179377603424592,0,0.0602598203735041,0,-0.0686304662114366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305587791254258
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378513905259044,0,0,0.0701651907959458,0.171051463778595,0.013328513708171,0,0,0,0,0,0,0,0.273550807607539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.169291602457699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183493239810113,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.194887223083239,0,0,0,0,0.067678364312694,0,0,0.16395907764548,0,0,0,0,0,0,0,0,0,0,0.10821030685468,0
X601658.CH.Equity,0,0,0,0,0,0,-0.254262577065701,0,0,0,0,0,0.274625020587574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166234055624479,0,0,0,-0.148729455449927,0,0,0,0,0.746899337456327,0,0,0,0,0,0.25179246660434,0,0,0
