,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0.00993171809581503,0.564804699510352,0,0,0,0,0,0,0,0.142156864028372,-0.0172840637210443,0.0917829668100673,0,0,0,0,0,0.0219090221020079,0,0,0,0,0,0.0594419808810358,0,0,0,0,0,0,0,-0.00878848532136063,0,0,0,0,0,0.104482183645391,0,0,0,0,0,0.00632623283816162,0,-0.0644347303651711,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.00947150878144908,0,0,0,0,0,0,0,0,0.076173781277813,0,0.307904175620234,0,0,0,0,0,0.115334909267271,0.00162476258695804,0,0,0,0,-0.0234907553644277,0,0,0,0.0590593426233682,0,0,0,0.195349770908606,0.0982402608267255,0,0,0,0,0,0.0239342858491167,0,0.0611277212022083,0
X601939.CH.EQUITY,0.236671220408397,0,0,0.531643744026419,0,0,0,0,0,0,0,0,0,0,0,0.0389705219286879,0,0,0,0,0,0,0,0,0,0,0,0.0433716099893624,0,0,-0.0196358978802329,0,0,0,0.0959991658332883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0484072782999894,0.0433493127927451,0.194679883964357,0,0,0,0,0,0,0.12330865230714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168188260439804,0,0,0.207778796524998,0.11649520380867,0,0,0.010655679875105,0,0,0,0,-3.46944695195361e-18,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0595937568040759,0,0,0,0,0,0.312102637375138,0,0,0,0,0,0.0993462542947171,0,0.406793912700176,0,0,0,0,0,0,0,0,0,0,0,0,0.365804251862187,-3.46944695195361e-18,0,0,0,0.155512134382287,0,0,0,0,0,0,0,0,0,0,0,-0.276844583567102,-0.0939515835486192,-0.184018367551037,0.0202825805092509
X601988.CH.EQUITY,0.256885014904955,0,0,0,0,0,0,0,0.0820308381361627,0,0,0,0,0.184382841400755,0,0.00446999154513167,0,0,0.014894736033089,0,0,0.391738155232894,0,0,0,0,0,0,0.0536879476516769,0.0521390479864114,0,0,0,0,0,0,0,0.0543389876097203,0,0,0,0,0,0,0,0,0,0,-0.0301957603641615
X600036.CH.EQUITY,0,0,0,0,-0.0243371863143483,0,0,0,0.0321254120626065,0,0,0,0,0,0,0,-0.0211299028158998,0,0.0373465900292958,0,0,0,0,0,0.754032207575576,-0.00618372655788732,0,0.0328039466957502,0.10308442793734,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654465911334595,0,0.0719968241903949,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.226341590628498,0,0,0,0,0,0,0,0.202473136637975,0,0,0,0,0.0631667483164398,0,0,0.0591638968972666,0,0,0,0,0,0,0,-0.0445847904195433,0.0828376380564617,0,0.300592444364752,0,0.20017702029793,0,0,0,0,0,0,0,0,0,0,-0.0808176656370625,0,0,0,0
X601628.CH.EQUITY,0,0.21087591488803,0,0,0,0,0.0339274780571153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693785958286838,0,0,0,0,0,0,0,0,0,0,0,0,0.399232727881791,0,0.240415756940044,0,0,0.0269291041562184,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.171230931188377,0,0,0,0.115788091303695,0,0,0,0,0,0,0.260403578183662,0,0,0,0,0,0,0,0,0.228195486307346,0,0,0,0,0.067000611200612,0,0,0,0.0060055634588225,0,-0.00595643104180851,0,0,0,0,0.202638245344317,0,0,0,0,0,0.0022824680530478,0,0,0,0.0288012376416947
