,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.0201330668490777,0,0,0,0,0,0,-0.049270754074302,0,0,0,0,0,0.506768839117839,0.763263837811401,-0.125096146053144,0.0124997113166955,0,0,0,0,-0.184211708759323,0,0.249282168853983,0,-0.317395593764354,0,0,0,0,-0.0625788418402081,-0.0463748150844694,0,0,0,-8.67361737988404e-19,0,0,0,0,0
X601318.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0.193090856139372,0,0,0,0,0,0,0,0,0.105620083762837,0,0,0,0,0.186455912863928,0,0,0,0,0,0,0,0,0.119090408900444,0.0304989047201627,0,0,0,0,0,0,0.21294164298855,0,0,0,0,0,0,0,0,0,0,0,0.00658735573078707,0
X601939.CH.EQUITY,0,0,0,0.818224263822369,0,0.00736553438355426,-1.73472347597681e-18,0,0,0,0,0,0.0173172460670989,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.0435508793439272,0.0405945044048693,0,0,0,0,0,0,0,0.0571930629720489,0,0,0,0,0,0,0.00878446461750249,0,0.0710431479945606
X601288.CH.EQUITY,0,0,0.848023612415498,0,-0.0984136521666715,0,0,0,0,0,0,0,0,0.0253333575853379,0,0.0131630320144094,0.0749606806825036,0.139203651027312,0,0,0,0,0,0,0,-0.0571422451454886,0.0272049044509691,0,0,0,0.0236369449889218,0,0,0,0,0,0,0.0174507042502351,0,-0.180095870049036,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0954416872048384,0.752366867133635,0,0,0,0,0,0,0,0,0,0.100458960452971,0,0,0,0,0,0,0.0472428490503517,0,-0.0757703419870742,0,0,0,-0.0556640264655966,0,0.312555825184555,0.00837217907138905,0,0,0,0,0,0.221171803292193,-0.125233185118973,0.0218811991092928,0,0,0,0.0627985356477249
X600036.CH.EQUITY,0,0,0.328604252268573,0,0,0,0,0,0,0,0,0,0,0,0,0.171523041711947,0,0,0,0.0163094188882517,0,0,0,0,0,0,0.148675601800027,0,0.0165813599081675,0,0,0,0.291559908959218,0,-0.0169067649844926,0,0,0,0,0,0,0,0,-0.0160246794549629,0.0795575457971647,0.0427811711940911,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.121283692486481,0.091420368847951,0,0.0116188588635314,0,0.00509337037632209,0,-0.080367513102012,0.0372968342779301,0,0,0,0,0,0,0,-0.0635040114605961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10945996260325,0,0,0.00574841203476163,0.0855292179502462,0,-0.00289981554564791,0,0,1.02699108889197,0
X1299.HK.EQUITY,0,0.150296447082832,0,0,0.0290301629860631,0.100131969582985,0,0,0,0.195022064643783,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205068999024785,0,0,0.181649050194616,0,0.195171103273392,0,0.165400185221629,0,0,0,0,0.0674776340746879,0,0,0,0,0,0.257040134822457,0.104823964857396,0,-0.178628841976484,0.112881298448474,0,0,0,-1.73472347597681e-18
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.168853992141743,0,0,0,0.371097965144977,0,-0.0778558526817529,0,0,0,0,0,0,0,0.278211524570473,0.350793535,0,0.0720936254639191,0,0,0,0,0,0,0,0.0215259294846842,-0.326964454951905,0,0,0,0.121785508239995,-0.0515054730613366,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.217294870696895,-0.192187065648805,0,0,0.0400666320796819,0,0,0,0,0,0,0,0,0,-0.23168865095009,0,0,0,0,0,0.0605036327231257,0.508644329045349,0,0,0,0,0.135534387634131,0,0,0,0,0,0,0.062491387739026,0,0,0,0,-0.234492826112579,0.183742580701408,0,0,0.0198592034865405,0,0,0
