,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.134392098039243,0.026057365463569,0,0,0,0,0,0,0.0713116205398647,0,0,0,0,0,0,0,0,-0.0641534471902176,-0.185979269893716,0,0.0215922893415784,0,-0.197345207032454,0,0,0,0,0,0.627985626262979,0,0.178552625917237,0,0,0,0,-0.00977106180594172,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.119002488286391,0,0.168297561401482,0.0154177070482341,0,0,0,0,0.0505904980356215,0,0,0,0,0,0.00779105211439745,0.0872525012293766,0,0,0,0,0,0.0682859398661637,0,0.0424003319776079,0,0,0,0,0,0.293909086892603,0,0,0,0,0,0,0.0405525638175995,0,0,0.0158442928535789,0,0,0
X601939.CH.EQUITY,0.198416092655929,0,0,0,0,0,0,0,0,0.119296701778541,0,0,0,0,0,0,0,0.0941099733851477,0,0,0,0,0,0,0,0,0,0,0,0.0860255744636636,0,0,0,-0.130312987663663,0,0,0,0,0.46805807080466,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.070334613951054,0,0,-0.402517825191283,0.254286005308528,0,0.638732614758251,0,0,0,0.149860739700629,0.330826640165472,-0.308862240218258,0,0,0,0,0,0,0,-0.24931782923247,0,0,0,0,0,0,-0.644782968590666,0,0,0,0,0,0,-0.195871325919354,0,0,0.194161881763672,0,0,0,0,0,0.394820393555669,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449330513603176,0,0,0,0.502021195228056,0,0,0,0,0.0596261584235803,0.000848760625075443,0,0,-0.0666649054360084,0,0,-0.221107979384748,0,0,0,0,0,0,0,0,0,-0.16569165569759,0,0.108228950793243,0,0,0,0,0,-0.110614584135696
X601988.CH.EQUITY,-0.239301497634693,0,0,0,0.415251553053833,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0488342942641002,0,0,0,0.644498933262301,0,0,-0.0792416341966842,0,0.0335211652102442,0,0,-0.488761503782282,0,0,0,0,0,0,0,0,0,0,0.109595730672211,0,0,0.0962509658429819,0,0,0,0,0
X600036.CH.EQUITY,-0.0324952193110419,0.656768777520405,-0.03844551035392,0,0,0,0,0,-0.102977095594158,0.3800561701818,0,0.223003419674704,0,0,0,0,0.0666087671223222,0.0255263126591717,0,0,-0.198000941842802,-0.190581075004863,0,0,0.157164460142318,0,0,0,0.0991864978402885,0,0.17418707759307,0,0,-0.239443849211206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.060306590101347,0,0,0.175261127708265,0.00438840141446327,0,0,0,0,0,-0.0236089279240529,0,-3.46944695195361e-18,0.00616683245293986,0.0945572910696271,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.220138955430843,0,0,0,0.00841838898079526,0,0,0.156104238804739,0,0,0,0,0,0,-0.00436525321137097,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.120826896412791,0.00799457427983434,0.0410000583606999,0,0,0,0,0,0,0.0942227932249875,0,6.93889390390723e-18,0.294510174986467,0,0,0,0,0,0,0.0509828218544154,0.0457441741914044,0,0,0,0,0,0,0,0,-0.0449097205784783,0,0,0,0,0.105250271343307,0,0.172543749400353,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.595924918875171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256343767238324,0.0688781957977537,0,0,0,0,0,0,0,0,0,0,-0.0483761924897788,0,0,-0.0590042884388442,0,0,0,0,0,0.0485782918843528,-0.00395461350898994,0,0
