,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.424844637404495,0.0872581959317199,0.0854199290756026,0,0.0253603637881921,0,0,0,0,0,0.0272728021136189,-0.00994171644918932,0,0,0,0.0952743097476265,0.0422512629389625,0,0,0,0,0,0.137975107443914,0,0,0,0,0,0.0241438853703374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,6.93889390390723e-18,0,0,0,0,0,0.0748891713067325,0,0,0.0753369252866003,0,0,0,0,0,0,0,0.223892479327141,0.0423336020443275,0,0,0,0,0,0,0,0.106211601277325,0,0,0,0,0,0,0.0761005157173541,0,0,0,0,0,0.29916051206726,0,0,0,0.0412113934576219,0,0.0257667631067778,0,0,0
X601939.CH.EQUITY,0.468668284667732,0,0,0.180601143729842,0,0.111471024077471,0,0,0,0.0166345210229006,0.136104579234624,0,0,0,0,0,0,0,0,0,0,0.00112174933114987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505219044722866,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.445705068193938,0,0,0,0,0,0,0,0,0.214472442624746,0,0,0,0,0,0,0,0.0893753043506449,0,0,0,0,0,0,0.0800878964043566,0.0313891471674022,0,0.0324332192470659,0,0.0824013643120844,0,0,0,0,0,0,0,0,-0.0307361732554936,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.445436226529305,0,0.14832773202349,0,0,0,0,0,0,-0.372386207684373,0,0.601990013473588,-0.344075483947131,-0.0371194135186405,0,0,0.124812265391327,0,0,0,0,0,0,0,0.131793454256145,-0.203098094545619,0,0,0.636457127978218,0,0,-0.0253882993950097,0,0,0,0,0,0,0,0,-0.510843520692419,0,-0.0585375304704547,0
X601988.CH.EQUITY,0,0,0.241934344465936,0,0.0581927063331131,0,0,0,0.109259324289105,0,0,0.124420389895495,0.0910969902865728,0,0,0,0,0.0861719124936694,0,0,0,-0.0233316096542772,0.416235807380891,0,0,0,0,0,0,0,0,0,0,0.0127527206986197,0.0315820695349883,0,0,0,0,0,0,0,0,0,0.0243587004456093,0,0,0,0
X600036.CH.EQUITY,0,0.0144868479365355,0,0,0,0,0,0,0.0437636512121309,0,0,0,0,-0.00693761575184008,0,0,0,0.0248786333017061,0,0,0,0,0,0,0.693326527713279,0,0,0,0,0.116694428468213,0,0.000590897398028709,0,0,2.16840434497101e-19,8.67361737988404e-19,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060632598017183,0,0,0,0,0.269928747680374,0,0,0,0.0358202307000268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304225382853302,0
X601628.CH.EQUITY,0,0,0,0,0.0185618730087972,0,0,0,0,0,0.131929538245681,0,0,0,0,0.0210916078070854,0.00725309079882642,0,0,0,0,0,0,0,0,0,0.0704912011569532,0,0,0,0,0,0,0,0.281673247793631,0,0,0,0,0,0.0879301950251433,0.1978832554444,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.155350447669672,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.105852866447164,0,0,0,0,0,0,0,0.0225308055248542,0.0914279689037155,0,0,0,0,0,0.112295280558233,0,0,0,0.0607309441675682,0,0,0.0571024999327561,0,-0.0244534384996755,0,0,0,0.168354508677228,0.244336568412047,0,0,0,0,0,0,0,0.0196691182473468
X601166.CH.EQUITY,0,0,0.285315756632115,0,0,0.109248807443084,0.0283421078527653,0,0.0589938315933848,0,0,0,0,0,0,0,0,0.0544618382207598,0,0,0,0,0,0,0.148015564973093,0,0,-0.0276953403947261,0,0,0,0,0,0.0686116733387985,0,0,0,0,0,0,0,0,0,0,0.153151503088797,0,0,0,0
