,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.434901423899105,0.0598515738778882,0.115417903343037,0,0.0387966118961562,0,0,0.236131286761117,-0.0718635842892345,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0905434672205604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281032126755753,0,0,0,0,0,0,0,0,0,0,0.0903581623741141,0
X601939.CH.EQUITY,0.485018792783338,0,0,0.132229974363255,0,0,-0.120311480615138,0,0,0,0.0268692380799198,0,0.352779316916382,0,-0.0117163318419094,0,0,0,0,0,0,-0.126649053289167,0,0,0,0,0,0,0,-0.00686049016680617,0,0,0,0,0,0,0,1.6940658945086e-21,-0.00835989985678611,0,0,0,0,0,0,0,0,0.110900082259091,0,0
X601318.CH.EQUITY,0,0,0,0,0.22293029084622,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.047251481686904,0,0,0,0,0,0,0.196567441164418,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.239102325383929,0,0,0,0,0.212081920345115,0,0,0,0,0,0,0.0760830145673651
X601288.CH.EQUITY,0.500915879988419,0,0,0,0.198558903239581,0,0,0,0,0,0,0,0.0745795046206216,0,0,0,0,0,0,0.0127935970219492,0.116977186648326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502124791469096,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,6.93889390390723e-18,0,0.505440105623483,0,0,0,0,0,0.216128815974149,0,0,0,0,0,0.327543013448595,0,0.0760401332024783,0,0,0.0173975029404668,0,0,0,0,0,0.0215510436099354,0,0,0,0,0,0,0,0,0,-0.567355532970515,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.300686705191919,0,0,0,0,0,0.0724604689350758,0,0,0,0,0,0.00853626591015683,0,0,0,0,0,0.044199480791766,0.186446478193825,0,0.0788253616536171,0,0,0,0,0.00294248937629912,0,0,0,0.180418140618875,0,0,0,0,0.111096686992426,0,0.0165711700927351,0
X1299.HK.EQUITY,0.0764859990060027,0,0,0,0,0,0,0,0.135198597681384,0,0,0,0.101688164965715,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0102400322048304,0,0,0,0,0.226860899235652,0,0,0,0,0,0,0,0.176029486586355,0,0,0,0,0,0,0.0714897569087991,0,0,0,0.107194162134012,0,0,0
X5.HK.EQUITY,0,-0.0986187102874643,0,0,0,0,0,0,0,0,0,0,0.215748581675817,0,-0.156689437596667,0,0,-0.295941912441674,0,0,0.13018606979325,0,-0.289366113410832,0.553027177337175,0,0,0,0,0.688402166259773,0,0,0,0,0,0,0,0,0,0.322142595426057,0,0,0,0,-0.264749037904531,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,-0.0150533055468494,0,0,0,0,0,0,0,0,0,0,0.0891069240306077,0,0,0.10619343106141,0.122402313935995,0,0,0.0579542056571552,0,0,0.199034442878915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767655231869343,0,0,0,0,0.195297153698748,0.0784616190885142,0
X601658.CH.Equity,0,0,0,0.0690417111815783,0.0713144093440677,0,0,0,0,0,0,0,0.254136144690939,-0.0390134555621222,0,0,0,0,0,0,0.0156496968878702,0,0,0,0,0,0.210733972911326,0.121749880575728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361967162603743,0,0
X601328.CH.EQUITY,0.122762711027864,0,0,0.299475830874298,0,0,0,-0.0956678231581743,0,0,0,0,0,0.160256137015237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29243696207067,0,0,0,0.169063805717245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688645662056132,0
X601166.CH.EQUITY,0,0,0,0,0,0.431300496544699,0,0,0,0,0.0355056314985351,0,0.00710176791991394,0,0,0,0,0.0296936185875846,0,0,0,0,0,0,0,0,0,0,0,0,0.220591612218041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403010602714293,0.0372404643723859,0.105442515421677,0.0471828063232045,0
