,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY
X601398.CH.EQUITY,0,0,0.341383319809493,0.221631428722822,0,0.00166525636268985,0,-0.101306584679165,0,0,0.087996995539185,0,0,-0.152908316894323,0,0,0,0,0.128019501756061,0,0,0.111521587520215,0,0,0,0.123314428620297,0,0,-0.102399993414972,0,0.124448385884564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00988842497808724,0,-0.0824199705598197,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.213590907858801,0.0226712277382979,0.287996873701309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693938995935578,0,0,0,0,0,0,0,-0.279665373358622,0.26265324589209,0,0.195703355002532,0,0,0,0,0,0.0553893960457862,-0.00343046100825605
X601939.CH.EQUITY,0.460258868693204,0,0,0.0615451488709029,0.111376403275224,0,0,0.0319990034341924,0,0,0,0,0.156869309026841,0,0,0,0,0,0,0,0.139578121930749,0,0,0.0177622417611941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316384632295606,0,0,0,0,0.0140686860582068,0,-0.14738558758333,0,0,0
X601288.CH.EQUITY,0.392594648266046,0,0.206464056560732,0,0.151893131383596,0.0741530358452334,0,0.0445252109017203,0,0,0,0,0,0,0.0213684398810818,0,0,0,0,0,0,0,0,0,0,0,0,0.0733336799701577,0,0,0,0,0,0.04772233421733,0,0,0,0.0588617811249133,0.164212822993695,0,0,0.0217757124070053,0,1.38777878078145e-17,0,0,0,0,0
X5.HK.EQUITY,0,-0.21542662737658,0,0.150588756861604,0,0,0.00728694545948041,-0.0734335650870505,-0.200638392316052,0,0.247736394787641,0.00685846543383016,0,0,0.170922487278617,0,0,0,0.213877982171925,0.0904999448565655,0,0,-0.119607746942055,0.43433594769429,0,0,0,0,0,0,0,0,0,0,0.0460086968735005,-0.09367226771367,0,0,0,0,0.222255490170251,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.112727440602042,0,0.0466686067933898,0.254322944554376,0,0,0,0.134243403046425,0,0.0909800831794374,0.282914520002638,0,0,0,-0.359281781985279,0,0,0,0,0,0,0,0,0.0400038327956814,0,0,0,0.020108447399929,0,0,0,0,0,0,0,0,0,0,0,0,0.0361571867180072,0,0,0,0.0711663585418181,0,0,0,0
X600036.CH.EQUITY,0,0.275122655134774,0,0,0.0139574982064093,0,0,0,0,0,0,0,0.180739424402151,0,0,0,0,0.0870856268502114,0,0,0,0,0,0.120859524316416,0,0,0,-0.00850927371327717,0,-0.0179149285232834,0.254189270635378,0,0,0,0,0,0,0,0,0,0.0828319731629172,0,0,0,0,0,0.0812419270954897,0,0.132640780001425
X601628.CH.EQUITY,0,0,0,0.259640876315487,0,0,0,0,0.0881712659542197,0.0553620579888407,0,0,0,0.0244498206515336,0,0,0,0,0,0,0,0,0.0823722575291621,0,0,0,0,0,0,0,0,0,0,0.056733448131877,0,0,0,0,0,0,0.098878534158527,0,0,0,0,0,0,0,0.0762344804589691
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471232960293115,0,0,0,0,0.189793563916495,0,-0.0122826910009701,0.126876646759547,0,0.191287899122689,0,0,0,0,0.00978715894739844,0.355466380147697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066792741470556,0,0,0.0157482610013197
X601166.CH.EQUITY,0.0309501081691069,0,0,0,0,0.100081116214223,0,0,0,0,0,0,0,0.274329582119101,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145155020367735,0.0501691675992722,0,0,0.534184552933594,0,0,0.199412592190308,0,-0.0597727710401659,0,0,0,0.166123810586408,0,-0.152786993826781,0,0,0,0,-0.00819113116575215,0,0
