,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.199468740259267,0,0.368172999976126,0,0,0,0,0.238778331762762,0,0.142621942183461,0,0,0,0,0,0,0,0,0,0,0.0377780226016947,-0.159476165332873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0493016578166964,0,0,0,0,0,0.0624051741199545,0,0.0672101223173583,0
X601939.CH.EQUITY,0.352668242161976,0,0,0.28582649280375,0,0,-0.0959217391139778,0,0,0,0.00277831901083817,0,0.139754426675595,-0.0642850528076745,0,0,0,0,0,0,0,0,0,0,0,0.0315930321118944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.201215927729776,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141663750611138,0,0,0,0,0,0,0,0,0,0,0.0219239708283778,0,0,0,0.382654876916686,0,0,0,0,0,0,0,0.100822211304804,0,0,0,0.244498186915112,0,0,0
X601288.CH.EQUITY,0.463479049604303,0,0,0,0.251221174437515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099420888563956,0,0,0,0,0,0,0,0,0,0,0.0244355920029883,0,0.0318133924308602,0,0,0,0,0,0.0135946328733335,0,0.0720815912548718,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0870625677654423,0,0.414303076643085,0,0,0,0,0,0.266492365994156,0,0,0,0,0,0.111632657053819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152934138355088,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.023278194448777,0,0,0,0,0,0,0,0,0.342908293149415,0,0,0.0423723147259597,0,0,0,0,0,0,0,0,0,0.115426013189465,0,0,0,0,0.0295373116315477,0,0,0,0.0315184992737457,0,0,0,0,0,0.039626937284895,0,0.0816169506047742,0,0,0,0,0,0,0.279657940137051,0
X1299.HK.EQUITY,0,0,0,0,0,0.118026412063607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471629248177289,0.20373600675843,0,0,0.0586775664569277,0,0,0,0.19513413153146,0,0,0,0,0,0,0,0,0,0,0,0.197602642029516,0,0
X5.HK.EQUITY,0,-0.0356362906111457,0,0,0,0,0,0,0,0,0,0,0,-0.188305694309669,0.13617061661787,0,0,-0.265286200515068,0,0,0,0,0.490744845079377,-0.328680701017902,0,0,0.909382080179044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4462914993449,0,0,-0.451553302526267,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0.190312678749294,6.93889390390723e-18,0,0,0,0,0.242091390632974,0,0.00806066911710628,0,0,0,0,0,0.138897052397872,0,0,0.00910381642393198,0,0,0,0,0,0,0,0.0660320467048476,0,0,0,0,0,0.142888155492267,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.0984762613464702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324941936433184,0,0,0,0,0,0,0.364281302701513,0,0,0,0.132484672186122,0.0594003148428881,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.200990548056176,0,0,0.167297150105134,0,0,0,0,0,0,0,0,0.146196088515171,0,0,0,0,0,0,0,0.129593652490455,0,0,0,0,0,0,0,0,0.034801603112906,0,0,0,0,0,0,0.0672177643915729,0,0.171653653253145,0,0,0,0.125620157621773,0,0,0,0,0,0,0
