,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0.146901276060627,-8.67361737988404e-19,0,0.373042502357316,0,0,0,0,0,0.267225948217348,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0656999083802451,-0.086663833859784,0,0.0887567670505492,-0.110579255323613,0,0,0,0,0.029256006009489,0,0,0,0,0.0679757269377412,0,0,-0.132035633490608,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.13338407130954,0,0,0,0.0210382133316573,0,0,0.154676919571023,0.0373804145285881,0.0391052220565833,0,0,0,0,0,0,0,0.0604862397799283,0,0,0,0,0.0478485454263779,0,0,0,0,0,0,0,0,0,0,0.556984750171382,0,0,0.0311411308704467,-0.0651606716571875,0,0,0,-0.0490663249382909,0
X601939.CH.EQUITY,0.197873286258595,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0285953190287585,0,0,0,0,0,0,0,0,0,0.0719925346494184,0,0,0,0,0.0207772326846474,0,0,0,0,0,0,0,0,0,0.0414860612573433,0.353581371397086,0,0,0,0,0.0319797807584094,0,0,0,0.0747617169713922,0,0,0,0
X601288.CH.EQUITY,4.33680868994202e-19,0,0,0,0,0.249995046417283,0,0,0,0,0.00939205388081213,0,0.0378860563826311,0,0,0,0,0,0,0,0.0766870009056203,0,0,0,0,0.211489619458746,0,0,0,0,0,0,0,-0.0473932401723975,0,0,0,0.0791004903578164,0,0.312437822821739,0,0.066909301083683,0,0,0,0,0,-4.33680868994202e-19,0
X5.HK.EQUITY,-0.0893205007769996,-0.0453978362701175,0,0.0341812374230179,0,0,0,0,0,0.0297320631316446,0,0,0,0,0,0.303758512644385,0,0.426441218525648,0.0424584748441,0.167642265328113,0,0,0,0,0.278157682694764,0,-0.0736141849143572,0,-0.260574608460148,0,0,0,0,-0.133899679269032,0,0,0,0,0,0,0.0416305307306605,0,0.234601745986318,-0.22753753288764,0,0,0,-0.187029576453526,0
X601988.CH.EQUITY,0.291002916166907,0,0,0.497262258945047,0,0,0,0,0,0.0946724686683125,0,0,0.0641472227613267,-0.0633124767827468,0,0,0,0,0,0,0,0.182800791956901,0,0,0,-0.113549130667841,0,0.0374944127046668,0,0,0,0,0,0,-0.0193355539024152,0.0580116721348294,0,0,0,0.0119334724968759,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.65398002265093,0.037136969003792,0,0,0,0,0,-0.180454572449367,0,0,0,-0.0153915772962597,0,0,0,0,0,0.145169998825026,0,0,0,0,0,0,0,0.0390545999938461,0,0.0304034802269117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240137627484492,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.101090964601995,0,0,0,-0.0851144456958483,0,0,0,0.324159082625805,0.0730708558447633,0,0.176962546102978,0,0,0.169202809452801,0,0,0.212490444790141,-0.0568387873263293,0,0,0,0,0,0,0,0.0097095588820563,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.160896478917401,0,0,0,0,0,0,0,0,0,0,0.00327484354400469,0,0.274386505311352,0,0,0,0,0,0.00729773329691667,0,0,0.163264317619431,0,0,0,0,-0.0518108030517946,0,0,0,0,0,0,0,0,0.140087700272606,0,0.0989511325442908,0,0,0,0,0,0,0,0,0.109219926204995
X601166.CH.EQUITY,0,0,0,0,0,0.310172534891854,0.197643939023542,0,0,0,0,0,0,0,0.416615351340995,0,0,0,0,0,0,0,0,0,-0.0198954964192592,0,0,0,0,0,0.318170956639365,0,0,-0.060704889635163,0,0.351965693077802,0,0,0,0,-0.135191159056094,0,-0.119276118777441,0,0,0,0,-0.0539616837038523,0
