,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY
X601398.CH.EQUITY,0,0,0.187662665154106,0,0.369289359035488,0,0.148654261626621,0,0,0,0,0,0,0,0,0,0,0.00438456849536905,0.312888612601634,0,0,-0.122764663835777,0,0,0,0,0,0.0396679274818907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00856817209764685,0,0,2.16840434497101e-19,0,0,0,0.11063353635714,0.0240734093924173
X601318.CH.EQUITY,0,0,0,6.93889390390723e-18,0,0,0,0,0.148008339077336,0,0,0,0.0318828951351893,0,0,0,0.00136264010823477,0,0.147742831627243,0,0.0995453017075462,0,0.0368394354962977,0,0,0,0,0,0.107600479339101,0,0.054230580121256,0,0,0.0235430895952163,0.155492736363818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.264867885061748,0,0,0,0.138084278209996,0,0,0,0,-0.0363695732591685,0.105518717220341,0,0,0,0.065323696939186,0,0,0,0,0.0977105191071241,0,0,0,0.269517274359561,0.220904611701057,0,0,0,0.00377212510469602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.199313419803174,0,0,0,0,0,0.136722222425058,0,0,0,0,0.196486084289362,0,0,0,0,0.0375207252185304,0,0,0,0,0,0,0,0.0549117955176167,0,0.259766487136667,0,0.0305311561922437,0,0,0,0,0,0,0,0,0,0,0.0117441334697882,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.254194874965961,0.0778572422626168,0.0454744481349641,0,0,0,0,0.330030062196331,0,0,0,0,0,0,-0.0230028467513472,0.137371525479013,0,0,0,0,0,0,0.061745845304871,0,0,0,0,-0.0401615866665754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160214798843248,0,0,0,0,0
X601628.CH.EQUITY,0.079839489600056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150466625984078,-0.0183586956343091,0,0,0,0,0.141267922925951,0,0,0,-0.0401564806642979,-0.108863630262254,0,0,0,0,0.18266860846765,0,0,0.0512391544465671,0.55248041215172,0,0,0,-0.039860562562297,0.0897003565890606,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,-0.0746476014325653,0,0,0,0,0.0710810608090327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213692858441338,0,0,0,0,0,0,0,0.0138023235249367,0,0,0,0.0266901708226268,0,0.339132505446462,0.282400582687056,0,0.21755403711291,0,0,0,0,0,0.305473483751656
X601988.CH.EQUITY,0,0,0.0861999689127218,0.168670888509711,0.148404394702956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327521526536934,0.0268469777233403,0,0,0,0,0,0,0.261270598074827,0.119454582900851,0.165760265056543,0,0,0,-0.0462805283705784,0,0.0073460828752299,0,0,0,-0.0858400761816218,0,0,0,0,0,0.0469988736759117,0,0,0,0,0
X5.HK.EQUITY,0,0.0304096622217569,0,0,0,0,0,0.177684614793814,0,0,0,0,0,-0.203094887190782,0.0433230056294771,0,-0.0435409367171576,0,0,0,0,0.0454914673069595,0.218692263472076,0,0.059843036193236,0,0.350917430942139,0,0,0,0,0,0,0,0.0498978093336092,0,0,0,0.207724145278033,-0.0453136168436511,0,0.375032716180448,0,0,0,0,0,0,0,0
X388.HK.EQUITY,-0.097730298934638,0,-0.0251409911902602,-0.105210738563111,0,-1.73472347597681e-18,0.211043275968525,0,0,0,0,0,0,0,0,0,0,0,0,-0.0697514700442249,0,0,0.423005927790667,0,0,0,0,0,0,0,0,0,0.031768707996863,0,0,0,0,0,0,0.31205332100633,0,0.0752076610789289,0,0,0,0.0659381579947056,0,0,0,0.107542134835306
X601658.CH.Equity,0.213593816710416,0,6.93889390390723e-18,0.158956756135976,0,0,0,0,0,-0.0612360538005594,0,0.331219871352591,-2.77555756156289e-17,0,0.0229995709634571,0,0,0,0,-0.0152257421733379,0,0,0,0,0,0,0,0,0,0.133777182434549,0.13474797371938,0,0,0,0,0,0,0,0,0,-0.026997443470641,0,0,0,-0.118469650358647,0,0,0.0656929563287524,0,0
