,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0.0560789120633234,0,0,0,0,0,0,0,-0.0548462420254731,0,0,0.119771501136903,0,0.183629046849082,0,0,0,0,0.157180481606722,0,0,0.18278080895776,0,0,0,0.0565636649224052,0,-6.93889390390723e-18,0,0,-0.302338886399185,0,0.0830865464506628,0,0.0989226571371042,0,0,0,0,0.0545436307469312,0.0829534177276438,0
X12.HK.EQUITY,0,0.00935278345467252,0,0,0.0973740314467977,-0.33179901035333,0.199371496896407,0,-0.0643774737547452,-0.141278147906796,0,0,0,0,-0.158399224017796,0,0.163835948389405,0.174457694019987,0,0.100880200539564,0,0,3.46944695195361e-18,0,0,0,0,0.0657058874436802,0,0,0,0,0,0,0.133565482986252,0,0,0,0,0.673698896023629,0,0,0,0,-0.117251363438916,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0.171293138432763,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0245613703237247,0.226053105484817,0,0,0,0,0,0,0,0,0,-0.0155284127775202,0.00517310894250784,0.15032586032207,0.0190136715198161,0,0.25569229386172,0,0.12600893340792,4.33680868994202e-19,0,0,0,0.0379049287135713,0,0,0,0,0,0.331415704267342
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.105074496878225,0,0,0.0154532061548441,0,0,0,0.235567786151407,-0.2400259199236,0,-0.0320227503050196,0,0,0,0,0,0,0,0.0510173926166932,0,0,0,0.219223125750371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0245907044061432,0.777055436554519,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137428536474327,0,0.172746501870778,0,0,0.072284130485994,0.11967231783454,0,0,0,0,0,0,0,0,0,0.0888159857992984,0,0.151525393408979,0,0.117609098270163,0,0,0,0,0.219470592897988,0,0,0,0,0,0,0,0
X823.HK.EQUITY,0,0.137678870330942,-0.00163462913510418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0556965805031406,0,0.0363079715577833,0,0,0,0,0,0,-0.190333078132797,0,0,0,0.0883336177555383,0,0,0,0,0,0.630008838165928,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0.192368889133499,0,0,-0.105213136797478,0,0,0,0,0.0676639475554984,0.074360596803114,0.288727965082788,0,0,0,0.105208899309772,0,0,0,0,0,0,0.0308683316497595,0,0,0.207042409625037,0,0,0.0744480656832064,0,0,0,0,0,0,0,0,0,0,0,0,-0.210311012454868,0.00880772999427692,0
X601229.CH.EQUITY,0,0,-0.131227371814705,0,0,0,0,0,0.123804624986841,-0.256515957086322,0,0.239486224800618,0,0,0,0,0.21114050711385,-0.0852970389620929,0,0,0.15519763100242,0,0,0,0,0,0,0,0,0,0.166006640953668,0,0,0,0,0,0,0,0,0,0,0,-0.313276566626564,0,0.0453025808330375,0,0,0,0,0.587319747735299
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0262456293906184,0.061640982494389,0,0,0,-0.0190161081798015,0,0,0,0,0,-0.0630954140971108,0,0,0,0,0,-0.0553468265344808,0,0.0237412721191313,0,0,0,0.164917838407855,0,0,0.245530025796003,0,0,0,0,0,0,0.714208614690739,0,0.00189049222110749,-0.0876067110013183,0,0,0,0
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.0782665176212974,0,0,0,-0.292137509365664,0,0.016861924767889,0,0,0,0.0268738424886797,0,0,0,0,0,0,0,0,0.226363523883954,-0.0643909617023891,0,0,0,0,0,0.00219372127754975,0,0.333632231537218,0,0,0,0,0
X601169.CH.EQUITY,0.0074630152579685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164956556308503,0,0,0,0,0.0821366059492601,0,0,0,0,0,0,0.0468383156915354,0,0.059691252766756,0,0.0853544277624191,0,0,0,0,0,0,0.102627345353207,0,0,0,0,0.263006508360608,0,0,0
