,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY
X601398.CH.EQUITY,0,0,0.22190521174609,1.73472347597681e-18,0,0,0,0.384139909654261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265329906749389,0,0,0,0,0.0179403193280508,0,0,0.0897709406660458,0,0.0659407815196394,0,0,0,0,0,0,0,0,0.0131862079561759,-0.00786493445619682,0,0,0,-0.0983809972593053,0
X601318.CH.EQUITY,0,0,0.0284425933179624,0,0,0,0,0,0.207514160550213,0,-1.73472347597681e-18,0,0.19336746127981,0,0.098003801750312,0,0.0830751528715677,0,0,0,0,0.135173764123249,0,0,0,0,0,0.174151183305468,0,0.181514782109352,-0.0307061580733827,0.0561192761513369,0,0,0,0,0,0,0.0457239154662327,0,0,0,0,0,0,-0.118843172480122,0.0493921057685517,0.0765448061811559,0,0
X601939.CH.EQUITY,0.510668451045383,0.0578645024456783,0,-1.73472347597681e-18,0,0,0,0,0.150483941130724,0,0,0,0,0,0,0,0,0.0749036627094725,0.117489685966789,0,0,0,0,0,0,0,0,0.341940130289355,0,0,0,0,0.13757601678814,0,0,0,0,0,0,0,0,-0.138920776631208,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.01612908217675,0,0,0,0.214093660743094,0,0,0,0,-0.138431516342725,0.0256708378929506,-0.0726438725791464,0.132731972105704,0,0,0.135661838012496,0,0,0.196426217043181,0,0,0,0,0,0,0.385740621157874,0,0.0303213483701985,0,0,0,0,0,0,0,0,0,0,-0.0396759740022699,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0699172621820248,0,0.263198075282062,0,-0.0741792201830439,-0.0388679551191667,0,0,0,0,0,0,0,0,0,0,0.173670929711355,-3.46944695195361e-18,0,0,0,0.0250568109520499,0,0,0,0.160167254598589,0,0.0408809648150305,0,0,0,0,0,0,0.202430333461352,0,0,0.223403248522925,0,0,0,0.151568146194027,0
X601288.CH.EQUITY,0,0,0.102489637921229,0,0,0,0,0.536179276555095,0,-0.0671421161725639,0,0.0241140371111122,0,0,0,0,0,0,0.00866669110825926,0,0,0,0,0.137474423098811,0.0609486542277045,0,0,0.135253478032459,0,0,0,0,0.0174203309049952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156740366364565,0,0.00307627078239128
X601628.CH.EQUITY,0.158143761707228,0,0,-0.00132784349652014,0,0,0,0,0,0,0,0,0,0,0,-0.0248701065600056,0.135153445376325,0,0,0.0324748990058837,-0.0415208310365123,0,-0.172575786536832,0,0,0,0,0,0,0,0,-0.0545467154922363,0,0,0,0.487704484686834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0702151310056711,0,0,0,0,0.510062462067075,0,0,0,0,-0.0342319005516212,0.0193571949104463,-0.0521602863404417,0,0,0,0,0.211145737933629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159536104006754,0,0,0,0,0,0,0,0,0.0772761749621864,0.096553115860982,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.16094177333193,0,0,0,0,0,0,0,-0.145801376305259,0.0640861543008287,0.0954084834307646,0,0,0,0,0,0,0,0,0,0,0,0.324686057884774,0,0,0.139786158143009,0,0,0,0,0,0.138584666140264,0,0,0,0,0,0.204536530666913,0.00782090738415701,0,0,0,0,0.200150805426522,0,0,0.0619056140279395,0,0
X388.HK.EQUITY,0,0,0,-0.169709921069223,0,0.0470192833111121,-0.125788790433746,0,-0.15460760184826,0,0,0,0,0,0,0,0,0,0,0,0,0.0991948370410455,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,-0.227834782619482,0,0,0.212585347200355,0,0,0,0,0.204176868361562,0,0,0.24539549899427,0,0,0,-6.93889390390723e-18,0.202396965703235,0
