,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY
X601398.CH.EQUITY,0,0.478892265202875,0.1178764449891,0.123339292144526,0,0,0,0,0,-0.0916748569448689,0,0,0,-0.0318739757065207,0,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.0341977388091815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0965784948153667,0.12030955204096
X601939.CH.EQUITY,0.177624453228431,0,0,0.206358066854472,0,0,0,0,-0.0956364439413254,0,0.131145662726675,0,0,0.217653548705381,-0.0714500505547529,0,0,0,0,0,0,0,0,0,0.196812752536247,0,0,0,-0.0257472574875239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270871018417791,0,0,0.161383064629138,0
X601318.CH.EQUITY,0,0,0,0,0.224788711865036,0.117469268322905,0,0,0,0,0,0,0,0,0.0515834085436623,0,0,0,0,0,0,0.188867653030786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395607537104335,0,0,0,0,0,0,0.187273519154752,0,0,0,0
X601288.CH.EQUITY,0.376207030432655,0,0,0,0.214657949492534,0,0,0,0,0,0,0,0,0.146407936076983,0,0,0,0.0916303769975937,0,8.67361737988404e-19,0.0341423178271131,0,0,0,0,0,0,0,0,0,0,0,0.0842971167301535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.54548453258842,0,0,0,0,0,0.269326204597614,0,0,0,0,0,0.0901867990054506,0.081574811737189,0,0,0,0.0495958215419514,0,0,0,0,0,0.0687332961458394,0,0,0,0,0,0,0,0,-0.547263628594042,0,0,0,0,0,0,0,0.157224728794147,-0.0586520567129164,0,-0.076737223010486,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.240065933229863,0.00134895701509785,0,0,0,0.124487394903996,0,0,0,0,0.026046051305133,0,0.0110951887661836,0,0,0,0,0,0.154301404526766,0.0407063587530638,0.126489506230851,0,0,0,0,0,0,0.0605326667054179,0,0,0,0.149114831194157,0,0,0,0.0920886416413858,0.00509952188801282,0,0
X1299.HK.EQUITY,0,0,0,0,0.0326549996217362,0,0,0,0,0,0,0,0,0.203592207512476,0,0,0.0437077443697489,0,0.479685164759046,0,0,0,0,0.135672235668612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086479985571904,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0
X5.HK.EQUITY,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.09724917942395,0,-0.0727678529263196,0,0,0,0,0,-0.0612800006144092,0.321439067083728,0,0,0,0.596615853154014,0,0,0,0,0,0,0,0,0,0.274088104098747,0,0,0,0,0,0,0,-0.145115646373083,0,0,0,0
X601628.CH.EQUITY,0.0823369688231831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187582781809718,0,0,0,0,0,0,0,0,0,0,0,0.168952195707697,0,0,0,0,0,0,0,0,0,0,0,0,0.208279369310816,0,0,0.0364961870497251,0,0,0,0,0.151675796162143
X601658.CH.Equity,0,0,0,0.0581060966894258,0.154820324667169,0,0,0,0,0,0,0,0,0.152601914129844,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.223114809596262,0,0,0,0,0,0,0,0,0.146511654449306,0,0,0,0,0,0,0,0,0,0,0.312051497675816,0
